unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,due_date,road_ramp
58970611,2023-09-30T08:53:39.000,2023-10-07T11:26:59.000,DSNY,Department of Sanitation,Dirty Condition,Trash,11222,111 MCGUINNESS BOULEVARD,MCGUINNESS BOULEVARD,NASSAU AVENUE,NORMAN AVENUE,ADDRESS,BROOKLYN,Closed,A Litter Basket was placed at the location.,2023-10-06T12:10:26.000,01 BROOKLYN,3026490008,BROOKLYN,998390,203800,MOBILE,Unspecified,BROOKLYN,40.72604931963439,-73.94898483229986,"{'latitude': '40.72604931963439', 'longitude': '-73.94898483229986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,NASSAU AVENUE,NORMAN AVENUE,MCGUINNESS BOULEVARD,,,,,,,
58969443,2023-09-30T08:53:29.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,11203,243 EAST   51 STREET,EAST   51 STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-02T00:00:00.000,17 BROOKLYN,3046380039,BROOKLYN,1003722,178305,UNKNOWN,Unspecified,BROOKLYN,40.65606131921411,-73.92982141138428,"{'latitude': '40.65606131921411', 'longitude': '-73.92982141138428', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58975488,2023-09-30T08:51:36.000,2023-10-02T07:48:00.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,11105,22-70 37 STREET,37 STREET,DITMARS BOULEVARD,23 AVENUE,ADDRESS,ASTORIA,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-10-02T07:48:00.000,01 QUEENS,4008210059,QUEENS,1009465,220791,ONLINE,Unspecified,QUEENS,40.772660669021576,-73.90896407627177,"{'latitude': '40.772660669021576', 'longitude': '-73.90896407627177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,DITMARS BOULEVARD,23 AVENUE,37 STREET,,,,,,,
58969893,2023-09-30T08:51:11.000,2023-09-30T09:43:13.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10031,619 WEST  140 STREET,WEST  140 STREET,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T09:43:20.000,09 MANHATTAN,1020880019,MANHATTAN,996990,239405,ONLINE,Unspecified,MANHATTAN,40.8237778040186,-73.95396833438598,"{'latitude': '40.8237778040186', 'longitude': '-73.95396833438598', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,BROADWAY,RIVERSIDE DRIVE,WEST  140 STREET,,,,,,,
58969629,2023-09-30T08:50:58.000,2023-09-30T12:22:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,10452,1025 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST  164 STREET,WEST  165 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T12:22:45.000,04 BRONX,2025120075,BRONX,1004285,242830,PHONE,Unspecified,BRONX,40.83316491277668,-73.92760010976495,"{'latitude': '40.83316491277668', 'longitude': '-73.92760010976495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST  164 STREET,WEST  165 STREET,WOODYCREST AVENUE,,,,,,,
58975167,2023-09-30T08:50:57.000,2023-10-07T17:23:57.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11377,59-29 QUEENS BOULEVARD,QUEENS BOULEVARD,,,ADDRESS,WOODSIDE,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-07T00:00:00.000,02 QUEENS,4013340071,QUEENS,1010501,209478,PHONE,Unspecified,QUEENS,40.74160637319744,-73.90526788866985,"{'latitude': '40.74160637319744', 'longitude': '-73.90526788866985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58971823,2023-09-30T08:50:46.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,10453,1852 ANDREWS AVENUE,ANDREWS AVENUE,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,ADDRESS,BRONX,Closed,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",2023-09-30T09:33:54.000,05 BRONX,2028790014,BRONX,1007838,249903,PHONE,Unspecified,BRONX,40.85256944494358,-73.91473586693849,"{'latitude': '40.85256944494358', 'longitude': '-73.91473586693849', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,ANDREWS AVENUE,,,,,,,
58969438,2023-09-30T08:50:37.000,2023-09-30T09:48:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,11377,60-10 47 AVENUE,47 AVENUE,60 STREET,61 STREET,ADDRESS,WOODSIDE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T09:48:18.000,02 QUEENS,4023220001,QUEENS,1010762,208861,MOBILE,Unspecified,QUEENS,40.73991208408455,-73.9043284492515,"{'latitude': '40.73991208408455', 'longitude': '-73.9043284492515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,60 STREET,61 STREET,47 AVENUE,,,,,,,
58970214,2023-09-30T08:50:29.000,2023-10-06T16:11:24.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,11101,42-66 HUNTER STREET,HUNTER STREET,,,ADDRESS,LONG ISLAND CITY,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-10-06T00:00:00.000,02 QUEENS,4004310024,QUEENS,1000768,212061,PHONE,Unspecified,QUEENS,40.74871959445029,-73.94038505538362,"{'latitude': '40.74871959445029', 'longitude': '-73.94038505538362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58969368,2023-09-30T08:50:13.000,2023-10-31T10:47:26.000,DOT,Department of Transportation,Outdoor Dining,Site Setup Condition,10029,2247 FIRST AVENUE,FIRST AVENUE,EAST  115 STREET,EAST  116 STREET,ADDRESS,NEW YORK,Closed,The Department of Transportation inspected this location and determined that the establishment has 24 hours to come into compliance.,2023-10-31T10:47:30.000,11 MANHATTAN,1016870026,MANHATTAN,1002052,229147,PHONE,Unspecified,MANHATTAN,40.7956136950502,-73.93570572517672,"{'latitude': '40.7956136950502', 'longitude': '-73.93570572517672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,EAST  115 STREET,EAST  116 STREET,1 AVENUE,,,,,,,
58971976,2023-09-30T08:50:00.000,2023-10-02T12:07:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),11201,148 CLINTON STREET,CLINTON STREET,AITKEN PL,SCHERMERHORN ST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-10-02T12:07:00.000,02 BROOKLYN,3002670027,BROOKLYN,986048,191395,ONLINE,Unspecified,BROOKLYN,40.6920116524845,-73.99351637616645,"{'latitude': '40.6920116524845', 'longitude': '-73.99351637616645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,,,,,,
58969728,2023-09-30T08:49:04.000,2023-09-30T10:03:11.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11203,551 TROY AVENUE,TROY AVENUE,RUTLAND ROAD,FENIMORE STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T10:03:13.000,09 BROOKLYN,3048240081,BROOKLYN,1001709,179725,PHONE,Unspecified,BROOKLYN,40.65996310409159,-73.93707273940902,"{'latitude': '40.65996310409159', 'longitude': '-73.93707273940902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,RUTLAND ROAD,FENIMORE STREET,TROY AVENUE,,,,,,,
58968299,2023-09-30T08:49:03.000,2023-09-30T09:31:08.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11204,1861 71 STREET,71 STREET,18 AVENUE,19 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T09:31:13.000,11 BROOKLYN,3061720046,BROOKLYN,986345,163331,MOBILE,Unspecified,BROOKLYN,40.61498203672018,-73.99245410587412,"{'latitude': '40.61498203672018', 'longitude': '-73.99245410587412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,18 AVENUE,19 AVENUE,71 STREET,,,,,,,
58969792,2023-09-30T08:49:00.000,2023-09-30T10:15:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,10038,,,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-30T10:15:00.000,01 MANHATTAN,,MANHATTAN,983248,198316,UNKNOWN,Unspecified,MANHATTAN,40.71100830237145,-74.0036142617108,"{'latitude': '40.71100830237145', 'longitude': '-74.0036142617108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,GOLD STREET,FRANKFORT STREET,,N/A,,,,,,
58969448,2023-09-30T08:48:56.000,2023-10-02T08:05:59.000,DSNY,Department of Sanitation,Obstruction,Cone,10458,305 EAST KINGSBRIDGE ROAD,EAST KINGSBRIDGE ROAD,COLES LANE,EAST FORDHAM ROAD,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-02T08:06:05.000,07 BRONX,2032930009,BRONX,1013529,253637,PHONE,Unspecified,BRONX,40.86280111069227,-73.89414817497088,"{'latitude': '40.86280111069227', 'longitude': '-73.89414817497088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,COLES LANE,EAST FORDHAM ROAD,EAST KINGSBRIDGE ROAD,,,,,,,
59456443,2023-09-30T08:48:41.000,2023-10-07T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11377,59-29 QUEENS BOULEVARD,QUEENS BOULEVARD,59 PLACE,60 STREET,ADDRESS,WOODSIDE,Closed,,2023-10-07T00:00:00.000,02 QUEENS,4013340071,QUEENS,1010501,209478,PHONE,Unspecified,QUEENS,40.74160637319744,-73.90526788866985,"{'latitude': '40.74160637319744', 'longitude': '-73.90526788866985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,59 PLACE,60 STREET,QUEENS BOULEVARD,,,,,,,
58970644,2023-09-30T08:48:17.000,2023-10-04T09:57:20.000,DSNY,Department of Sanitation,Missed Collection,Trash,11225,26 LUDLAM PLACE,LUDLAM PLACE,MONTGOMERY STREET,SULLIVAN PLACE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-03T13:01:12.000,09 BROOKLYN,3013040080,BROOKLYN,996723,181567,ONLINE,Unspecified,BROOKLYN,40.66502741366468,-73.9550403070138,"{'latitude': '40.66502741366468', 'longitude': '-73.9550403070138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,MONTGOMERY STREET,SULLIVAN PLACE,LUDLAM PLACE,,,,,,,
58975218,2023-09-30T08:48:01.000,2023-09-30T10:16:33.000,NYPD,New York City Police Department,Drug Activity,Use Indoor,11212,91 JUNIUS STREET,JUNIUS STREET,LIBERTY AVENUE,GLENMORE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T10:16:38.000,16 BROOKLYN,3036967501,BROOKLYN,1010942,184416,PHONE,Unspecified,BROOKLYN,40.6728158292927,-73.90377579949111,"{'latitude': '40.6728158292927', 'longitude': '-73.90377579949111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Other,LIBERTY AVENUE,GLENMORE AVENUE,JUNIUS STREET,,,,,,,
59439999,2023-09-30T08:47:44.000,2023-10-06T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,11101,42-66 HUNTER STREET,HUNTER STREET,28 STREET,ED KOCH BR UPPER RDWY EN THOMSON,ADDRESS,LONG ISLAND CITY,Closed,,2023-10-06T00:00:00.000,02 QUEENS,4004310024,QUEENS,1000768,212061,PHONE,Unspecified,QUEENS,40.74871959445029,-73.94038505538362,"{'latitude': '40.74871959445029', 'longitude': '-73.94038505538362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,28 STREET,ED KOCH BR UPPER RDWY EN THOMSON,HUNTER STREET,,,,,,,
58968934,2023-09-30T08:47:39.000,2023-09-30T21:36:44.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10455,454 EAST  148 STREET,EAST  148 STREET,,,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-30T00:00:00.000,01 BRONX,2022920037,BRONX,1007336,236097,ONLINE,Unspecified,BRONX,40.81467729817504,-73.91659797261006,"{'latitude': '40.81467729817504', 'longitude': '-73.91659797261006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58975138,2023-09-30T08:47:34.000,2023-10-05T15:49:40.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10037,657 LENOX AVENUE,LENOX AVENUE,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,10 MANHATTAN,1020110036,MANHATTAN,1001608,237673,PHONE,Unspecified,MANHATTAN,40.81901608679031,-73.93728724406722,"{'latitude': '40.81901608679031', 'longitude': '-73.93728724406722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58976689,2023-09-30T08:47:17.000,2023-10-07T11:51:24.000,DSNY,Department of Sanitation,Missed Collection,Trash,11211,156 DEVOE STREET,DEVOE STREET,MANHATTAN AVENUE,GRAHAM AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-10-02T13:22:06.000,01 BROOKLYN,3027700022,BROOKLYN,999540,199313,ONLINE,Unspecified,BROOKLYN,40.713731674720556,-73.94484598491579,"{'latitude': '40.713731674720556', 'longitude': '-73.94484598491579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,MANHATTAN AVENUE,GRAHAM AVENUE,DEVOE STREET,,,,,,,
58975962,2023-09-30T08:46:49.000,2023-09-30T09:00:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10034,109 POST AVENUE,POST AVENUE,WEST  204 STREET,WEST  207 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T09:00:33.000,12 MANHATTAN,1022190001,MANHATTAN,1006227,254199,PHONE,Unspecified,MANHATTAN,40.8643648284726,-73.92054510016914,"{'latitude': '40.8643648284726', 'longitude': '-73.92054510016914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,WEST  204 STREET,WEST  207 STREET,POST AVENUE,,,,,,,
58969717,2023-09-30T08:46:31.000,2023-09-30T10:20:24.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10453,1791 JEROME AVENUE,JEROME AVENUE,EAST  176 STREET,MOUNT HOPE PLACE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T10:20:28.000,05 BRONX,,BRONX,1008741,248582,PHONE,Unspecified,BRONX,40.84894123449123,-73.91147659799113,"{'latitude': '40.84894123449123', 'longitude': '-73.91147659799113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST  176 STREET,MOUNT HOPE PLACE,JEROME AVENUE,,,,,,,
58969748,2023-09-30T08:46:05.000,2023-09-30T09:09:45.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11234,44 BARLOW DRIVE NORTH,BARLOW DRIVE NORTH,UTAH WALK,BASSETT AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T09:09:49.000,18 BROOKLYN,3086240001,BROOKLYN,1010636,161633,PHONE,Unspecified,BROOKLYN,40.61028233879299,-73.90496802655359,"{'latitude': '40.61028233879299', 'longitude': '-73.90496802655359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,UTAH WALK,BASSETT AVENUE,BARLOW DRIVE NORTH,,,,,,,
58969466,2023-09-30T08:45:26.000,2023-10-25T13:18:19.000,DSNY,Department of Sanitation,Missed Collection,Trash and Bulky Trash,10473,2107 SEWARD AVENUE,SEWARD AVENUE,OLMSTEAD AVENUE,CASTLE HILL AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation collected the requested items.,2023-10-03T00:37:07.000,09 BRONX,2036100025,BRONX,1025487,238351,ONLINE,Unspecified,BRONX,40.82079780574966,-73.85101070496931,"{'latitude': '40.82079780574966', 'longitude': '-73.85101070496931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,OLMSTEAD AVENUE,CASTLE HILL AVENUE,SEWARD AVENUE,,,,,,,
58970887,2023-09-30T08:45:22.000,2023-09-30T10:22:00.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11208,2601 PITKIN AVENUE,PITKIN AVENUE,LOGAN STREET,FOUNTAIN AVENUE,ADDRESS,BROOKLYN,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-30T10:22:03.000,05 BROOKLYN,3042090043,BROOKLYN,1018631,185154,MOBILE,Unspecified,BROOKLYN,40.67481494926947,-73.87605335524468,"{'latitude': '40.67481494926947', 'longitude': '-73.87605335524468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,LOGAN STREET,FOUNTAIN AVENUE,PITKIN AVENUE,,,,,,,
59450534,2023-09-30T08:45:08.000,2023-09-30T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,10455,454 EAST  148 STREET,EAST  148 STREET,BERGEN AVENUE,BROOK AVENUE,ADDRESS,BRONX,Closed,,2023-09-30T00:00:00.000,01 BRONX,2022920037,BRONX,1007336,236097,ONLINE,Unspecified,BRONX,40.81467729817504,-73.91659797261006,"{'latitude': '40.81467729817504', 'longitude': '-73.91659797261006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Building-Wide,BERGEN AVENUE,BROOK AVENUE,EAST  148 STREET,,,,,,,
58968936,2023-09-30T08:45:00.000,2023-10-01T20:03:12.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10456,1237 COLLEGE AVENUE,COLLEGE AVENUE,,,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection. No violations were issued. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,04 BRONX,2024390069,BRONX,1008395,243089,ONLINE,Unspecified,BRONX,40.8338655128177,-73.9127470003725,"{'latitude': '40.8338655128177', 'longitude': '-73.9127470003725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58972645,2023-09-30T08:44:58.000,2023-10-01T16:17:13.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10463,3110 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,,,ADDRESS,BRONX,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-01T00:00:00.000,08 BRONX,2032540005,BRONX,1011872,259034,MOBILE,Unspecified,BRONX,40.87761955641205,-73.90011644259737,"{'latitude': '40.87761955641205', 'longitude': '-73.90011644259737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58968885,2023-09-30T08:44:28.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,10462,2254 HAVILAND AVENUE,HAVILAND AVENUE,,,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-30T00:00:00.000,09 BRONX,2038180029,BRONX,1026041,241963,PHONE,Unspecified,BRONX,40.83070909959236,-73.84898660890173,"{'latitude': '40.83070909959236', 'longitude': '-73.84898660890173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58973348,2023-09-30T08:44:27.000,2023-10-03T00:00:00.000,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,11235,2665 HOMECREST AVENUE,HOMECREST AVENUE,,,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-03T00:00:00.000,15 BROOKLYN,3074570055,BROOKLYN,996241,152846,UNKNOWN,Unspecified,BROOKLYN,40.5861949755111,-73.95682872714403,"{'latitude': '40.5861949755111', 'longitude': '-73.95682872714403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,,,,,,
58977883,2023-09-30T08:44:27.000,2023-10-02T11:50:19.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,11411,115-63 225 STREET,225 STREET,115 ROAD,116 AVENUE,ADDRESS,CAMBRIA HEIGHTS,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-10-02T11:50:19.000,13 QUEENS,4113070011,QUEENS,1057968,193270,ONLINE,Unspecified,QUEENS,40.6968512369884,-73.73415171869614,"{'latitude': '40.6968512369884', 'longitude': '-73.73415171869614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,115 ROAD,116 AVENUE,225 STREET,,,,,,,
58972648,2023-09-30T08:44:25.000,2023-10-02T11:06:53.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,11212,91 JUNIUS STREET,JUNIUS STREET,,,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,16 BROOKLYN,3036967501,BROOKLYN,1010942,184416,ONLINE,Unspecified,BROOKLYN,40.6728158292927,-73.90377579949111,"{'latitude': '40.6728158292927', 'longitude': '-73.90377579949111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58974303,2023-09-30T08:44:12.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,10025,252 WEST  108 STREET,WEST  108 STREET,,,ADDRESS,NEW YORK,Closed,The Department of Buildings investigated this complaint and issued a partial stop work order violation.,2023-10-02T00:00:00.000,07 MANHATTAN,1018790061,MANHATTAN,993439,231686,UNKNOWN,Unspecified,MANHATTAN,40.80259571118781,-73.96680923366229,"{'latitude': '40.80259571118781', 'longitude': '-73.96680923366229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58976467,2023-09-30T08:44:09.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,11433,111-36 155 STREET,155 STREET,111 ROAD,112 AVENUE,ADDRESS,JAMAICA,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 28 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-30T13:08:39.000,12 QUEENS,4121670047,QUEENS,1041592,190260,ONLINE,Unspecified,QUEENS,40.68871076741963,-73.79323364964803,"{'latitude': '40.68871076741963', 'longitude': '-73.79323364964803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,111 ROAD,112 AVENUE,155 STREET,,,,,,,
58977642,2023-09-30T08:44:08.000,2023-09-30T09:17:33.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,10302,239 SHARPE AVENUE,SHARPE AVENUE,CHARLES AVENUE,POST AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T09:17:37.000,01 STATEN ISLAND,5010890003,STATEN ISLAND,946178,170460,PHONE,Unspecified,STATEN ISLAND,40.63446807663559,-74.13717006448674,"{'latitude': '40.63446807663559', 'longitude': '-74.13717006448674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,CHARLES AVENUE,POST AVENUE,SHARPE AVENUE,,,,,,,
58973511,2023-09-30T08:44:08.000,2023-09-30T09:14:59.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11373,84-11 ELMHURST AVENUE,ELMHURST AVENUE,45 AVENUE,MACNISH STREET,ADDRESS,ELMHURST,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T09:15:02.000,04 QUEENS,4015180083,QUEENS,1017309,209692,ONLINE,Unspecified,QUEENS,40.742170920631054,-73.88069880145515,"{'latitude': '40.742170920631054', 'longitude': '-73.88069880145515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,45 AVENUE,MACNISH STREET,ELMHURST AVENUE,,,,,,,
58970773,2023-09-30T08:44:00.000,2023-09-30T09:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11215,260 20 STREET,20 STREET,5 AVE,6 AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T09:00:00.000,07 BROOKLYN,3008910018,BROOKLYN,986411,180286,ONLINE,Unspecified,BROOKLYN,40.66151987424062,-73.99221095296394,"{'latitude': '40.66151987424062', 'longitude': '-73.99221095296394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
