unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough
58945049,2023-09-27T23:59:57.000,2023-09-28T00:17:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,11231,122 3 STREET,3 STREET,HOYT STREET,BOND STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T00:17:51.000,06 BROOKLYN,,BROOKLYN,986426,185953,ONLINE,Unspecified,BROOKLYN,40.67707452028277,-73.992155058102,"{'latitude': '40.67707452028277', 'longitude': '-73.992155058102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,HOYT STREET,BOND STREET,3 STREET,,,,,
58937849,2023-09-27T23:59:45.000,2023-09-28T02:18:40.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,10463,3869 ORLOFF AVENUE,ORLOFF AVENUE,CANNON PLACE,CHARLES HALLEY PLACE,ADDRESS,BRONX,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T02:18:45.000,08 BRONX,,BRONX,1012950,261410,MOBILE,Unspecified,BRONX,40.88413749326541,-73.89620812405967,"{'latitude': '40.88413749326541', 'longitude': '-73.89620812405967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,CANNON PLACE,CHARLES HALLEY PLACE,ORLOFF AVENUE,,,,,
58936087,2023-09-27T23:59:20.000,2023-09-28T00:08:18.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11225,332 ROGERS AVENUE,ROGERS AVENUE,MONTGOMERY STREET,SULLIVAN PLACE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-28T00:08:24.000,09 BROOKLYN,3013040129,BROOKLYN,997085,181613,ONLINE,Unspecified,BROOKLYN,40.66515315606502,-73.95373536849284,"{'latitude': '40.66515315606502', 'longitude': '-73.95373536849284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,MONTGOMERY STREET,SULLIVAN PLACE,ROGERS AVENUE,,,,,
58949161,2023-09-27T23:59:07.000,2023-11-27T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,11225,2100 WESTBURY COURT,WESTBURY COURT,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-11-27T00:00:00.000,09 BROOKLYN,3050260257,BROOKLYN,995154,178522,UNKNOWN,Unspecified,BROOKLYN,40.65667163234827,-73.96070078703764,"{'latitude': '40.65667163234827', 'longitude': '-73.96070078703764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58951108,2023-09-27T23:59:05.000,2023-10-05T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,10310,516 CLOVE ROAD,CLOVE ROAD,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-10-05T00:00:00.000,01 STATEN ISLAND,5002300074,STATEN ISLAND,950490,168119,UNKNOWN,Unspecified,STATEN ISLAND,40.628060016722465,-74.12162261872949,"{'latitude': '40.628060016722465', 'longitude': '-74.12162261872949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58937837,2023-09-27T23:59:04.000,2023-09-28T02:22:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,10463,3995 HILLMAN AVENUE,HILLMAN AVENUE,SEDGWICK AVENUE,VAN CORTLANDT PARK SOUTH,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:22:28.000,08 BRONX,2032520237,BRONX,1014441,261164,MOBILE,Unspecified,BRONX,40.88345732580543,-73.89081712384558,"{'latitude': '40.88345732580543', 'longitude': '-73.89081712384558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,SEDGWICK AVENUE,VAN CORTLANDT PARK SOUTH,HILLMAN AVENUE,,,,,
58941299,2023-09-27T23:59:04.000,2023-09-28T00:24:04.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),11375,68-40 AUSTIN STREET,AUSTIN STREET,YELLOWSTONE BOULEVARD,BEND,ADDRESS,FOREST HILLS,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T00:24:10.000,06 QUEENS,4032340022,QUEENS,1025547,202516,ONLINE,Unspecified,QUEENS,40.7224399589477,-73.8510141316442,"{'latitude': '40.7224399589477', 'longitude': '-73.8510141316442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,YELLOWSTONE BOULEVARD,BEND,AUSTIN STREET,,,,,
58941208,2023-09-27T23:59:03.000,2023-09-28T01:23:27.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10470,4632 CARPENTER AVENUE,CARPENTER AVENUE,EAST  240 STREET,EAST  241 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T01:23:32.000,12 BRONX,2050790026,BRONX,1024715,268563,ONLINE,Unspecified,BRONX,40.90372407540601,-73.85361752719896,"{'latitude': '40.90372407540601', 'longitude': '-73.85361752719896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EAST  240 STREET,EAST  241 STREET,CARPENTER AVENUE,,,,,
58945392,2023-09-27T23:58:44.000,2023-09-28T01:27:59.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11222,217 JAVA STREET,JAVA STREET,MCGUINNESS BOULEVARD,PROVOST STREET,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T01:28:04.000,01 BROOKLYN,,BROOKLYN,997738,205940,ONLINE,Unspecified,BROOKLYN,40.731924114269006,-73.95133286825984,"{'latitude': '40.731924114269006', 'longitude': '-73.95133286825984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MCGUINNESS BOULEVARD,PROVOST STREET,JAVA STREET,,,,,
58944239,2023-09-27T23:58:31.000,2023-09-28T02:11:44.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,10463,140 VAN CORTLANDT AVENUE WEST,VAN CORTLANDT AVENUE WEST,ORLOFF AVENUE,BAILEY AVENUE,ADDRESS,BRONX,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T02:11:47.000,08 BRONX,2032630050,BRONX,1013477,261848,MOBILE,Unspecified,BRONX,40.88533793571508,-73.89430034979004,"{'latitude': '40.88533793571508', 'longitude': '-73.89430034979004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,ORLOFF AVENUE,BAILEY AVENUE,VAN CORTLANDT AVENUE WEST,,,,,
58938689,2023-09-27T23:58:26.000,2023-09-28T00:16:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,11106,36-63 34 STREET,34 STREET,36 AVENUE,37 AVENUE,ADDRESS,ASTORIA,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T00:16:26.000,01 QUEENS,,QUEENS,1004146,214137,MOBILE,Unspecified,QUEENS,40.754410732266955,-73.92818741282252,"{'latitude': '40.754410732266955', 'longitude': '-73.92818741282252', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,36 AVENUE,37 AVENUE,34 STREET,,,,,
58939985,2023-09-27T23:57:26.000,2023-09-28T00:12:37.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10021,301 EAST   73 STREET,EAST   73 STREET,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T00:12:41.000,08 MANHATTAN,,MANHATTAN,996021,219571,PHONE,Unspecified,MANHATTAN,40.769340213072766,-73.95750425223513,"{'latitude': '40.769340213072766', 'longitude': '-73.95750425223513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,2 AVENUE,1 AVENUE,EAST   73 STREET,,,,,
58942458,2023-09-27T23:57:21.000,2023-09-28T00:29:15.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11220,834 62 STREET,62 STREET,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T00:29:20.000,10 BROOKLYN,,BROOKLYN,981506,170198,ONLINE,Unspecified,BROOKLYN,40.63383033611589,-74.00988629194552,"{'latitude': '40.63383033611589', 'longitude': '-74.00988629194552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,8 AVENUE,9 AVENUE,62 STREET,,,,,
58941863,2023-09-27T23:57:14.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,10169,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,ADDRESS,NEW YORK,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-28T01:37:09.000,05 MANHATTAN,1013000001,MANHATTAN,990913,214165,MOBILE,Unspecified,MANHATTAN,40.75450745921105,-73.97595054706579,"{'latitude': '40.75450745921105', 'longitude': '-73.97595054706579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST   45 STREET,EAST   46 STREET,PARK AVENUE,,,,,
58943746,2023-09-27T23:57:10.000,2023-09-28T00:35:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11226,726 OCEAN AVENUE,OCEAN AVENUE,REGENT PLACE,BEVERLEY ROAD,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T00:35:37.000,14 BROOKLYN,,BROOKLYN,995329,174315,ONLINE,Unspecified,BROOKLYN,40.64512411588355,-73.96007697831942,"{'latitude': '40.64512411588355', 'longitude': '-73.96007697831942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,REGENT PLACE,BEVERLEY ROAD,OCEAN AVENUE,,,,,
58942189,2023-09-27T23:56:57.000,2023-09-28T00:10:30.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11228,1474 76 STREET,76 STREET,14 AVENUE,15 AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T00:10:34.000,11 BROOKLYN,,BROOKLYN,983038,164234,MOBILE,Unspecified,BROOKLYN,40.61746074949296,-74.00436561493296,"{'latitude': '40.61746074949296', 'longitude': '-74.00436561493296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,14 AVENUE,15 AVENUE,76 STREET,,,,,
58939108,2023-09-27T23:56:48.000,2023-09-28T14:48:27.000,TLC,Taxi and Limousine Commission,Lost Property,Clothing/Glasses,11430,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,UNRECOGNIZED,JAMAICA,,Closed,See notes for information.,2023-09-28T14:48:30.000,83 QUEENS,4142600001,QUEENS,1043001,175548,PHONE,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Taxi,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,JOHN F KENNEDY AIRPORT,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,
58935888,2023-09-27T23:56:24.000,2023-09-28T00:13:51.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,11201,42 HOYT STREET,HOYT STREET,LIVINGSTON STREET,SCHERMERHORN STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T00:13:54.000,02 BROOKLYN,,BROOKLYN,988140,190409,ONLINE,Unspecified,BROOKLYN,40.689304637455585,-73.98597315191186,"{'latitude': '40.689304637455585', 'longitude': '-73.98597315191186', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Club/Bar/Restaurant,LIVINGSTON STREET,SCHERMERHORN STREET,HOYT STREET,,,,,
58936027,2023-09-27T23:56:10.000,2023-09-28T00:27:48.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11249,48 SOUTH FOURTH STREET,SOUTH FOURTH STREET,KENT AVENUE,WYTHE AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T00:27:51.000,01 BROOKLYN,3024410021,BROOKLYN,993584,199043,MOBILE,Unspecified,BROOKLYN,40.712998877490364,-73.96633081126946,"{'latitude': '40.712998877490364', 'longitude': '-73.96633081126946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Store/Commercial,KENT AVENUE,WYTHE AVENUE,SOUTH    4 STREET,,,,,
58949927,2023-09-27T23:56:03.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Sign/Awning/Marquee - Illegal/No Permit,11201,75 HOYT STREET,HOYT STREET,,,ADDRESS,BROOKLYN,N/A,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-28T00:00:00.000,02 BROOKLYN,3001770001,BROOKLYN,987949,190026,UNKNOWN,Unspecified,BROOKLYN,40.688253472357545,-73.98666208403226,"{'latitude': '40.688253472357545', 'longitude': '-73.98666208403226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58936148,2023-09-27T23:55:51.000,2023-09-28T00:13:16.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,10282,400 CHAMBERS STREET,CHAMBERS STREET,NORTH END AVENUE,RIVER TERRACE,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T00:13:19.000,01 MANHATTAN,1000167522,MANHATTAN,980312,200781,MOBILE,Unspecified,MANHATTAN,40.717773318941944,-74.01420599534325,"{'latitude': '40.717773318941944', 'longitude': '-74.01420599534325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,NORTH END AVENUE,RIVER TERRACE,CHAMBERS STREET,,,,,
58937875,2023-09-27T23:55:21.000,2023-10-18T09:27:24.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,11234,7271 ROYCE PLACE,ROYCE PLACE,ROYCE STREET,BERGEN AVENUE,ADDRESS,BROOKLYN,,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-18T09:27:29.000,18 BROOKLYN,3083730006,BROOKLYN,1009393,167111,PHONE,Unspecified,BROOKLYN,40.62532191796573,-73.90942441901987,"{'latitude': '40.62532191796573', 'longitude': '-73.90942441901987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,ROYCE STREET,BERGEN AVENUE,ROYCE PLACE,,,,,
58937785,2023-09-27T23:55:16.000,2023-09-28T08:50:41.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11211,296 MARCY AVENUE,MARCY AVENUE,HEWES STREET,PENN STREET,ADDRESS,BROOKLYN,,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-27T23:55:16.000,01 BROOKLYN,3022120038,BROOKLYN,996624,195972,PHONE,Unspecified,BROOKLYN,40.704565981360865,-73.95537070427908,"{'latitude': '40.704565981360865', 'longitude': '-73.95537070427908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Other (Explain Below),HEWES STREET,PENN STREET,MARCY AVENUE,,,,,
58939771,2023-09-27T23:54:45.000,2023-09-28T00:37:31.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11212,343 EAST   91 STREET,EAST   91 STREET,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-28T00:37:35.000,17 BROOKLYN,,BROOKLYN,1005486,178698,ONLINE,Unspecified,BROOKLYN,40.6571359629585,-73.92346258497189,"{'latitude': '40.6571359629585', 'longitude': '-73.92346258497189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,CLARKSON AVENUE,LENOX ROAD,EAST   91 STREET,,,,,
58940322,2023-09-27T23:54:10.000,2023-09-28T04:41:59.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11223,282 AVENUE W,AVENUE W,STRYKER STREET,WEST    1 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T04:42:07.000,15 BROOKLYN,,BROOKLYN,991886,155123,PHONE,Unspecified,BROOKLYN,40.59244970663936,-73.97250548665313,"{'latitude': '40.59244970663936', 'longitude': '-73.97250548665313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,STRYKER STREET,WEST    1 STREET,AVENUE W,,,,,
58943814,2023-09-27T23:54:03.000,2023-09-28T00:34:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,11226,1046 FLATBUSH AVENUE,FLATBUSH AVENUE,REGENT PLACE,DURYEA PLACE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T00:34:25.000,14 BROOKLYN,3051250066,BROOKLYN,995887,174498,MOBILE,Unspecified,BROOKLYN,40.64562569574606,-73.9580659177342,"{'latitude': '40.64562569574606', 'longitude': '-73.9580659177342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,REGENT PLACE,DURYEA PLACE,FLATBUSH AVENUE,,,,,
58940227,2023-09-27T23:53:51.000,2023-09-29T15:23:15.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,11421,91-48 88 ROAD,88 ROAD,,,ADDRESS,WOODHAVEN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,09 QUEENS,4089290106,QUEENS,1025294,191290,PHONE,Unspecified,QUEENS,40.69162846201801,-73.85199529831515,"{'latitude': '40.69162846201801', 'longitude': '-73.85199529831515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58941489,2023-09-27T23:53:51.000,2023-09-29T15:23:14.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CABINET,11421,91-48 88 ROAD,88 ROAD,,,ADDRESS,WOODHAVEN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,09 QUEENS,4089290106,QUEENS,1025294,191290,PHONE,Unspecified,QUEENS,40.69162846201801,-73.85199529831515,"{'latitude': '40.69162846201801', 'longitude': '-73.85199529831515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58943871,2023-09-27T23:53:51.000,2023-09-29T15:23:14.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,11421,91-48 88 ROAD,88 ROAD,,,ADDRESS,WOODHAVEN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,09 QUEENS,4089290106,QUEENS,1025294,191290,PHONE,Unspecified,QUEENS,40.69162846201801,-73.85199529831515,"{'latitude': '40.69162846201801', 'longitude': '-73.85199529831515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58940075,2023-09-27T23:53:51.000,2023-09-29T15:23:14.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,11421,91-48 88 ROAD,88 ROAD,,,ADDRESS,WOODHAVEN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,09 QUEENS,4089290106,QUEENS,1025294,191290,PHONE,Unspecified,QUEENS,40.69162846201801,-73.85199529831515,"{'latitude': '40.69162846201801', 'longitude': '-73.85199529831515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58942632,2023-09-27T23:53:51.000,2023-09-29T15:23:14.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,11421,91-48 88 ROAD,88 ROAD,,,ADDRESS,WOODHAVEN,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-29T00:00:00.000,09 QUEENS,4089290106,QUEENS,1025294,191290,PHONE,Unspecified,QUEENS,40.69162846201801,-73.85199529831515,"{'latitude': '40.69162846201801', 'longitude': '-73.85199529831515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58940129,2023-09-27T23:53:51.000,2023-09-29T15:23:14.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,11421,91-48 88 ROAD,88 ROAD,,,ADDRESS,WOODHAVEN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,09 QUEENS,4089290106,QUEENS,1025294,191290,PHONE,Unspecified,QUEENS,40.69162846201801,-73.85199529831515,"{'latitude': '40.69162846201801', 'longitude': '-73.85199529831515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58945114,2023-09-27T23:53:34.000,2023-10-10T17:00:05.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,10456,1043 MORRIS AVENUE,MORRIS AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,04 BRONX,2024480032,BRONX,1007438,241556,PHONE,Unspecified,BRONX,40.82966043470589,-73.91621061656535,"{'latitude': '40.82966043470589', 'longitude': '-73.91621061656535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58937470,2023-09-27T23:53:34.000,2023-10-10T17:00:05.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,10456,1043 MORRIS AVENUE,MORRIS AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,04 BRONX,2024480032,BRONX,1007438,241556,PHONE,Unspecified,BRONX,40.82966043470589,-73.91621061656535,"{'latitude': '40.82966043470589', 'longitude': '-73.91621061656535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58937528,2023-09-27T23:53:34.000,2023-10-10T17:00:04.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,10456,1043 MORRIS AVENUE,MORRIS AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,04 BRONX,2024480032,BRONX,1007438,241556,PHONE,Unspecified,BRONX,40.82966043470589,-73.91621061656535,"{'latitude': '40.82966043470589', 'longitude': '-73.91621061656535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58941468,2023-09-27T23:53:34.000,2023-10-10T17:00:04.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,10456,1043 MORRIS AVENUE,MORRIS AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,04 BRONX,2024480032,BRONX,1007438,241556,PHONE,Unspecified,BRONX,40.82966043470589,-73.91621061656535,"{'latitude': '40.82966043470589', 'longitude': '-73.91621061656535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58937505,2023-09-27T23:53:32.000,2023-10-04T21:16:15.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10009,299 EAST    3 STREET,EAST    3 STREET,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-10-04T00:00:00.000,03 MANHATTAN,1003730051,MANHATTAN,989838,202090,PHONE,Unspecified,MANHATTAN,40.721365320410946,-73.97984068542186,"{'latitude': '40.721365320410946', 'longitude': '-73.97984068542186', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58943719,2023-09-27T23:53:31.000,2023-09-28T00:29:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10026,188 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  119 STREET,WEST  120 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T00:29:47.000,10 MANHATTAN,,MANHATTAN,997312,233016,ONLINE,Unspecified,MANHATTAN,40.80624131824259,-73.95281733094532,"{'latitude': '40.80624131824259', 'longitude': '-73.95281733094532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,WEST  119 STREET,WEST  120 STREET,ST NICHOLAS AVENUE,,,,,
58943646,2023-09-27T23:53:30.000,2023-09-27T23:56:47.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,11102,24-02 19 STREET,19 STREET,24 AVENUE,24 ROAD,ADDRESS,ASTORIA,,Closed,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,2023-09-27T23:56:53.000,01 QUEENS,4008980001,QUEENS,1005632,222482,PHONE,Unspecified,QUEENS,40.777312121014575,-73.92279730348663,"{'latitude': '40.777312121014575', 'longitude': '-73.92279730348663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Park,24 AVENUE,24 ROAD,19 STREET,,,,,
