unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,bridge_highway_direction,road_ramp
58883666,2023-09-21T10:06:02.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10022,950 THIRD AVENUE,THIRD AVENUE,EAST 56 STREET,EAST 57 STREET,EAST   56 STREET,EAST   57 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-21T19:06:38.000,06 MANHATTAN,1013110040,MANHATTAN,993227,216225,MOBILE,Unspecified,MANHATTAN,40.760159586521524,-73.96759563840314,"{'latitude': '40.760159586521524', 'longitude': '-73.96759563840314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882183,2023-09-21T10:06:00.000,2023-09-21T11:21:52.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,11369,31-23 87 STREET,87 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,87 STREET,Closed,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-21T11:21:53.000,03 QUEENS,4013990047,QUEENS,1017137,215913,PHONE,Unspecified,QUEENS,40.75924661975994,-73.88128907932892,"{'latitude': '40.75924661975994', 'longitude': '-73.88128907932892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58886100,2023-09-21T10:05:45.000,2023-09-21T10:43:30.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Dust from Construction,1-2 Family Dwelling,11375,112-38 72 AVENUE,72 AVENUE,112 STREET,DEAD END,112 STREET,DEAD END,ADDRESS,FOREST HILLS,72 AVENUE,Closed,,2023-09-21T10:43:30.000,06 QUEENS,4022480095,QUEENS,1029158,202304,PHONE,Unspecified,QUEENS,40.72184047695846,-73.8379882853003,"{'latitude': '40.72184047695846', 'longitude': '-73.8379882853003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885452,2023-09-21T10:05:37.000,2023-11-03T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,11219,1270 68 STREET,68 STREET,,,,,ADDRESS,BROOKLYN,,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-11-03T00:00:00.000,10 BROOKLYN,3057740031,BROOKLYN,983075,166829,UNKNOWN,Unspecified,BROOKLYN,40.62458348851169,-74.00423279287536,"{'latitude': '40.62458348851169', 'longitude': '-74.00423279287536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,N/A,,,
58885089,2023-09-21T10:05:37.000,2023-09-23T11:55:12.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10306,105 GUYON AVENUE,GUYON AVENUE,AMBOY ROAD,NORTH RAILROAD AVENUE,AMBOY ROAD,NORTH RAILROAD AVENUE,ADDRESS,STATEN ISLAND,GUYON AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-23T05:46:05.000,03 STATEN ISLAND,5042650004,STATEN ISLAND,948824,145056,ONLINE,Unspecified,STATEN ISLAND,40.564750297290544,-74.12750354790401,"{'latitude': '40.564750297290544', 'longitude': '-74.12750354790401', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888109,2023-09-21T10:05:37.000,2023-09-21T10:05:37.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11356,123-11 25 AVENUE,25 AVENUE,,,,,ADDRESS,COLLEGE POINT,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-21T00:00:00.000,07 QUEENS,4042270059,QUEENS,1027151,222266,UNKNOWN,Unspecified,QUEENS,40.77664100915676,-73.84510144978773,"{'latitude': '40.77664100915676', 'longitude': '-73.84510144978773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887683,2023-09-21T10:05:25.000,2023-09-23T11:55:03.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,10306,105 GUYON AVENUE,GUYON AVENUE,AMBOY ROAD,NORTH RAILROAD AVENUE,AMBOY ROAD,NORTH RAILROAD AVENUE,ADDRESS,STATEN ISLAND,GUYON AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T05:43:38.000,03 STATEN ISLAND,5042650004,STATEN ISLAND,948824,145056,ONLINE,Unspecified,STATEN ISLAND,40.564750297290544,-74.12750354790401,"{'latitude': '40.564750297290544', 'longitude': '-74.12750354790401', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885399,2023-09-21T10:05:18.000,2023-09-21T11:51:31.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11368,111-81 41 AVENUE,41 AVENUE,111 STREET,114 STREET,111 STREET,114 STREET,ADDRESS,CORONA,41 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:51:24.000,04 QUEENS,4020130046,QUEENS,1024448,212945,MOBILE,Unspecified,QUEENS,40.75107000877852,-73.85491663600789,"{'latitude': '40.75107000877852', 'longitude': '-73.85491663600789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882780,2023-09-21T10:05:01.000,2023-09-21T12:14:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10469,3223 EASTCHESTER ROAD,EASTCHESTER ROAD,BURKE AVENUE,GIVAN AVENUE,BURKE AVENUE,GIVAN AVENUE,ADDRESS,BRONX,EASTCHESTER ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T12:15:03.000,12 BRONX,2047460021,BRONX,1027252,257582,PHONE,Unspecified,BRONX,40.87357273569075,-73.84451043919967,"{'latitude': '40.87357273569075', 'longitude': '-73.84451043919967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887132,2023-09-21T10:05:01.000,2023-09-22T20:22:38.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11226,2620 BEVERLY ROAD,BEVERLY ROAD,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-22T00:00:00.000,17 BROOKLYN,3051700010,BROOKLYN,997473,174240,MOBILE,Unspecified,BROOKLYN,40.64491531552333,-73.95235125268982,"{'latitude': '40.64491531552333', 'longitude': '-73.95235125268982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890451,2023-09-21T10:05:00.000,2023-09-25T14:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",,11211,9 BUSHWICK AVENUE,BUSHWICK AVENUE,METROPOLITAN AVE,DEVOE ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-25T14:00:00.000,01 BROOKLYN,,BROOKLYN,1000328,199639,ONLINE,Unspecified,BROOKLYN,40.714625069787594,-73.94200273730205,"{'latitude': '40.714625069787594', 'longitude': '-73.94200273730205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,N/A,,,
58881270,2023-09-21T10:05:00.000,2023-09-22T09:39:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10033,436 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,G WASHINGTON BR EN W 179 ST,W 180 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-22T09:39:00.000,12 MANHATTAN,1021760036,MANHATTAN,1001189,248840,ONLINE,Unspecified,MANHATTAN,40.84966708561929,-73.9387728497602,"{'latitude': '40.84966708561929', 'longitude': '-73.9387728497602', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,N/A,,,
58881939,2023-09-21T10:04:56.000,2023-09-28T20:59:40.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10031,516 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,09 MANHATTAN,1019870046,MANHATTAN,996946,237597,PHONE,Unspecified,MANHATTAN,40.8188154188477,-73.95413073413812,"{'latitude': '40.8188154188477', 'longitude': '-73.95413073413812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884585,2023-09-21T10:04:56.000,2023-09-28T20:59:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10031,516 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,09 MANHATTAN,1019870046,MANHATTAN,996946,237597,PHONE,Unspecified,MANHATTAN,40.8188154188477,-73.95413073413812,"{'latitude': '40.8188154188477', 'longitude': '-73.95413073413812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887176,2023-09-21T10:04:56.000,2023-10-04T16:59:33.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10031,516 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,09 MANHATTAN,1019870046,MANHATTAN,996946,237597,PHONE,Unspecified,MANHATTAN,40.8188154188477,-73.95413073413812,"{'latitude': '40.8188154188477', 'longitude': '-73.95413073413812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888505,2023-09-21T10:04:56.000,2023-09-28T20:59:38.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10031,516 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,09 MANHATTAN,1019870046,MANHATTAN,996946,237597,PHONE,Unspecified,MANHATTAN,40.8188154188477,-73.95413073413812,"{'latitude': '40.8188154188477', 'longitude': '-73.95413073413812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891021,2023-09-21T10:04:56.000,2023-10-04T16:59:32.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10031,516 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,09 MANHATTAN,1019870046,MANHATTAN,996946,237597,PHONE,Unspecified,MANHATTAN,40.8188154188477,-73.95413073413812,"{'latitude': '40.8188154188477', 'longitude': '-73.95413073413812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883187,2023-09-21T10:04:56.000,2023-09-28T20:59:40.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10031,516 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,09 MANHATTAN,1019870046,MANHATTAN,996946,237597,PHONE,Unspecified,MANHATTAN,40.8188154188477,-73.95413073413812,"{'latitude': '40.8188154188477', 'longitude': '-73.95413073413812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882028,2023-09-21T10:04:56.000,2023-09-28T20:59:40.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10031,516 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-28T00:00:00.000,09 MANHATTAN,1019870046,MANHATTAN,996946,237597,PHONE,Unspecified,MANHATTAN,40.8188154188477,-73.95413073413812,"{'latitude': '40.8188154188477', 'longitude': '-73.95413073413812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885764,2023-09-21T10:04:56.000,2023-09-28T20:59:41.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10031,516 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,09 MANHATTAN,1019870046,MANHATTAN,996946,237597,PHONE,Unspecified,MANHATTAN,40.8188154188477,-73.95413073413812,"{'latitude': '40.8188154188477', 'longitude': '-73.95413073413812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885905,2023-09-21T10:04:55.000,2023-09-23T17:21:53.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11423,198-06 100 AVENUE,100 AVENUE,,,,,ADDRESS,HOLLIS,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,12 QUEENS,4108650003,QUEENS,1050494,198095,PHONE,Unspecified,QUEENS,40.710153782034816,-73.76105750468781,"{'latitude': '40.710153782034816', 'longitude': '-73.76105750468781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881978,2023-09-21T10:04:52.000,2023-09-25T10:48:29.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10029,10 EAST  116 STREET,EAST  116 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,11 MANHATTAN,1016210066,MANHATTAN,999272,230872,PHONE,Unspecified,MANHATTAN,40.800353512831336,-73.9457422007299,"{'latitude': '40.800353512831336', 'longitude': '-73.9457422007299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885879,2023-09-21T10:04:52.000,2023-09-25T10:48:29.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10029,10 EAST  116 STREET,EAST  116 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,11 MANHATTAN,1016210066,MANHATTAN,999272,230872,PHONE,Unspecified,MANHATTAN,40.800353512831336,-73.9457422007299,"{'latitude': '40.800353512831336', 'longitude': '-73.9457422007299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883170,2023-09-21T10:04:52.000,2023-09-25T10:48:29.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10029,10 EAST  116 STREET,EAST  116 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,11 MANHATTAN,1016210066,MANHATTAN,999272,230872,PHONE,Unspecified,MANHATTAN,40.800353512831336,-73.9457422007299,"{'latitude': '40.800353512831336', 'longitude': '-73.9457422007299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883156,2023-09-21T10:04:52.000,2023-09-25T10:48:28.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10029,10 EAST  116 STREET,EAST  116 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,11 MANHATTAN,1016210066,MANHATTAN,999272,230872,PHONE,Unspecified,MANHATTAN,40.800353512831336,-73.9457422007299,"{'latitude': '40.800353512831336', 'longitude': '-73.9457422007299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888531,2023-09-21T10:04:52.000,2023-09-25T10:48:29.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10029,10 EAST  116 STREET,EAST  116 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,11 MANHATTAN,1016210066,MANHATTAN,999272,230872,PHONE,Unspecified,MANHATTAN,40.800353512831336,-73.9457422007299,"{'latitude': '40.800353512831336', 'longitude': '-73.9457422007299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883272,2023-09-21T10:04:52.000,2023-09-25T10:48:29.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10029,10 EAST  116 STREET,EAST  116 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,11 MANHATTAN,1016210066,MANHATTAN,999272,230872,PHONE,Unspecified,MANHATTAN,40.800353512831336,-73.9457422007299,"{'latitude': '40.800353512831336', 'longitude': '-73.9457422007299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889833,2023-09-21T10:04:52.000,2023-09-25T10:48:30.000,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10029,10 EAST  116 STREET,EAST  116 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,11 MANHATTAN,1016210066,MANHATTAN,999272,230872,PHONE,Unspecified,MANHATTAN,40.800353512831336,-73.9457422007299,"{'latitude': '40.800353512831336', 'longitude': '-73.9457422007299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58884623,2023-09-21T10:04:50.000,2023-10-05T10:11:04.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10027,400 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,10 MANHATTAN,1019550026,MANHATTAN,998112,235734,PHONE,Unspecified,MANHATTAN,40.813700254006314,-73.94992195186114,"{'latitude': '40.813700254006314', 'longitude': '-73.94992195186114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881902,2023-09-21T10:04:47.000,2023-09-26T09:55:36.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11216,1409 FULTON STREET,FULTON STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-26T00:00:00.000,03 BROOKLYN,3018540057,BROOKLYN,999534,187077,PHONE,Unspecified,BROOKLYN,40.68014671827999,-73.94489539365118,"{'latitude': '40.68014671827999', 'longitude': '-73.94489539365118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881921,2023-09-21T10:04:47.000,2023-09-26T09:55:36.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11216,1409 FULTON STREET,FULTON STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-26T00:00:00.000,03 BROOKLYN,3018540057,BROOKLYN,999534,187077,PHONE,Unspecified,BROOKLYN,40.68014671827999,-73.94489539365118,"{'latitude': '40.68014671827999', 'longitude': '-73.94489539365118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881984,2023-09-21T10:04:47.000,2023-09-26T09:55:36.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11216,1409 FULTON STREET,FULTON STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,03 BROOKLYN,3018540057,BROOKLYN,999534,187077,PHONE,Unspecified,BROOKLYN,40.68014671827999,-73.94489539365118,"{'latitude': '40.68014671827999', 'longitude': '-73.94489539365118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889910,2023-09-21T10:04:47.000,2023-09-26T09:55:35.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11216,1409 FULTON STREET,FULTON STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-26T00:00:00.000,03 BROOKLYN,3018540057,BROOKLYN,999534,187077,PHONE,Unspecified,BROOKLYN,40.68014671827999,-73.94489539365118,"{'latitude': '40.68014671827999', 'longitude': '-73.94489539365118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896918,2023-09-21T10:04:42.000,2023-09-25T10:48:37.000,DOT,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,10314,CHANDLER AVENUE,CHANDLER AVENUE,CHANDLER AVENUE,JEWETT AVENUE,CHANDLER AVENUE,JEWETT AVENUE,INTERSECTION,,,Closed,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-09-25T10:48:42.000,01 STATEN ISLAND,,STATEN ISLAND,947921,162983,PHONE,Unspecified,STATEN ISLAND,40.61395262028307,-74.1308499579421,"{'latitude': '40.61395262028307', 'longitude': '-74.1308499579421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888889,2023-09-21T10:04:39.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,10021,200 EAST   72 STREET,EAST   72 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   72 STREET,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-21T13:10:29.000,08 MANHATTAN,1014260044,MANHATTAN,995254,219665,ONLINE,Unspecified,MANHATTAN,40.769599206614636,-73.96027312678187,"{'latitude': '40.769599206614636', 'longitude': '-73.96027312678187', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882951,2023-09-21T10:04:35.000,2023-09-21T12:46:07.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11103,25-35 37 STREET,37 STREET,ASTORIA BOULEVARD SOUTH,28 AVENUE,ASTORIA BOULEVARD SOUTH,28 AVENUE,ADDRESS,ASTORIA,37 STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-21T12:46:14.000,01 QUEENS,4006530023,QUEENS,1008030,218955,UNKNOWN,Unspecified,QUEENS,40.76762530641931,-73.91415147542368,"{'latitude': '40.76762530641931', 'longitude': '-73.91415147542368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58886460,2023-09-21T10:04:34.000,2023-09-22T09:32:53.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Sidewalk,11207,FANCHON PLACE,FANCHON PLACE,FANCHON PLACE,HIGHLAND BOULEVARD,FANCHON PLACE,HIGHLAND BOULEVARD,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-21T11:32:27.000,05 BROOKLYN,,BROOKLYN,1012292,186875,PHONE,Unspecified,BROOKLYN,40.67956105192572,-73.89889884573184,"{'latitude': '40.67956105192572', 'longitude': '-73.89889884573184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58886304,2023-09-21T10:04:28.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10036,1185 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,WEST 46 STREET,WEST 47 STREET,WEST   46 STREET,WEST   47 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-21T16:15:38.000,05 MANHATTAN,1009990029,MANHATTAN,989202,215286,ONLINE,Unspecified,MANHATTAN,40.75758544240214,-73.98212540995675,"{'latitude': '40.75758544240214', 'longitude': '-73.98212540995675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
