unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58927467,2023-09-26T11:49:35.000,2023-09-28T16:40:44.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,11211,175 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-28T00:00:00.000,01 BROOKLYN,BROOKLYN,996053,200904,PHONE,Unspecified,BROOKLYN,40.71810392738168,-73.9574214828258,"{'latitude': '40.71810392738168', 'longitude': '-73.9574214828258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3023200005,,,,,,,
58931295,2023-09-26T11:49:34.000,2023-10-10T12:37:23.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11203,483 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-10T00:00:00.000,17 BROOKLYN,BROOKLYN,1000615,177248,PHONE,Unspecified,BROOKLYN,40.65316637303476,-73.94102184001711,"{'latitude': '40.65316637303476', 'longitude': '-73.94102184001711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3048600031,,,,,,,
58927270,2023-09-26T11:49:34.000,2023-10-10T12:37:23.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11203,483 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,17 BROOKLYN,BROOKLYN,1000615,177248,PHONE,Unspecified,BROOKLYN,40.65316637303476,-73.94102184001711,"{'latitude': '40.65316637303476', 'longitude': '-73.94102184001711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3048600031,,,,,,,
58935132,2023-09-26T11:49:34.000,2023-10-10T12:37:23.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11203,483 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-10T00:00:00.000,17 BROOKLYN,BROOKLYN,1000615,177248,PHONE,Unspecified,BROOKLYN,40.65316637303476,-73.94102184001711,"{'latitude': '40.65316637303476', 'longitude': '-73.94102184001711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3048600031,,,,,,,
58933281,2023-09-26T11:49:33.000,2023-09-26T12:28:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,147 68 STREET,68 STREET,BAY CLIFF TERRACE,RIDGE BOULEVARD,BAY CLIFF TERRACE,RIDGE BOULEVARD,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T12:28:43.000,10 BROOKLYN,BROOKLYN,975919,171724,PHONE,Unspecified,BROOKLYN,40.638015388417955,-74.03001744354764,"{'latitude': '40.638015388417955', 'longitude': '-74.03001744354764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,68 STREET,3058520061,,,,,,,
58931363,2023-09-26T11:49:30.000,2023-10-30T07:51:43.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10455,631 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-30T00:00:00.000,02 BRONX,BRONX,1011618,235488,PHONE,Unspecified,BRONX,40.812993536460574,-73.9011310283946,"{'latitude': '40.812993536460574', 'longitude': '-73.9011310283946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2026830100,,,,,,,
58928780,2023-09-26T11:49:30.000,2023-10-30T07:51:43.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10455,631 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-30T00:00:00.000,02 BRONX,BRONX,1011618,235488,PHONE,Unspecified,BRONX,40.812993536460574,-73.9011310283946,"{'latitude': '40.812993536460574', 'longitude': '-73.9011310283946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2026830100,,,,,,,
58930044,2023-09-26T11:49:28.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10467,3634 OLINVILLE AVENUE,OLINVILLE AVENUE,,,,,ADDRESS,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-26T00:00:00.000,12 BRONX,BRONX,1021073,260162,PHONE,Unspecified,BRONX,40.88068197099464,-73.86683866957559,"{'latitude': '40.88068197099464', 'longitude': '-73.86683866957559', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2046460022,,,,,,,
58928397,2023-09-26T11:49:25.000,2023-09-26T12:23:35.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11229,3024 AVENUE W,AVENUE W,BATCHELDER STREET,BRAGG STREET,BATCHELDER STREET,BRAGG STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T12:23:42.000,15 BROOKLYN,BROOKLYN,1001690,156543,ONLINE,Unspecified,BROOKLYN,40.59633345146008,-73.93720112154035,"{'latitude': '40.59633345146008', 'longitude': '-73.93720112154035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,AVENUE W,3074080001,,,,,,,
58926964,2023-09-26T11:49:21.000,2023-09-26T12:21:51.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10022,155 EAST   52 STREET,EAST   52 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T12:21:49.000,06 MANHATTAN,MANHATTAN,992317,215262,MOBILE,Unspecified,MANHATTAN,40.75751727517092,-73.97088162924723,"{'latitude': '40.75751727517092', 'longitude': '-73.97088162924723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST   52 STREET,1013070029,,,,,,,
58927569,2023-09-26T11:49:16.000,2023-10-12T15:10:46.000,DOT,Department of Transportation,Broken Parking Meter,Coin or Card Did Not Register,Street,11230,CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE J,AVENUE K,AVENUE J,AVENUE K,BLOCKFACE,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-10-12T15:10:53.000,Unspecified BROOKLYN,BROOKLYN,993955,166401,PHONE,Unspecified,BROOKLYN,40.62340348030711,-73.96503954921337,"{'latitude': '40.62340348030711', 'longitude': '-73.96503954921337', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58929664,2023-09-26T11:48:50.000,2023-09-26T12:21:58.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:22:02.000,02 BROOKLYN,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,SANDS STREET,3000680001,,,,,,,
58928502,2023-09-26T11:48:29.000,2023-09-26T11:53:42.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10033,602 WEST  184 STREET,WEST  184 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T11:53:34.000,12 MANHATTAN,MANHATTAN,1002877,249395,MOBILE,Unspecified,MANHATTAN,40.85118699615938,-73.93266992103403,"{'latitude': '40.85118699615938', 'longitude': '-73.93266992103403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST  184 STREET,1021650063,,,,,,,
58931658,2023-09-26T11:48:22.000,2023-10-02T16:22:54.000,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11354,29-50 150 STREET,150 STREET,29 AVENUE,BAYSIDE AVENUE,29 AVENUE,BAYSIDE AVENUE,ADDRESS,Closed,"The Department of Transportation inspected the condition and made the determination that the street meets resurfacing standards and will be planned for either the next or future resurfacing seasons (2 - 3 years). The Department of Transportation works with Community Boards and elected officials to determine resurfacing priority. For specific scheduling information regarding your street, contact your Community Board.",2023-10-02T16:22:58.000,07 QUEENS,QUEENS,1035278,220545,PHONE,Unspecified,QUEENS,40.771874144976664,-73.81577121396285,"{'latitude': '40.771874144976664', 'longitude': '-73.81577121396285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,150 STREET,,,,,,,,
58931382,2023-09-26T11:48:12.000,2023-09-26T12:22:20.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,10005,32 CEDAR STREET,CEDAR STREET,PEARL STREET,WILLIAM STREET,PEARL STREET,WILLIAM STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:22:22.000,01 MANHATTAN,MANHATTAN,981929,196912,PHONE,Unspecified,MANHATTAN,40.707154407310846,-74.00837147351153,"{'latitude': '40.707154407310846', 'longitude': '-74.00837147351153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,CEDAR STREET,1000410024,,,,,,,
58934312,2023-09-26T11:48:08.000,2023-09-28T14:51:32.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11215,585 5 AVENUE,5 AVENUE,16 STREET,PROSPECT AVENUE,16 STREET,PROSPECT AVENUE,ADDRESS,Closed,The Department of Sanitation collected the requested items.,2023-09-28T05:22:32.000,07 BROOKLYN,BROOKLYN,987010,181442,ONLINE,Unspecified,BROOKLYN,40.664692672002985,-73.99005146117712,"{'latitude': '40.664692672002985', 'longitude': '-73.99005146117712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,5 AVENUE,3010530011,,,,,,,
58925719,2023-09-26T11:48:04.000,2023-09-26T12:16:06.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11224,2951 WEST    3 STREET,WEST    3 STREET,WEST    2 PLACE,WEST BRIGHTON AVENUE,WEST    2 PLACE,WEST BRIGHTON AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:16:11.000,13 BROOKLYN,BROOKLYN,992219,149611,ONLINE,Unspecified,BROOKLYN,40.57732006934196,-73.9713129720379,"{'latitude': '40.57732006934196', 'longitude': '-73.9713129720379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,WEST    3 STREET,3072810001,,,,,,,
58930311,2023-09-26T11:47:56.000,2023-10-02T11:26:57.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,11420,133-34 135 PLACE,135 PLACE,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,ADDRESS,Closed,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",2023-10-02T11:27:01.000,10 QUEENS,QUEENS,1038996,182993,ONLINE,Unspecified,QUEENS,40.66878098651475,-73.80265342400715,"{'latitude': '40.66878098651475', 'longitude': '-73.80265342400715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SOUTH OZONE PARK,135 PLACE,4117950073,,,,,,,
58934089,2023-09-26T11:47:51.000,2023-09-29T15:22:30.000,DOT,Department of Transportation,Street Sign - Dangling,School Crossing,Street,11422,121-08 235 STREET,235 STREET,121 AVENUE,128 AVENUE,121 AVENUE,128 AVENUE,ADDRESS,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-09-29T15:22:34.000,13 QUEENS,QUEENS,1058951,188644,MOBILE,Unspecified,QUEENS,40.68414574965396,-73.73065805593183,"{'latitude': '40.68414574965396', 'longitude': '-73.73065805593183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROSEDALE,235 STREET,4128610046,,,,,,,
58933999,2023-09-26T11:47:49.000,2023-10-12T14:59:56.000,DOT,Department of Transportation,Broken Parking Meter,Out of Order,Street,11230,CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE J,AVENUE K,AVENUE J,AVENUE K,BLOCKFACE,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-10-12T15:00:01.000,Unspecified BROOKLYN,BROOKLYN,993989,166158,PHONE,Unspecified,BROOKLYN,40.62273645884839,-73.9649174211549,"{'latitude': '40.62273645884839', 'longitude': '-73.9649174211549', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58927645,2023-09-26T11:47:47.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10314,131 AMSTERDAM AVENUE,AMSTERDAM AVENUE,BEND,ARLENE STREET,BEND,ARLENE STREET,ADDRESS,In Progress,,,02 STATEN ISLAND,STATEN ISLAND,938069,158911,PHONE,Unspecified,STATEN ISLAND,40.60272996355197,-74.16630701527929,"{'latitude': '40.60272996355197', 'longitude': '-74.16630701527929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,AMSTERDAM AVENUE,5021530055,,,,,,,
58934813,2023-09-26T11:47:34.000,2023-09-26T11:55:52.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10010,70 WEST   23 STREET,WEST   23 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-26T11:55:56.000,05 MANHATTAN,MANHATTAN,986560,209761,MOBILE,Unspecified,MANHATTAN,40.742421796584004,-73.99166379135556,"{'latitude': '40.742421796584004', 'longitude': '-73.99166379135556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   23 STREET,1008240011,,,,,,,
58934035,2023-09-26T11:47:33.000,2023-11-20T13:43:30.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11366,75-60 183 STREET,183 STREET,75 AVENUE,UNION TURNPIKE,75 AVENUE,UNION TURNPIKE,ADDRESS,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-11-20T13:43:37.000,08 QUEENS,QUEENS,1043525,204859,ONLINE,Unspecified,QUEENS,40.72876871090299,-73.78613505664968,"{'latitude': '40.72876871090299', 'longitude': '-73.78613505664968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FRESH MEADOWS,183 STREET,4071990034,,,,,,,
58934836,2023-09-26T11:47:32.000,2023-09-26T12:22:10.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:22:17.000,02 BROOKLYN,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,SANDS STREET,3000680001,,,,,,,
58933956,2023-09-26T11:47:27.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030,337 WEST  138 STREET,WEST  138 STREET,,,,,ADDRESS,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-10-02T00:00:00.000,10 MANHATTAN,MANHATTAN,999023,237686,UNKNOWN,Unspecified,MANHATTAN,40.81905646942906,-73.94662656505508,"{'latitude': '40.81905646942906', 'longitude': '-73.94662656505508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1020480011,,,,,,,
58933958,2023-09-26T11:47:27.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11229,2325 OCEAN AVENUE,OCEAN AVENUE,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-28T00:00:00.000,15 BROOKLYN,BROOKLYN,997449,159702,UNKNOWN,Unspecified,BROOKLYN,40.605011595090986,-73.95246616356391,"{'latitude': '40.605011595090986', 'longitude': '-73.95246616356391', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3068260066,,,,,,,
58928250,2023-09-26T11:47:26.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,10009,510 EAST   13 STREET,EAST   13 STREET,,,,,ADDRESS,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-02T00:00:00.000,03 MANHATTAN,MANHATTAN,989787,205004,UNKNOWN,Unspecified,MANHATTAN,40.729363574537665,-73.98002227590054,"{'latitude': '40.729363574537665', 'longitude': '-73.98002227590054', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1004060011,,,,,,,
58932671,2023-09-26T11:47:26.000,2023-11-27T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11213,1730 CARROLL STREET,CARROLL STREET,,,,,ADDRESS,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-11-27T00:00:00.000,09 BROOKLYN,BROOKLYN,1003888,181925,UNKNOWN,Unspecified,BROOKLYN,40.665997050865876,-73.92921259175424,"{'latitude': '40.665997050865876', 'longitude': '-73.92921259175424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3014150045,,,,,,,
58933404,2023-09-26T11:47:26.000,2023-10-25T00:00:00.000,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,11432,88-24 MERRICK BOULEVARD,MERRICK BOULEVARD,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-10-25T00:00:00.000,12 QUEENS,QUEENS,1040876,197483,UNKNOWN,Unspecified,QUEENS,40.708540773985526,-73.79575469756259,"{'latitude': '40.708540773985526', 'longitude': '-73.79575469756259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,,4098150067,N/A,,,,,,
58931555,2023-09-26T11:47:20.000,2023-11-02T09:29:13.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11222,76 NORMAN AVENUE,NORMAN AVENUE,LORIMER STREET,MANHATTAN AVENUE,LORIMER STREET,MANHATTAN AVENUE,ADDRESS,Closed,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2023-11-02T09:29:19.000,01 BROOKLYN,BROOKLYN,997474,203506,PHONE,Unspecified,BROOKLYN,40.72524377798898,-73.9522902108681,"{'latitude': '40.72524377798898', 'longitude': '-73.9522902108681', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,NORMAN AVENUE,3026450004,,,,,,,
58933661,2023-09-26T11:47:09.000,2023-09-26T11:53:37.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10033,602 WEST  184 STREET,WEST  184 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T11:53:34.000,12 MANHATTAN,MANHATTAN,1002877,249395,MOBILE,Unspecified,MANHATTAN,40.85118699615938,-73.93266992103403,"{'latitude': '40.85118699615938', 'longitude': '-73.93266992103403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST  184 STREET,1021650063,,,,,,,
58933102,2023-09-26T11:47:05.000,2023-10-02T09:36:39.000,DSNY,Department of Sanitation,Dumpster Complaint,Overflowing,Street,10468,2840 WEBB AVENUE,WEBB AVENUE,WEST  197 STREET,RESERVOIR AVENUE,WEST  197 STREET,RESERVOIR AVENUE,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-28T05:46:45.000,08 BRONX,BRONX,1011709,257375,PHONE,Unspecified,BRONX,40.87306662433637,-73.90071266396693,"{'latitude': '40.87306662433637', 'longitude': '-73.90071266396693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,WEBB AVENUE,2032500064,,,,,,,
58931939,2023-09-26T11:47:00.000,2023-09-27T11:40:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11218,,,,,CHURCH AVENUE,EAST 2 STREET,INTERSECTION,Closed,"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-27T11:40:00.000,12 BROOKLYN,BROOKLYN,990265,173637,PHONE,Unspecified,BROOKLYN,40.6432680389921,-73.97832563501309,"{'latitude': '40.6432680389921', 'longitude': '-73.97832563501309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,,,,,,
58933230,2023-09-26T11:47:00.000,2023-09-26T11:50:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11209,442 72 STREET,72 STREET,4 AVE,5 AVE,,,ADDRESS,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-26T11:50:00.000,10 BROOKLYN,BROOKLYN,977834,169650,PHONE,Unspecified,BROOKLYN,40.632324293718284,-74.02311553144195,"{'latitude': '40.632324293718284', 'longitude': '-74.02311553144195', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3059090023,,,,,,,
58925616,2023-09-26T11:47:00.000,2023-09-29T04:05:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11231,400 VAN BRUNT STREET,VAN BRUNT STREET,DIKEMAN ST,COFFEY ST,,,ADDRESS,Closed,The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.,2023-09-29T04:05:00.000,06 BROOKLYN,BROOKLYN,980372,185723,ONLINE,Unspecified,BROOKLYN,40.67644264020994,-74.01398088075547,"{'latitude': '40.67644264020994', 'longitude': '-74.01398088075547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3005860026,,,,,,,
58926477,2023-09-26T11:46:45.000,2023-10-02T14:42:34.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Park,11434,BAISLEY POND PARK,BAISLEY POND PARK,155 STREET,157 STREET,155 STREET,157 STREET,UNRECOGNIZED,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-02T14:42:38.000,12 QUEENS,QUEENS,1043761,185691,PHONE,Unspecified,QUEENS,40.67615562171991,-73.7854529545537,"{'latitude': '40.67615562171991', 'longitude': '-73.7854529545537', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,BAISLEY POND PARK,4122300001,,,,,,,
58933387,2023-09-26T11:46:41.000,2023-09-26T11:53:53.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10018,DYER AVENUE,DYER AVENUE,DYER AVENUE,WEST   36 STREET,DYER AVENUE,WEST   36 STREET,INTERSECTION,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T11:53:56.000,04 MANHATTAN,MANHATTAN,985177,214419,PHONE,Unspecified,MANHATTAN,40.75520708651954,-73.99665404821431,"{'latitude': '40.75520708651954', 'longitude': '-73.99665404821431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58933784,2023-09-26T11:46:30.000,2023-10-02T19:15:37.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11365,67-00 192 STREET,192 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,08 QUEENS,QUEENS,1044792,208157,ONLINE,Unspecified,QUEENS,40.73781230075766,-73.78153404711799,"{'latitude': '40.73781230075766', 'longitude': '-73.78153404711799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FRESH MEADOWS,,4071170003,,,,,,,
58926059,2023-09-26T11:46:30.000,2023-10-02T19:15:38.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11365,67-00 192 STREET,192 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,08 QUEENS,QUEENS,1044792,208157,ONLINE,Unspecified,QUEENS,40.73781230075766,-73.78153404711799,"{'latitude': '40.73781230075766', 'longitude': '-73.78153404711799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FRESH MEADOWS,,4071170003,,,,,,,
