unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,vehicle_type,taxi_company_borough,road_ramp,due_date
58917373,2023-09-25T14:27:09.000,2023-10-05T14:51:03.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,11364,58-08 217 STREET,217 STREET,ADDRESS,OAKLAND GARDENS,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-05T14:51:09.000,11 QUEENS,4074670007,QUEENS,1050389,212396,UNKNOWN,Unspecified,QUEENS,40.74940716913145,-73.76129567184005,"{'latitude': '40.74940716913145', 'longitude': '-73.76129567184005', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,58 AVENUE,HORACE HARDING EXPRESSWAY,58 AVENUE,HORACE HARDING EXPRESSWAY,217 STREET,,,,,,,,,
58918427,2023-09-25T14:26:49.000,2023-09-25T18:19:08.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11434,145 AVENUE,145 AVENUE,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T18:19:13.000,13 QUEENS,,QUEENS,1047410,181589,PHONE,Unspecified,QUEENS,40.66487130427109,-73.77233619535336,"{'latitude': '40.66487130427109', 'longitude': '-73.77233619535336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,145 AVENUE,176 STREET,145 AVENUE,176 STREET,,,,,,,,,,
58920935,2023-09-25T14:26:31.000,2023-09-25T14:54:55.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,11212,663 HOWARD AVENUE,HOWARD AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T14:54:58.000,16 BROOKLYN,3035120001,BROOKLYN,1006584,181982,ONLINE,Unspecified,BROOKLYN,40.66614711277805,-73.91949436892685,"{'latitude': '40.66614711277805', 'longitude': '-73.91949436892685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST NEW YORK AVENUE,SUTTER AVENUE,EAST NEW YORK AVENUE,SUTTER AVENUE,HOWARD AVENUE,,,,,,,,,
58918891,2023-09-25T14:26:12.000,2023-09-25T15:00:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11228,1355 70 STREET,70 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T15:00:49.000,10 BROOKLYN,3061560055,BROOKLYN,983336,166048,MOBILE,Unspecified,BROOKLYN,40.622439837651065,-74.00329246675373,"{'latitude': '40.622439837651065', 'longitude': '-74.00329246675373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,13 AVENUE,14 AVENUE,13 AVENUE,14 AVENUE,70 STREET,,,,,,,,,
58921254,2023-09-25T14:26:10.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,11211,316 GRAHAM AVENUE,GRAHAM AVENUE,ADDRESS,BROOKLYN,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:49:19.000,01 BROOKLYN,3027710004,BROOKLYN,999722,199194,UNKNOWN,Unspecified,BROOKLYN,40.71340473176901,-73.94418974904951,"{'latitude': '40.71340473176901', 'longitude': '-73.94418974904951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential,,,,,,N/A,,,,,,,,2023-11-14T07:49:19.000
58922445,2023-09-25T14:26:02.000,2023-09-25T14:41:07.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11233,1266 HERKIMER STREET,HERKIMER STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T14:41:11.000,16 BROOKLYN,3015670017,BROOKLYN,1008806,186138,PHONE,Unspecified,BROOKLYN,40.67754851165226,-73.91146976335185,"{'latitude': '40.67754851165226', 'longitude': '-73.91146976335185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,GUNTHER PLACE,ROCKAWAY AVENUE,GUNTHER PLACE,ROCKAWAY AVENUE,HERKIMER STREET,,,,,,,,,
58921085,2023-09-25T14:26:00.000,2023-09-25T19:40:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),11208,422 CLEVELAND STREET,CLEVELAND STREET,ADDRESS,BROOKLYN,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-25T19:40:00.000,05 BROOKLYN,3040000021,BROOKLYN,1016310,184996,PHONE,Unspecified,BROOKLYN,40.67438998510982,-73.88442151369438,"{'latitude': '40.67438998510982', 'longitude': '-73.88442151369438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,GLENMORE AVE,PITKIN AVE,,,,,,,,,,,,
58921036,2023-09-25T14:26:00.000,2023-10-06T11:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),11222,76 KENT STREET,KENT STREET,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-06T11:30:00.000,01 BROOKLYN,3025570016,BROOKLYN,995827,205432,ONLINE,Unspecified,BROOKLYN,40.73053248662061,-73.95822897314488,"{'latitude': '40.73053248662061', 'longitude': '-73.95822897314488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,WEST ST,FRANKLIN ST,,,,N/A,,,,,,,,
58922225,2023-09-25T14:26:00.000,2023-10-03T12:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),11375,107-15 70 ROAD,70 ROAD,ADDRESS,FOREST HILLS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-03T12:45:00.000,06 QUEENS,4032380014,QUEENS,1027083,202084,ONLINE,Unspecified,QUEENS,40.72124692129145,-73.84547551404229,"{'latitude': '40.72124692129145', 'longitude': '-73.84547551404229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,AUSTIN ST,QUEENS BLVD,,,,N/A,,,,,,,,
58924477,2023-09-25T14:26:00.000,2023-09-27T02:30:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),11372,37-05 79 STREET,79 STREET,ADDRESS,JACKSON HEIGHTS,Closed,The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.,2023-09-27T02:30:00.000,03 QUEENS,4012900001,QUEENS,1015551,212227,ONLINE,Unspecified,QUEENS,40.74913525146834,-73.88703115404978,"{'latitude': '40.74913525146834', 'longitude': '-73.88703115404978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,37 AVE,ROOSEVELT AVE,,,,,,,,,,,,
58916844,2023-09-25T14:26:00.000,2023-10-26T10:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Junction Box,10466,,,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-26T10:30:00.000,12 BRONX,,BRONX,1023798,265080,UNKNOWN,Unspecified,BRONX,40.89416852680063,-73.85695535152136,"{'latitude': '40.89416852680063', 'longitude': '-73.85695535152136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,WHITE PLAINS ROAD,EAST 234 STREET,,N/A,,,,,,,,
58924124,2023-09-25T14:25:49.000,2023-09-27T09:52:22.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,10309,80 CORDELIA AVENUE,CORDELIA AVENUE,ADDRESS,STATEN ISLAND,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-27T09:52:25.000,03 STATEN ISLAND,5067950027,STATEN ISLAND,925329,128567,PHONE,Unspecified,STATEN ISLAND,40.519366237496044,-74.21192177759751,"{'latitude': '40.519366237496044', 'longitude': '-74.21192177759751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,EVERETT PLACE,KENNETH PLACE,EVERETT PLACE,KENNETH PLACE,CORDELIA AVENUE,,,,,,,,,
58923209,2023-09-25T14:25:39.000,2023-10-10T12:19:13.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,11211,MARCY AVENUE,MARCY AVENUE,INTERSECTION,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-10T12:19:18.000,01 BROOKLYN,,BROOKLYN,996154,197863,PHONE,Unspecified,BROOKLYN,40.709756973824355,-73.95706250953224,"{'latitude': '40.709756973824355', 'longitude': '-73.95706250953224', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,MARCY AVENUE,SOUTH    4 STREET,MARCY AVENUE,SOUTH    4 STREET,,,,,,,,,,
58923871,2023-09-25T14:25:37.000,2023-11-02T07:01:09.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,11207,738 NEW JERSEY AVENUE,NEW JERSEY AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-02T00:00:00.000,05 BROOKLYN,3042990025,BROOKLYN,1014345,180188,PHONE,Unspecified,BROOKLYN,40.66120000455211,-73.89152692914816,"{'latitude': '40.66120000455211', 'longitude': '-73.89152692914816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58918361,2023-09-25T14:25:24.000,2023-10-05T10:53:35.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,10010,210 EAST   25 STREET,EAST   25 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,06 MANHATTAN,1009050052,MANHATTAN,989315,208842,ONLINE,Unspecified,MANHATTAN,40.73989822160913,-73.98172238190635,"{'latitude': '40.73989822160913', 'longitude': '-73.98172238190635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58921858,2023-09-25T14:25:21.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,11426,239-19 87 AVENUE,87 AVENUE,ADDRESS,BELLEROSE,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-26T10:51:44.000,13 QUEENS,4079590008,QUEENS,1059978,205671,ONLINE,Unspecified,QUEENS,40.73087188504947,-73.72676363111445,"{'latitude': '40.73087188504947', 'longitude': '-73.72676363111445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,239 STREET,241 STREET,239 STREET,241 STREET,87 AVENUE,,,,,,,,,
58924674,2023-09-25T14:25:16.000,2023-09-25T14:58:41.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11435,95-03 ALLENDALE STREET,ALLENDALE STREET,ADDRESS,JAMAICA,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T14:58:45.000,12 QUEENS,4100080047,QUEENS,1037255,193409,PHONE,Unspecified,QUEENS,40.697381059627084,-73.80884736855964,"{'latitude': '40.697381059627084', 'longitude': '-73.80884736855964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,95 AVENUE,97 AVENUE,95 AVENUE,97 AVENUE,ALLENDALE STREET,,,,,,,,,
58921439,2023-09-25T14:25:16.000,2023-09-25T14:33:01.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-25T14:33:06.000,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,WASHINGTON AVENUE,,,,,,,,,
58917920,2023-09-25T14:25:15.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,11206,461 LORIMER STREET,LORIMER STREET,ADDRESS,BROOKLYN,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:49:19.000,01 BROOKLYN,3027850030,BROOKLYN,998434,198228,UNKNOWN,Unspecified,BROOKLYN,40.71075545075625,-73.94883782780245,"{'latitude': '40.71075545075625', 'longitude': '-73.94883782780245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential,,,,,,N/A,,,,,,,,2023-11-14T07:49:19.000
58918137,2023-09-25T14:25:08.000,2023-10-07T18:07:23.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,10027,259 WEST  121 STREET,WEST  121 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-07T00:00:00.000,10 MANHATTAN,1019270009,MANHATTAN,997604,233322,PHONE,Unspecified,MANHATTAN,40.80708076715038,-73.95176195755157,"{'latitude': '40.80708076715038', 'longitude': '-73.95176195755157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58924508,2023-09-25T14:25:06.000,2023-09-25T14:52:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11215,489 12 STREET,12 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T14:52:57.000,06 BROOKLYN,3010970069,BROOKLYN,989868,181004,MOBILE,Unspecified,BROOKLYN,40.66348910688398,-73.97975004237959,"{'latitude': '40.66348910688398', 'longitude': '-73.97975004237959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,8 AVENUE,PROSPECT PARK WEST,8 AVENUE,PROSPECT PARK WEST,12 STREET,,,,,,,,,
58922813,2023-09-25T14:25:01.000,2023-10-09T05:03:05.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10030,164 WEST  141 STREET,WEST  141 STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-09T00:00:00.000,10 MANHATTAN,1020090054,MANHATTAN,1000898,237534,ONLINE,Unspecified,MANHATTAN,40.81863593761431,-73.93985274861026,"{'latitude': '40.81863593761431', 'longitude': '-73.93985274861026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58922648,2023-09-25T14:25:00.000,2023-09-27T22:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,LED Lense,10466,,,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T22:10:00.000,12 BRONX,,BRONX,1027947,263006,UNKNOWN,Unspecified,BRONX,40.88845649075549,-73.84196203259825,"{'latitude': '40.88845649075549', 'longitude': '-73.84196203259825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BAYCHESTER AVENUE,EAST 233 STREET,,N/A,,,,,,,,
58920538,2023-09-25T14:24:24.000,2023-09-25T14:35:09.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,10462,2029 BOGART AVENUE,BOGART AVENUE,ADDRESS,BRONX,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-25T10:34:34.000,11 BRONX,,BRONX,1022667,249710,PHONE,Unspecified,BRONX,40.85198764780166,-73.86113428849083,"{'latitude': '40.85198764780166', 'longitude': '-73.86113428849083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,NEILL AVENUE,BRADY AVENUE,NEILL AVENUE,BRADY AVENUE,BOGART AVENUE,,,,,,,,,
58924333,2023-09-25T14:24:18.000,2023-10-02T15:40:47.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11235,AVENUE Z,AVENUE Z,INTERSECTION,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-01T03:26:09.000,15 BROOKLYN,,BROOKLYN,1002278,154264,ONLINE,Unspecified,BROOKLYN,40.59007687929381,-73.9350899016183,"{'latitude': '40.59007687929381', 'longitude': '-73.9350899016183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,AVENUE Z,COYLE STREET,AVENUE Z,COYLE STREET,,,,,,,,,,
58919336,2023-09-25T14:24:07.000,,HPD,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,11216,174 KOSCIUSZKO STREET,KOSCIUSZKO STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,03 BROOKLYN,3017857501,BROOKLYN,998781,191049,PHONE,Unspecified,BROOKLYN,40.69105021610757,-73.94760167688648,"{'latitude': '40.69105021610757', 'longitude': '-73.94760167688648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58920433,2023-09-25T14:24:07.000,,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,11216,174 KOSCIUSZKO STREET,KOSCIUSZKO STREET,ADDRESS,BROOKLYN,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-25T00:00:00.000,03 BROOKLYN,3017857501,BROOKLYN,998781,191049,PHONE,Unspecified,BROOKLYN,40.69105021610757,-73.94760167688648,"{'latitude': '40.69105021610757', 'longitude': '-73.94760167688648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58917144,2023-09-25T14:24:07.000,,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,11216,174 KOSCIUSZKO STREET,KOSCIUSZKO STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,03 BROOKLYN,3017857501,BROOKLYN,998781,191049,PHONE,Unspecified,BROOKLYN,40.69105021610757,-73.94760167688648,"{'latitude': '40.69105021610757', 'longitude': '-73.94760167688648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58924700,2023-09-25T14:24:00.000,2023-09-26T05:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,10466,,,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T05:00:00.000,12 BRONX,,BRONX,1024156,264601,UNKNOWN,Unspecified,BRONX,40.89285221381233,-73.8556633268397,"{'latitude': '40.89285221381233', 'longitude': '-73.8556633268397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BYRON AVENUE,EAST 233 STREET,,N/A,,,,,,,,
58920464,2023-09-25T14:24:00.000,2023-10-13T17:22:42.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10463,3804 GREYSTONE AVENUE,GREYSTONE AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-13T00:00:00.000,08 BRONX,2057790810,BRONX,1010457,262672,ONLINE,Unspecified,BRONX,40.8876090409491,-73.90521896753835,"{'latitude': '40.8876090409491', 'longitude': '-73.90521896753835', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58924492,2023-09-25T14:24:00.000,2023-09-26T20:40:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Visor,10466,,,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T20:40:00.000,12 BRONX,,BRONX,1027947,263006,UNKNOWN,Unspecified,BRONX,40.88845649075549,-73.84196203259825,"{'latitude': '40.88845649075549', 'longitude': '-73.84196203259825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BAYCHESTER AVENUE,EAST 233 STREET,,N/A,,,,,,,,
58918172,2023-09-25T14:23:56.000,2023-09-26T19:42:17.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,11221,593 LEXINGTON AVENUE,LEXINGTON AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-26T00:00:00.000,03 BROOKLYN,3016190065,BROOKLYN,1001483,190372,PHONE,Unspecified,BROOKLYN,40.68918715871355,-73.93786008574368,"{'latitude': '40.68918715871355', 'longitude': '-73.93786008574368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58918397,2023-09-25T14:23:54.000,2023-09-27T19:31:05.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11423,193-30 WOODHULL AVENUE,WOODHULL AVENUE,ADDRESS,HOLLIS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,12 QUEENS,4108170055,QUEENS,1049031,198409,PHONE,Unspecified,QUEENS,40.711026466923734,-73.76633150768576,"{'latitude': '40.711026466923734', 'longitude': '-73.76633150768576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58921524,2023-09-25T14:23:54.000,2023-09-27T19:31:05.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,11423,193-30 WOODHULL AVENUE,WOODHULL AVENUE,ADDRESS,HOLLIS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,12 QUEENS,4108170055,QUEENS,1049031,198409,PHONE,Unspecified,QUEENS,40.711026466923734,-73.76633150768576,"{'latitude': '40.711026466923734', 'longitude': '-73.76633150768576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58923791,2023-09-25T14:23:54.000,2023-09-27T19:31:05.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,11423,193-30 WOODHULL AVENUE,WOODHULL AVENUE,ADDRESS,HOLLIS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,12 QUEENS,4108170055,QUEENS,1049031,198409,PHONE,Unspecified,QUEENS,40.711026466923734,-73.76633150768576,"{'latitude': '40.711026466923734', 'longitude': '-73.76633150768576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58917041,2023-09-25T14:23:54.000,2023-09-27T19:31:05.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,11423,193-30 WOODHULL AVENUE,WOODHULL AVENUE,ADDRESS,HOLLIS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,12 QUEENS,4108170055,QUEENS,1049031,198409,PHONE,Unspecified,QUEENS,40.711026466923734,-73.76633150768576,"{'latitude': '40.711026466923734', 'longitude': '-73.76633150768576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58917126,2023-09-25T14:23:54.000,2023-09-27T19:31:05.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11423,193-30 WOODHULL AVENUE,WOODHULL AVENUE,ADDRESS,HOLLIS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,12 QUEENS,4108170055,QUEENS,1049031,198409,PHONE,Unspecified,QUEENS,40.711026466923734,-73.76633150768576,"{'latitude': '40.711026466923734', 'longitude': '-73.76633150768576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58922160,2023-09-25T14:23:52.000,2023-09-27T13:45:06.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,11228,1584 84 STREET,84 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation found an open service request already exists for the same location.,2023-09-27T11:36:03.000,11 BROOKLYN,3063240045,BROOKLYN,982478,162065,MOBILE,Unspecified,BROOKLYN,40.61150719833656,-74.00638216151805,"{'latitude': '40.61150719833656', 'longitude': '-74.00638216151805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,15 AVENUE,16 AVENUE,15 AVENUE,16 AVENUE,84 STREET,,,,,,,,,
