unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,resolution_description,resolution_action_updated_date,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,road_ramp,bridge_highway_direction
58830977,2023-09-16T17:03:26.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11419,112-02 103 AVENUE,103 AVENUE,112 STREET,113 STREET,112 STREET,113 STREET,ADDRESS,SOUTH RICHMOND HILL,103 AVENUE,Closed,10 QUEENS,4095170001,QUEENS,1031192,189366,MOBILE,Unspecified,QUEENS,40.686318216417625,-73.83074056032031,"{'latitude': '40.686318216417625', 'longitude': '-73.83074056032031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T20:26:43.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T20:26:47.000,,,,,,,
58835699,2023-09-16T17:03:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11370,32-22 72 STREET,72 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,EAST ELMHURST,72 STREET,Closed,03 QUEENS,4011670018,QUEENS,1013356,214746,ONLINE,Unspecified,QUEENS,40.75605676060105,-73.89494224569187,"{'latitude': '40.75605676060105', 'longitude': '-73.89494224569187', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:08:31.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T18:08:34.000,,,,,,,
58833924,2023-09-16T17:03:22.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11385,MADISON STREET,MADISON STREET,MADISON STREET,WYCKOFF AVENUE,MADISON STREET,WYCKOFF AVENUE,INTERSECTION,,,Closed,05 QUEENS,,QUEENS,1009335,193836,PHONE,Unspecified,QUEENS,40.69867625998088,-73.90953393148592,"{'latitude': '40.69867625998088', 'longitude': '-73.90953393148592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T17:40:44.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T17:40:49.000,,,,,,,
58829501,2023-09-16T17:03:20.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11361,38-31 218 STREET,218 STREET,38 AVENUE,39 AVENUE,38 AVENUE,39 AVENUE,ADDRESS,BAYSIDE,218 STREET,Closed,11 QUEENS,4062510035,QUEENS,1049180,218884,ONLINE,Unspecified,QUEENS,40.76722396687243,-73.76559643102499,"{'latitude': '40.76722396687243', 'longitude': '-73.76559643102499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:23:40.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:23:44.000,,,,,,,
58834390,2023-09-16T17:03:14.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,2072 OCEAN AVENUE,OCEAN AVENUE,AVENUE O,AVENUE P,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,14 BROOKLYN,3067667501,BROOKLYN,997096,162096,MOBILE,Unspecified,BROOKLYN,40.611583152421005,-73.95373287591379,"{'latitude': '40.611583152421005', 'longitude': '-73.95373287591379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:50:16.000,The Police Department issued a summons in response to the complaint.,2023-09-16T18:50:20.000,,,,,,,
58831715,2023-09-16T17:03:04.000,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11225,215 LINCOLN ROAD,LINCOLN ROAD,,,,,ADDRESS,BROOKLYN,,Closed,09 BROOKLYN,3013280073,BROOKLYN,996603,180202,UNKNOWN,Unspecified,BROOKLYN,40.66128095941216,-73.95547535518693,"{'latitude': '40.66128095941216', 'longitude': '-73.95547535518693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-17T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-17T00:00:00.000,N/A,,,,,,
58829147,2023-09-16T17:03:03.000,DOB,Department of Buildings,General Construction/Plumbing,Adjacent Buildings Not Protected,,11208,60 WELDON STREET,WELDON STREET,,,,,ADDRESS,BROOKLYN,,Closed,05 BROOKLYN,3041640015,BROOKLYN,1019590,187049,UNKNOWN,Unspecified,BROOKLYN,40.680012514169924,-73.8725861405636,"{'latitude': '40.680012514169924', 'longitude': '-73.8725861405636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-17T00:00:00.000,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-17T00:00:00.000,N/A,,,,,,
58832192,2023-09-16T17:02:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433,107-09 159 STREET,159 STREET,107 AVENUE,108 AVENUE,107 AVENUE,108 AVENUE,ADDRESS,JAMAICA,159 STREET,Closed,12 QUEENS,4101250033,QUEENS,1041091,193174,ONLINE,Unspecified,QUEENS,40.69671223371353,-73.79501558307801,"{'latitude': '40.69671223371353', 'longitude': '-73.79501558307801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T17:34:20.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T17:34:24.000,,,,,,,
58829089,2023-09-16T17:02:31.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11432,86-50 EDGERTON BOULEVARD,EDGERTON BOULEVARD,DALNY ROAD,WEXFORD TERRACE,DALNY ROAD,WEXFORD TERRACE,ADDRESS,JAMAICA,EDGERTON BOULEVARD,Closed,08 QUEENS,4098850008,QUEENS,1043553,199482,MOBILE,Unspecified,QUEENS,40.71401000025904,-73.78608140946116,"{'latitude': '40.71401000025904', 'longitude': '-73.78608140946116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:22:22.000,The Police Department issued a summons in response to the complaint.,2023-09-16T18:22:24.000,,,,,,,
58829657,2023-09-16T17:02:27.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1398 GRAND CONCOURSE,GRAND CONCOURSE,ELLIOT PLACE,EAST  170 STREET,ELLIOT PLACE,EAST  170 STREET,ADDRESS,BRONX,GRAND CONCOURSE,Closed,04 BRONX,2028310048,BRONX,1008079,244798,ONLINE,Unspecified,BRONX,40.83855707927812,-73.91388286014495,"{'latitude': '40.83855707927812', 'longitude': '-73.91388286014495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:07:58.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:08:01.000,,,,,,,
58828975,2023-09-16T17:02:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11232,819 43 STREET,43 STREET,8 AVE,9 AVE,,,ADDRESS,BROOKLYN,,Closed,12 BROOKLYN,3009250077,BROOKLYN,984523,174150,ONLINE,Unspecified,BROOKLYN,40.644678151897935,-73.99901625492414,"{'latitude': '40.644678151897935', 'longitude': '-73.99901625492414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T11:15:00.000,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-23T11:15:00.000,N/A,,,,,,
58831161,2023-09-16T17:01:53.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11236,708 EAST   96 STREET,EAST   96 STREET,,,,,ADDRESS,BROOKLYN,,Closed,17 BROOKLYN,3081130055,BROOKLYN,1008910,176760,PHONE,Unspecified,BROOKLYN,40.65180770561606,-73.91112912031024,"{'latitude': '40.65180770561606', 'longitude': '-73.91112912031024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T17:34:11.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-19T00:00:00.000,,,,,,,
58833884,2023-09-16T17:01:53.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11236,708 EAST   96 STREET,EAST   96 STREET,,,,,ADDRESS,BROOKLYN,,Closed,17 BROOKLYN,3081130055,BROOKLYN,1008910,176760,PHONE,Unspecified,BROOKLYN,40.65180770561606,-73.91112912031024,"{'latitude': '40.65180770561606', 'longitude': '-73.91112912031024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T17:34:11.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-19T00:00:00.000,,,,,,,
58835109,2023-09-16T17:01:53.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11236,708 EAST   96 STREET,EAST   96 STREET,,,,,ADDRESS,BROOKLYN,,Closed,17 BROOKLYN,3081130055,BROOKLYN,1008910,176760,PHONE,Unspecified,BROOKLYN,40.65180770561606,-73.91112912031024,"{'latitude': '40.65180770561606', 'longitude': '-73.91112912031024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T19:30:17.000,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-18T00:00:00.000,,,,,,,
58829778,2023-09-16T17:01:53.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11236,708 EAST   96 STREET,EAST   96 STREET,,,,,ADDRESS,BROOKLYN,,Closed,17 BROOKLYN,3081130055,BROOKLYN,1008910,176760,PHONE,Unspecified,BROOKLYN,40.65180770561606,-73.91112912031024,"{'latitude': '40.65180770561606', 'longitude': '-73.91112912031024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T17:34:11.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-09-19T00:00:00.000,,,,,,,
58828652,2023-09-16T17:01:52.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,10011,76 GREENWICH AVENUE,GREENWICH AVENUE,7 AVENUE,BANK STREET,7 AVENUE,BANK STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,Closed,02 MANHATTAN,1006170001,MANHATTAN,983911,207711,MOBILE,NYC AIDS Memorial Park at St. Vincentâs Triangle,MANHATTAN,40.736795350740444,-74.00122326237845,"{'latitude': '40.736795350740444', 'longitude': '-74.00122326237845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T10:37:46.000,NYC Parks has completed the requested work order and corrected the problem.,2023-09-18T10:37:52.000,,,,,,,
58835211,2023-09-16T17:01:23.000,DPR,Department of Parks and Recreation,Animal in a Park,Animal Waste,Park,10301,927 VICTORY BOULEVARD,VICTORY BOULEVARD,SILVER LAKE PARK ROAD,EAST CHESHIRE PLACE,SILVER LAKE PARK ROAD,EAST CHESHIRE PLACE,ADDRESS,STATEN ISLAND,VICTORY BOULEVARD,Closed,01 STATEN ISLAND,5002400001,STATEN ISLAND,957229,165748,ONLINE,Unspecified,STATEN ISLAND,40.621575241322326,-74.09733545955311,"{'latitude': '40.621575241322326', 'longitude': '-74.09733545955311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T12:18:26.000,NYC Parks determined that another entity needs to handle the condition. They have notified the appropriate resource.,2023-09-18T12:18:29.000,,,,,,,
58835895,2023-09-16T17:01:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11234,1528 EAST   66 STREET,EAST   66 STREET,AVE T,AVE U,EAST 66 STREET,AVENUE U,INTERSECTION,BROOKLYN,,Closed,18 BROOKLYN,3084080017,BROOKLYN,1008971,164197,UNKNOWN,Unspecified,BROOKLYN,40.61732478744132,-73.91095530901218,"{'latitude': '40.61732478744132', 'longitude': '-73.91095530901218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T09:27:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T09:27:00.000,,,,,,,
58830687,2023-09-16T17:00:51.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,133-34 129 STREET,129 STREET,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,ADDRESS,SOUTH OZONE PARK,129 STREET,Closed,10 QUEENS,,QUEENS,1036858,183511,ONLINE,Unspecified,QUEENS,40.670215740024204,-73.81035634881424,"{'latitude': '40.670215740024204', 'longitude': '-73.81035634881424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-17T01:43:03.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T01:43:07.000,,,,,,,
58831540,2023-09-16T17:00:35.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,10027,2240 ADAM CLAYTON POWELL BOULEVARD,ADAM CLAYTON POWELL BOULEVARD,WEST  131 STREET,WEST  132 STREET,WEST  131 STREET,WEST  132 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,10 MANHATTAN,1019370036,MANHATTAN,999416,235573,PHONE,Unspecified,MANHATTAN,40.813256211644095,-73.94521146883807,"{'latitude': '40.813256211644095', 'longitude': '-73.94521146883807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T13:07:08.000,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-18T13:06:20.000,,,,,,,
58827896,2023-09-16T17:00:16.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11218,703 DITMAS AVENUE,DITMAS AVENUE,EAST    7 STREET,EAST    8 STREET,EAST    7 STREET,EAST    8 STREET,ADDRESS,BROOKLYN,DITMAS AVENUE,Closed,12 BROOKLYN,3053910056,BROOKLYN,992247,171104,ONLINE,Unspecified,BROOKLYN,40.636313928541675,-73.97118672726548,"{'latitude': '40.636313928541675', 'longitude': '-73.97118672726548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:00:57.000,The Police Department issued a summons in response to the complaint.,2023-09-16T18:01:01.000,,,,,,,
58832249,2023-09-16T17:00:16.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,1403 GRAND CONCOURSE,GRAND CONCOURSE,EAST  170 STREET,EAST  171 STREET,EAST  170 STREET,EAST  171 STREET,ADDRESS,BRONX,GRAND CONCOURSE,Closed,04 BRONX,2028330030,BRONX,1008147,244946,ONLINE,Unspecified,BRONX,40.83896311232895,-73.91363658344284,"{'latitude': '40.83896311232895', 'longitude': '-73.91363658344284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:07:37.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:07:41.000,,,,,,,
58830198,2023-09-16T17:00:05.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11218,4 DAHILL ROAD,DAHILL ROAD,DAHILL ROAD BIKE LINK,MINNA STREET,DAHILL ROAD BIKE LINK,MINNA STREET,ADDRESS,BROOKLYN,DAHILL ROAD,Closed,12 BROOKLYN,3053030059,BROOKLYN,989435,175014,ONLINE,Unspecified,BROOKLYN,40.64704813180727,-73.98131538667411,"{'latitude': '40.64704813180727', 'longitude': '-73.98131538667411', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T21:17:04.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T21:17:06.000,,,,,,,
58831249,2023-09-16T17:00:02.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11226,500 MARLBOROUGH ROAD,MARLBOROUGH ROAD,DORCHESTER ROAD,DITMAS AVENUE,DORCHESTER ROAD,DITMAS AVENUE,ADDRESS,BROOKLYN,MARLBOROUGH ROAD,In Progress,14 BROOKLYN,3051780039,BROOKLYN,994293,171692,MOBILE,Unspecified,BROOKLYN,40.63792577954448,-73.96381409393834,"{'latitude': '40.63792577954448', 'longitude': '-73.96381409393834', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-28T13:18:12.000,,,,,,,
58829211,2023-09-16T17:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,10010,,,,,PARK AVENUE SOUTH,EAST 23 STREET,INTERSECTION,MANHATTAN,,Closed,05 MANHATTAN,,MANHATTAN,988029,208946,UNKNOWN,Unspecified,MANHATTAN,40.74018431877025,-73.986362997997,"{'latitude': '40.74018431877025', 'longitude': '-73.986362997997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T17:50:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-16T17:50:00.000,N/A,,,,,,
58836773,2023-09-16T16:59:53.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10302,86 CLINTON PLACE,CLINTON PLACE,PORT RICHMOND AVENUE,TREADWELL AVENUE,PORT RICHMOND AVENUE,TREADWELL AVENUE,ADDRESS,STATEN ISLAND,CLINTON PLACE,Closed,01 STATEN ISLAND,5010940036,STATEN ISLAND,945869,169751,ONLINE,Unspecified,STATEN ISLAND,40.632520690930434,-74.13827933001697,"{'latitude': '40.632520690930434', 'longitude': '-74.13827933001697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T14:02:10.000,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-19T14:02:10.000,,,,,,,
58828580,2023-09-16T16:59:48.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11221,987 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,ADDRESS,BROOKLYN,WILLOUGHBY AVENUE,Closed,04 BROOKLYN,3031840062,BROOKLYN,1003840,193816,ONLINE,Unspecified,BROOKLYN,40.698635235060614,-73.9293510437017,"{'latitude': '40.698635235060614', 'longitude': '-73.9293510437017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T17:57:23.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T17:57:26.000,,,,,,,
58829326,2023-09-16T16:59:39.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10128,1806 1 AVENUE,1 AVENUE,EAST   93 STREET,EAST   94 STREET,EAST   93 STREET,EAST   94 STREET,ADDRESS,NEW YORK,1 AVENUE,Closed,08 MANHATTAN,1015730001,MANHATTAN,999247,224070,ONLINE,Unspecified,MANHATTAN,40.781683899884754,-73.9458476858331,"{'latitude': '40.781683899884754', 'longitude': '-73.9458476858331', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T17:28:05.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T17:28:08.000,,,,,,,
58832639,2023-09-16T16:59:25.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11236,1429 EAST   89 STREET,EAST   89 STREET,AVENUE N,SEAVIEW AVENUE,AVENUE N,SEAVIEW AVENUE,ADDRESS,BROOKLYN,EAST   89 STREET,Closed,18 BROOKLYN,3080860024,BROOKLYN,1012825,169202,PHONE,Unspecified,BROOKLYN,40.6310508635945,-73.89705208047678,"{'latitude': '40.6310508635945', 'longitude': '-73.89705208047678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T16:59:25.000,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-16T16:59:25.000,,,,,,,
58829615,2023-09-16T16:59:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11372,34-11 93 STREET,93 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,JACKSON HEIGHTS,93 STREET,Closed,03 QUEENS,4014540001,QUEENS,1018956,214168,ONLINE,Unspecified,QUEENS,40.75445009153692,-73.87473212236024,"{'latitude': '40.75445009153692', 'longitude': '-73.87473212236024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T17:11:44.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T17:11:48.000,,,,,,,
58829730,2023-09-16T16:59:15.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10467,3560 WEBSTER AVENUE,WEBSTER AVENUE,,,,,ADDRESS,BRONX,,Closed,12 BRONX,2033607501,BRONX,1020019,260223,PHONE,Unspecified,BRONX,40.88085373156286,-73.87064987020247,"{'latitude': '40.88085373156286', 'longitude': '-73.87064987020247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-13T08:49:34.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-13T00:00:00.000,,,,,,,
58833846,2023-09-16T16:59:15.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10467,3560 WEBSTER AVENUE,WEBSTER AVENUE,,,,,ADDRESS,BRONX,,Closed,12 BRONX,2033607501,BRONX,1020019,260223,PHONE,Unspecified,BRONX,40.88085373156286,-73.87064987020247,"{'latitude': '40.88085373156286', 'longitude': '-73.87064987020247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-13T08:49:34.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-13T00:00:00.000,,,,,,,
58827144,2023-09-16T16:59:15.000,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,10467,3560 WEBSTER AVENUE,WEBSTER AVENUE,,,,,ADDRESS,BRONX,,Closed,12 BRONX,2033607501,BRONX,1020019,260223,PHONE,Unspecified,BRONX,40.88085373156286,-73.87064987020247,"{'latitude': '40.88085373156286', 'longitude': '-73.87064987020247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-13T08:49:34.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-13T00:00:00.000,,,,,,,
58831126,2023-09-16T16:59:15.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10467,3560 WEBSTER AVENUE,WEBSTER AVENUE,,,,,ADDRESS,BRONX,,Closed,12 BRONX,2033607501,BRONX,1020019,260223,PHONE,Unspecified,BRONX,40.88085373156286,-73.87064987020247,"{'latitude': '40.88085373156286', 'longitude': '-73.87064987020247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-13T08:49:34.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-13T00:00:00.000,,,,,,,
58832488,2023-09-16T16:59:15.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10467,3560 WEBSTER AVENUE,WEBSTER AVENUE,,,,,ADDRESS,BRONX,,Closed,12 BRONX,2033607501,BRONX,1020019,260223,PHONE,Unspecified,BRONX,40.88085373156286,-73.87064987020247,"{'latitude': '40.88085373156286', 'longitude': '-73.87064987020247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-13T08:49:34.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-13T00:00:00.000,,,,,,,
58835119,2023-09-16T16:59:15.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10467,3560 WEBSTER AVENUE,WEBSTER AVENUE,,,,,ADDRESS,BRONX,,Closed,12 BRONX,2033607501,BRONX,1020019,260223,PHONE,Unspecified,BRONX,40.88085373156286,-73.87064987020247,"{'latitude': '40.88085373156286', 'longitude': '-73.87064987020247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-13T08:49:34.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-13T00:00:00.000,,,,,,,
58829171,2023-09-16T16:59:10.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,42-64 SAULL STREET,SAULL STREET,AVERY AVENUE,BLOSSOM AVENUE,AVERY AVENUE,BLOSSOM AVENUE,ADDRESS,FLUSHING,SAULL STREET,Closed,07 QUEENS,4051050050,QUEENS,1031507,213585,PHONE,Unspecified,QUEENS,40.752791735664495,-73.8294347247009,"{'latitude': '40.752791735664495', 'longitude': '-73.8294347247009', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:56:48.000,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T18:56:52.000,,,,,,,
58826387,2023-09-16T16:59:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11208,844 NEW LOTS AVENUE,NEW LOTS AVENUE,ESSEX ST,SHEPHERD AVE,,,ADDRESS,BROOKLYN,,Closed,05 BROOKLYN,3043160006,BROOKLYN,1017627,182546,PHONE,Unspecified,BROOKLYN,40.66766042227771,-73.87968577599618,"{'latitude': '40.66766042227771', 'longitude': '-73.87968577599618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T18:00:00.000,The Department of Environmental Protection investigated this complaint and made a repair.,2023-09-21T18:00:00.000,,,,,,,
