unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,intersection_street_1,intersection_street_2,cross_street_1,cross_street_2,landmark,due_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58855563,2023-09-19T11:06:07.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10025,600 WEST  115 STREET,WEST  115 STREET,ADDRESS,NEW YORK,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T11:28:31.000,09 MANHATTAN,1018967501,MANHATTAN,994019,233459,ONLINE,Unspecified,MANHATTAN,40.80746148553895,-73.96471168780268,"{'latitude': '40.80746148553895', 'longitude': '-73.96471168780268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:28:25.000,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,WEST  115 STREET,,,,,,
58870006,2023-09-19T11:05:52.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10032,566 WEST  161 STREET,WEST  161 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T11:27:56.000,12 MANHATTAN,1021190017,MANHATTAN,1000322,243885,PHONE,Unspecified,MANHATTAN,40.8360686836654,-73.94191855376062,"{'latitude': '40.8360686836654', 'longitude': '-73.94191855376062', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:27:50.000,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,WEST  161 STREET,,,,,,
58856452,2023-09-19T11:05:47.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11433,93-14 175 STREET,175 STREET,ADDRESS,JAMAICA,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T12:50:24.000,12 QUEENS,4102190048,QUEENS,1043831,196650,ONLINE,Unspecified,QUEENS,40.706234987858814,-73.78510366934164,"{'latitude': '40.706234987858814', 'longitude': '-73.78510366934164', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:50:20.000,93 AVENUE,DEAD END,93 AVENUE,DEAD END,175 STREET,,,,,,
58898492,2023-09-19T11:05:46.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Street,11223,357 AVENUE X,AVENUE X,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation cleaned the location.,2023-09-22T12:10:31.000,15 BROOKLYN,3071760042,BROOKLYN,992656,154452,ONLINE,Unspecified,BROOKLYN,40.590607249383574,-73.96973382618658,"{'latitude': '40.590607249383574', 'longitude': '-73.96973382618658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T12:10:28.000,WEST STREET,EAST    1 STREET,WEST STREET,EAST    1 STREET,AVENUE X,,,,,,
58864750,2023-09-19T11:05:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11365,53-03 192 STREET,192 STREET,ADDRESS,FRESH MEADOWS,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T21:40:02.000,11 QUEENS,4056630001,QUEENS,1043484,211246,ONLINE,Unspecified,QUEENS,40.74629966767198,-73.78622674693683,"{'latitude': '40.74629966767198', 'longitude': '-73.78622674693683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T21:39:57.000,53 AVENUE,56 AVENUE,53 AVENUE,56 AVENUE,192 STREET,,,,,,
58861191,2023-09-19T11:05:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10029,148 EAST   98 STREET,EAST   98 STREET,ADDRESS,NEW YORK,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T11:45:19.000,11 MANHATTAN,1016250046,MANHATTAN,998211,226000,MOBILE,Unspecified,MANHATTAN,40.7869829321348,-73.94958454206892,"{'latitude': '40.7869829321348', 'longitude': '-73.94958454206892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:45:16.000,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,EAST   98 STREET,,,,,,
58868520,2023-09-19T11:05:05.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10036,1190 6 AVENUE,6 AVENUE,ADDRESS,NEW YORK,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-20T03:44:49.000,05 MANHATTAN,1012620076,MANHATTAN,989238,215337,MOBILE,Unspecified,MANHATTAN,40.75772540413981,-73.98199542760761,"{'latitude': '40.75772540413981', 'longitude': '-73.98199542760761', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T03:44:44.000,WEST   46 STREET,WEST   47 STREET,WEST   46 STREET,WEST   47 STREET,AVENUE OF THE AMERICAS,,,,,,
58860856,2023-09-19T11:05:03.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,10025,WEST  105 STREET,WEST  105 STREET,BLOCKFACE,,,Closed,The Department of Sanitation cleaned the location.,2023-09-21T11:41:12.000,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,2023-09-26T13:53:36.000,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,,,,,,,
58868186,2023-09-19T11:05:01.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,964 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-19T11:05:01.000,07 MANHATTAN,1018790031,MANHATTAN,993922,231227,ONLINE,Unspecified,MANHATTAN,40.80133536650071,-73.96506529386701,"{'latitude': '40.80133536650071', 'longitude': '-73.96506529386701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:53:55.000,WEST  107 STREET,WEST  108 STREET,WEST 107 STREET,WEST 108 STREET,AMSTERDAM AVENUE,,,,,,
58866864,2023-09-19T11:05:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10467,91 EAST  208 STREET,EAST  208 STREET,ADDRESS,BRONX,N/A,Closed,"The Department of Environmental Protection (DEP) closed your Service Request because it didn't include your full name and address. DEP needs this information to respond to the complaint.  If the excessive barking continues, please file a new Service Request with your full name and address.",2023-09-28T08:13:00.000,07 BRONX,2033260045,BRONX,1016958,259397,PHONE,Unspecified,BRONX,40.87859849524465,-73.8817232719399,"{'latitude': '40.87859849524465', 'longitude': '-73.8817232719399', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T08:13:00.000,,,KOSSUTH AVE,STEUBEN AVE,,,,,,,
58864900,2023-09-19T11:05:00.000,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),,10303,,,INTERSECTION,STATEN ISLAND,N/A,Closed,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,2023-09-19T13:57:00.000,01 STATEN ISLAND,,STATEN ISLAND,937759,170988,PHONE,Unspecified,STATEN ISLAND,40.63587713501446,-74.16750655081997,"{'latitude': '40.63587713501446', 'longitude': '-74.16750655081997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:57:00.000,ARLINGTON PLACE,ARLINGTON AVENUE,,,,,,,,,
58864937,2023-09-19T11:05:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11356,18-43 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,ADDRESS,COLLEGE POINT,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-19T12:15:00.000,07 QUEENS,4041280004,QUEENS,1026937,224564,PHONE,Unspecified,QUEENS,40.78294943780583,-73.84585951748385,"{'latitude': '40.78294943780583', 'longitude': '-73.84585951748385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:15:00.000,,,18 AVE,20 AVE,,,,,,,
58856355,2023-09-19T11:05:00.000,DEP,Department of Environmental Protection,Water System,LOW WATER PRESSURE - WLWP,,10016,233 EAST   31 STREET,EAST   31 STREET,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-19T11:05:00.000,06 MANHATTAN,1009120019,MANHATTAN,990171,210142,ONLINE,Unspecified,MANHATTAN,40.7434658660446,-73.97863226610221,"{'latitude': '40.7434658660446', 'longitude': '-73.97863226610221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:05:00.000,,,3 AVE,2 AVE,,,,,,,
58856942,2023-09-19T11:04:53.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10038,87 NASSAU STREET,NASSAU STREET,ADDRESS,NEW YORK,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-20T04:27:35.000,01 MANHATTAN,1000797502,MANHATTAN,982046,197958,MOBILE,Unspecified,MANHATTAN,40.710025459599066,-74.0079498157344,"{'latitude': '40.710025459599066', 'longitude': '-74.0079498157344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T04:27:32.000,JOHN STREET,FULTON STREET,JOHN STREET,FULTON STREET,NASSAU STREET,,,,,,
58861222,2023-09-19T11:04:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11232,654 4 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T13:35:03.000,07 BROOKLYN,3006360035,BROOKLYN,985747,181103,MOBILE,Unspecified,BROOKLYN,40.66376249575953,-73.99460407430574,"{'latitude': '40.66376249575953', 'longitude': '-73.99460407430574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:34:58.000,19 STREET,20 STREET,19 STREET,20 STREET,4 AVENUE,,,,,,
58858452,2023-09-19T11:04:32.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,10466,3913 PROVOST AVENUE,PROVOST AVENUE,ADDRESS,BRONX,,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-19T11:04:32.000,12 BRONX,2049730005,BRONX,1031859,263348,ONLINE,Unspecified,BRONX,40.889374932615176,-73.82781119284603,"{'latitude': '40.889374932615176', 'longitude': '-73.82781119284603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:04:32.000,EAST  233 STREET,BX-WESTCHESTER CNTY BOUNDARY,EAST 233 STREET,BX-WESTCHESTER CNTY BOUNDARY,PROVOST AVENUE,,,,,,
58864259,2023-09-19T11:04:15.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11233,1312 HERKIMER STREET,HERKIMER STREET,ADDRESS,BROOKLYN,,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-11-25T11:33:36.000,16 BROOKLYN,3015680028,BROOKLYN,1009159,186113,PHONE,Unspecified,BROOKLYN,40.67747890607415,-73.9101972074464,"{'latitude': '40.67747890607415', 'longitude': '-73.9101972074464', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-25T11:33:29.000,ROCKAWAY AVENUE,PLEASANT PLACE,ROCKAWAY AVENUE,PLEASANT PLACE,HERKIMER STREET,,,,,,
58855658,2023-09-19T11:03:46.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10011,363 WEST   23 STREET,WEST   23 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T11:17:01.000,04 MANHATTAN,1007470001,MANHATTAN,984204,211069,ONLINE,Unspecified,MANHATTAN,40.74601223108109,-74.00016601136937,"{'latitude': '40.74601223108109', 'longitude': '-74.00016601136937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:16:54.000,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,WEST   23 STREET,,,,,,
58866841,2023-09-19T11:03:32.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Home Improvement Contractor,Business,11385,2002 GATES AVENUE,GATES AVENUE,ADDRESS,RIDGEWOOD,,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-20T00:01:50.000,05 QUEENS,,QUEENS,1010576,196706,PHONE,Unspecified,QUEENS,40.70655012723565,-73.90504719660281,"{'latitude': '40.70655012723565', 'longitude': '-73.90504719660281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-20T00:01:48.000,FAIRVIEW AVENUE,GRANDVIEW AVENUE,FAIRVIEW AVENUE,GRANDVIEW AVENUE,GATES AVENUE,,,,,,
58860262,2023-09-19T11:03:29.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10032,581 WEST  161 STREET,WEST  161 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T11:28:06.000,12 MANHATTAN,1021200001,MANHATTAN,1000249,243933,PHONE,Unspecified,MANHATTAN,40.83620056229829,-73.94218224864659,"{'latitude': '40.83620056229829', 'longitude': '-73.94218224864659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:28:03.000,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,WEST  161 STREET,,,,,,
58857048,2023-09-19T11:03:25.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,10474,1266 SPOFFORD AVENUE,SPOFFORD AVENUE,ADDRESS,BRONX,,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-20T07:21:05.000,02 BRONX,2027650263,BRONX,1015261,235958,ONLINE,Unspecified,BRONX,40.814271517458906,-73.88796825712038,"{'latitude': '40.814271517458906', 'longitude': '-73.88796825712038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T07:21:05.000,MANIDA STREET,COSTER STREET,MANIDA STREET,COSTER STREET,SPOFFORD AVENUE,,,,,,
58857488,2023-09-19T11:03:23.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11385,60-24 WOODBINE STREET,WOODBINE STREET,ADDRESS,RIDGEWOOD,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T19:33:56.000,05 QUEENS,4035290025,QUEENS,1012068,196961,MOBILE,Unspecified,QUEENS,40.70724547671499,-73.89966479152912,"{'latitude': '40.70724547671499', 'longitude': '-73.89966479152912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T19:33:52.000,60 PLACE,FRESH POND ROAD,60 PLACE,FRESH POND ROAD,WOODBINE STREET,,,,,,
58856364,2023-09-19T11:03:15.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11211,695 GRAND STREET,GRAND STREET,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,01 BROOKLYN,3027827502,BROOKLYN,999554,198524,PHONE,Unspecified,BROOKLYN,40.711566033878675,-73.94479727775924,"{'latitude': '40.711566033878675', 'longitude': '-73.94479727775924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T17:35:31.000,,,,,,,,,,,
58867751,2023-09-19T11:03:12.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11208,751 CLEVELAND STREET,CLEVELAND STREET,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,05 BROOKLYN,3043130073,BROOKLYN,1016982,181881,PHONE,Unspecified,BROOKLYN,40.6658375549569,-73.88201403632053,"{'latitude': '40.6658375549569', 'longitude': '-73.88201403632053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T11:45:57.000,,,,,,,,,,,
58869782,2023-09-19T11:03:12.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11208,751 CLEVELAND STREET,CLEVELAND STREET,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,05 BROOKLYN,3043130073,BROOKLYN,1016982,181881,PHONE,Unspecified,BROOKLYN,40.6658375549569,-73.88201403632053,"{'latitude': '40.6658375549569', 'longitude': '-73.88201403632053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T11:45:55.000,,,,,,,,,,,
58857890,2023-09-19T11:03:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10034,3758 10 AVENUE,10 AVENUE,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-19T12:46:35.000,12 MANHATTAN,1022160001,MANHATTAN,1005959,252949,PHONE,Unspecified,MANHATTAN,40.86093462046157,-73.92151806669203,"{'latitude': '40.86093462046157', 'longitude': '-73.92151806669203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:46:31.000,ACADEMY STREET,WEST  202 STREET,ACADEMY STREET,WEST  202 STREET,10 AVENUE,,,,,,
58866121,2023-09-19T11:03:02.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11237,465 SUYDAM STREET,SUYDAM STREET,ADDRESS,BROOKLYN,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T15:16:21.000,04 BROOKLYN,3032120031,BROOKLYN,1006753,196883,ONLINE,Unspecified,BROOKLYN,40.70704649871367,-73.91883542001386,"{'latitude': '40.70704649871367', 'longitude': '-73.91883542001386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T15:16:18.000,ST NICHOLAS AVENUE,CYPRESS AVENUE,ST NICHOLAS AVENUE,CYPRESS AVENUE,SUYDAM STREET,,,,,,
58867420,2023-09-19T11:03:00.000,DOT,Department of Transportation,Street Light Condition,Multiple Street Lights Out,,11218,,,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T08:03:00.000,12 BROOKLYN,,BROOKLYN,988579,174066,UNKNOWN,Unspecified,BROOKLYN,40.64444653621189,-73.98440066786452,"{'latitude': '40.64444653621189', 'longitude': '-73.98440066786452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T08:03:00.000,CHESTER AVENUE,12 AVENUE,,,,,,,,,
58868988,2023-09-19T11:02:59.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11222,108 DOBBIN STREET,DOBBIN STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T11:48:46.000,01 BROOKLYN,3026170052,BROOKLYN,996793,203582,ONLINE,Unspecified,BROOKLYN,40.72545337133777,-73.95474699302834,"{'latitude': '40.72545337133777', 'longitude': '-73.95474699302834', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:48:42.000,NORMAN AVENUE,CLIFFORD PLACE,NORMAN AVENUE,CLIFFORD PLACE,DOBBIN STREET,,,,,,
58856542,2023-09-19T11:02:58.000,DOHMH,Department of Health and Mental Hygiene,Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,1-2 Family Dwelling,11375,67-39 108 STREET,108 STREET,ADDRESS,FOREST HILLS,,In Progress,,,06 QUEENS,4021770003,QUEENS,1026650,204521,ONLINE,Unspecified,QUEENS,40.727937970833985,-73.84702224956308,"{'latitude': '40.727937970833985', 'longitude': '-73.84702224956308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,67 ROAD,67 DRIVE,67 ROAD,67 DRIVE,108 STREET,,,,,,
58859351,2023-09-19T11:02:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10304,129 TOMPKINS AVENUE,TOMPKINS AVENUE,ADDRESS,STATEN ISLAND,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T12:18:29.000,01 STATEN ISLAND,5005340075,STATEN ISLAND,962632,165626,ONLINE,Unspecified,STATEN ISLAND,40.62125520816595,-74.07787231115563,"{'latitude': '40.62125520816595', 'longitude': '-74.07787231115563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:18:25.000,SUSAN COURT,THELMA COURT,SUSAN COURT,THELMA COURT,TOMPKINS AVENUE,,,,,,
58868600,2023-09-19T11:02:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11218,503 BEVERLEY ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T12:20:54.000,12 BROOKLYN,3053380092,BROOKLYN,991107,173605,MOBILE,Unspecified,BROOKLYN,40.643179594009574,-73.97529161692934,"{'latitude': '40.643179594009574', 'longitude': '-73.97529161692934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:20:50.000,EAST    5 STREET,OCEAN PARKWAY,EAST    5 STREET,OCEAN PARKWAY,BEVERLEY ROAD,,,,,,
58866155,2023-09-19T11:02:43.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10469,3000 GUNTHER AVENUE,GUNTHER AVENUE,ADDRESS,BRONX,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T13:33:28.000,12 BRONX,,BRONX,1028725,256592,PHONE,Unspecified,BRONX,40.87084819456457,-73.83919084877878,"{'latitude': '40.87084819456457', 'longitude': '-73.83919084877878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T13:33:22.000,ADEE AVENUE,HAMMERSLEY AVENUE,ADEE AVENUE,HAMMERSLEY AVENUE,GUNTHER AVENUE,,,,,,
58860843,2023-09-19T11:02:24.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11201,78 CONGRESS STREET,CONGRESS STREET,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T00:00:00.000,06 BROOKLYN,3002990013,BROOKLYN,984285,190473,UNKNOWN,Unspecified,BROOKLYN,40.689481157528014,-73.99987379409238,"{'latitude': '40.689481157528014', 'longitude': '-73.99987379409238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T00:00:00.000,,,,,,,,,,,
58860890,2023-09-19T11:02:14.000,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11220,5018 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-20T09:57:57.000,07 BROOKLYN,3007930136,BROOKLYN,982561,173281,PHONE,Unspecified,BROOKLYN,40.64229277698247,-74.0060860294361,"{'latitude': '40.64229277698247', 'longitude': '-74.0060860294361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T13:52:21.000,50 STREET,51 STREET,50 STREET,51 STREET,7 AVENUE,,,,,,
58866869,2023-09-19T11:02:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10009,438 EAST   13 STREET,EAST   13 STREET,ADDRESS,NEW YORK,N/A,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-22T05:26:00.000,03 MANHATTAN,1004400027,MANHATTAN,989200,205328,ONLINE,Unspecified,MANHATTAN,40.73025322326065,-73.98213995767371,"{'latitude': '40.73025322326065', 'longitude': '-73.98213995767371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T05:26:00.000,,,1 AVE,AVENUE A,,,,,,,
58865502,2023-09-19T11:02:00.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10024,589 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T11:36:18.000,07 MANHATTAN,1012190001,MANHATTAN,991491,226827,ONLINE,Unspecified,MANHATTAN,40.789260886149705,-73.97385066924859,"{'latitude': '40.789260886149705', 'longitude': '-73.97385066924859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:36:13.000,WEST   88 STREET,WEST   89 STREET,WEST   88 STREET,WEST   89 STREET,AMSTERDAM AVENUE,,,,,,
58861039,2023-09-19T11:02:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11238,792 CLASSON AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.,2023-09-20T03:05:00.000,08 BROOKLYN,3011747502,BROOKLYN,995163,184578,PHONE,Unspecified,BROOKLYN,40.6732939959923,-73.96065854739575,"{'latitude': '40.6732939959923', 'longitude': '-73.96065854739575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T03:05:00.000,,,STERLING PL,ST JOHNS PL,,,,,,,
58868796,2023-09-19T11:02:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11237,,,INTERSECTION,BROOKLYN,,Closed,"The Department of Environmental Protection inspected your complaint and determined that the catch basin is now functioning properly.  If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-24T08:50:00.000,01 BROOKLYN,,BROOKLYN,1005168,199411,PHONE,Unspecified,BROOKLYN,40.71398914494912,-73.9245443943396,"{'latitude': '40.71398914494912', 'longitude': '-73.9245443943396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-24T08:50:00.000,METROPOLITAN AVENUE,SCOTT AVENUE,,,,,,,,,
