unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,vehicle_type,bridge_highway_direction,road_ramp,taxi_company_borough
58973927,2023-09-30T10:44:11.000,2023-10-05T08:52:42.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11106,31-35 CRESCENT STREET,CRESCENT STREET,ADDRESS,ASTORIA,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,01 QUEENS,4005790036,QUEENS,1004421,217880,ONLINE,Unspecified,QUEENS,40.76468368198577,-73.92718359841146,"{'latitude': '40.76468368198577', 'longitude': '-73.92718359841146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
59443564,2023-09-30T10:44:10.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,10459,1079 HALL PLACE,HALL PLACE,ADDRESS,BRONX,Closed,,2023-10-02T00:00:00.000,02 BRONX,2026910089,BRONX,1012612,240031,PHONE,Unspecified,BRONX,40.82545964844365,-73.89752093123741,"{'latitude': '40.82545964844365', 'longitude': '-73.89752093123741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EAST  165 STREET,EAST  167 STREET,EAST  165 STREET,EAST  167 STREET,HALL PLACE,,,,,
59460706,2023-09-30T10:44:09.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,General,Cooking Gas,Apartment,11225,1180 PRESIDENT STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,Closed,,2023-10-02T00:00:00.000,09 BROOKLYN,3012820034,BROOKLYN,997694,182691,ONLINE,Unspecified,BROOKLYN,40.668111122093144,-73.95153803723703,"{'latitude': '40.668111122093144', 'longitude': '-73.95153803723703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,PRESIDENT STREET,,,,,
58972972,2023-09-30T10:44:06.000,2023-10-02T07:10:51.000,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11385,65-04 CATALPA AVENUE,CATALPA AVENUE,ADDRESS,RIDGEWOOD,Closed,"The Department of Transportation inspected the condition and made the determination that the street meets resurfacing standards and will be planned for either the next or future resurfacing seasons (2 - 3 years). The Department of Transportation works with Community Boards and elected officials to determine resurfacing priority. For specific scheduling information regarding your street, contact your Community Board.",2023-10-02T07:10:55.000,05 QUEENS,4036360002,QUEENS,1014202,196100,PHONE,Unspecified,QUEENS,40.70487527014798,-73.89197162208141,"{'latitude': '40.70487527014798', 'longitude': '-73.89197162208141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,65 STREET,65 PLACE,65 STREET,65 PLACE,CATALPA AVENUE,,,,,
58971523,2023-09-30T10:44:04.000,2023-10-05T07:18:20.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10012,31 CLEVELAND PLACE,CLEVELAND PLACE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed.  The complaint has been closed.,2023-10-05T00:00:00.000,02 MANHATTAN,,MANHATTAN,984997,202211,PHONE,Unspecified,MANHATTAN,40.721699169540024,-73.99730510320427,"{'latitude': '40.721699169540024', 'longitude': '-73.99730510320427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58974440,2023-09-30T10:44:03.000,2023-10-17T00:00:00.000,DOB,Department of Buildings,Investigations and Discipline (IAD),Investigative Inspection,,11216,99 MACON STREET,MACON STREET,ADDRESS,BROOKLYN,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-17T00:00:00.000,03 BROOKLYN,3018440063,BROOKLYN,998867,187518,UNKNOWN,Unspecified,BROOKLYN,40.681358289477394,-73.94729922400785,"{'latitude': '40.681358289477394', 'longitude': '-73.94729922400785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
59438751,2023-09-30T10:44:02.000,2023-09-30T11:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11215,389 4 STREET,4 STREET,ADDRESS,BROOKLYN,Closed,,2023-09-30T11:20:00.000,06 BROOKLYN,3009830075,BROOKLYN,989531,183681,ONLINE,Unspecified,BROOKLYN,40.67083708333555,-73.98096265439885,"{'latitude': '40.67083708333555', 'longitude': '-73.98096265439885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,4 STREET,,,,,
58975597,2023-09-30T10:44:00.000,2023-10-07T09:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10016,564 1 AVENUE,1 AVENUE,ADDRESS,NEW YORK,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-07T09:45:00.000,06 MANHATTAN,1009627501,MANHATTAN,991353,209830,ONLINE,Unspecified,MANHATTAN,40.74260863357825,-73.97436698839535,"{'latitude': '40.74260863357825', 'longitude': '-73.97436698839535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,E 30 ST,E 33 ST,,,,,,,,
58974418,2023-09-30T10:44:00.000,2023-10-01T02:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11422,148-17 HOOK CREEK BOULEVARD,HOOK CREEK BOULEVARD,ADDRESS,ROSEDALE,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T02:15:00.000,13 QUEENS,4136940017,QUEENS,1060183,177769,ONLINE,Unspecified,QUEENS,40.6542859650255,-73.72633848304788,"{'latitude': '40.6542859650255', 'longitude': '-73.72633848304788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,148 AVE,148 RD,,,,,,,,
59435228,2023-09-30T10:43:43.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Building-Wide,11224,2970 WEST   27 STREET,WEST   27 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-01T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,PHONE,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,DEAD END,SURF AVENUE,DEAD END,SURF AVENUE,WEST   27 STREET,,,,,
59436686,2023-09-30T10:43:12.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,Apartment,10472,1038 WHITE PLAINS ROAD,WHITE PLAINS ROAD,ADDRESS,BRONX,Closed,,2023-10-03T00:00:00.000,09 BRONX,2037330013,BRONX,1022967,240673,ONLINE,Unspecified,BRONX,40.82718243351494,-73.86010205150805,"{'latitude': '40.82718243351494', 'longitude': '-73.86010205150805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BRUCKNER BOULEVARD,WATSON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,WHITE PLAINS ROAD,,,,,
58973387,2023-09-30T10:42:28.000,2023-09-30T10:56:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,7 PAERDEGAT    9 STREET,PAERDEGAT    9 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T10:56:22.000,18 BROOKLYN,3080580055,BROOKLYN,1010238,168544,PHONE,Unspecified,BROOKLYN,40.62925276089677,-73.90637486108983,"{'latitude': '40.62925276089677', 'longitude': '-73.90637486108983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,PAERDEGAT AVENUE NORTH,EAST   80 STREET,PAERDEGAT AVENUE NORTH,EAST   80 STREET,PAERDEGAT    9 STREET,,,,,
59456362,2023-09-30T10:42:22.000,2023-10-05T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Damp Spot,Apartment,10012,31 CLEVELAND PLACE,CLEVELAND PLACE,ADDRESS,NEW YORK,Closed,,2023-10-05T00:00:00.000,02 MANHATTAN,,MANHATTAN,984997,202211,PHONE,Unspecified,MANHATTAN,40.721699169540024,-73.99730510320427,"{'latitude': '40.721699169540024', 'longitude': '-73.99730510320427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,KENMARE STREET,LAFAYETTE STREET,KENMARE STREET,LAFAYETTE STREET,CLEVELAND PLACE,,,,,
59461194,2023-09-30T10:42:19.000,,DOB,Department of Buildings,Water Drainage,Drain/Pipe Clogged,Street,11366,75-07 195 STREET,195 STREET,ADDRESS,FRESH MEADOWS,In Progress,,,08 QUEENS,4072110073,QUEENS,1046171,206166,ONLINE,Unspecified,QUEENS,40.73233796713077,-73.77657626831135,"{'latitude': '40.73233796713077', 'longitude': '-73.77657626831135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,75 AVENUE,UNION TURNPIKE,75 AVENUE,UNION TURNPIKE,195 STREET,,,,,
58976541,2023-09-30T10:41:54.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,11201,28 CADMAN PLAZA WEST,CADMAN PLAZA WEST,ADDRESS,BROOKLYN,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-10-02T10:14:22.000,02 BROOKLYN,3002020001,BROOKLYN,985984,195260,ONLINE,Unspecified,BROOKLYN,40.70262019071403,-73.99374616641713,"{'latitude': '40.70262019071403', 'longitude': '-73.99374616641713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ELIZABETH PLACE,FRONT STREET,ELIZABETH PLACE,FRONT STREET,CADMAN PLAZA WEST,,,,,
58975534,2023-09-30T10:41:49.000,2023-10-04T09:57:26.000,DSNY,Department of Sanitation,Missed Collection,Trash and Bulky Trash,Street,11225,437 LINCOLN ROAD,LINCOLN ROAD,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-03T12:59:42.000,09 BROOKLYN,3013300041,BROOKLYN,998524,180359,ONLINE,Unspecified,BROOKLYN,40.661709001234506,-73.94855105096691,"{'latitude': '40.661709001234506', 'longitude': '-73.94855105096691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,NOSTRAND AVENUE,EAST NEW YORK AVENUE,NOSTRAND AVENUE,EAST NEW YORK AVENUE,LINCOLN ROAD,,,,,
58977916,2023-09-30T10:41:41.000,2023-10-02T13:03:28.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Private Carter Decal Not Posted,Street,10019,228 WEST   52 STREET,WEST   52 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-10-02T13:03:33.000,05 MANHATTAN,1010230048,MANHATTAN,988760,217226,ONLINE,Unspecified,MANHATTAN,40.762910481398485,-73.98371953833687,"{'latitude': '40.762910481398485', 'longitude': '-73.98371953833687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,BROADWAY,8 AVENUE,BROADWAY,8 AVENUE,WEST   52 STREET,,,,,
58970190,2023-09-30T10:41:25.000,2023-10-06T00:17:53.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11212,147 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,17 BROOKLYN,3046160054,BROOKLYN,1005767,180914,PHONE,Unspecified,BROOKLYN,40.663217714005015,-73.92244275215101,"{'latitude': '40.663217714005015', 'longitude': '-73.92244275215101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
59441934,2023-09-30T10:41:22.000,2023-10-01T02:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11422,148-17 HOOK CREEK BOULEVARD,HOOK CREEK BOULEVARD,ADDRESS,ROSEDALE,Closed,,2023-10-01T02:15:00.000,13 QUEENS,4136940017,QUEENS,1060183,177769,ONLINE,Unspecified,QUEENS,40.6542859650255,-73.72633848304788,"{'latitude': '40.6542859650255', 'longitude': '-73.72633848304788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,148 AVENUE,148 ROAD,148 AVENUE,148 ROAD,HOOK CREEK BOULEVARD,,,,,
58975094,2023-09-30T10:41:18.000,2023-10-11T10:08:21.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11203,491 EAST   52 STREET,EAST   52 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-11T00:00:00.000,17 BROOKLYN,3047240040,BROOKLYN,1004201,175663,PHONE,Unspecified,BROOKLYN,40.64880854099246,-73.92810287457718,"{'latitude': '40.64880854099246', 'longitude': '-73.92810287457718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58977451,2023-09-30T10:41:16.000,2023-10-02T11:40:24.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,239 OCEAN AVENUE,OCEAN AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,09 BROOKLYN,3050260344,BROOKLYN,994731,178635,ONLINE,Unspecified,BROOKLYN,40.65698230332589,-73.96222514965272,"{'latitude': '40.65698230332589', 'longitude': '-73.96222514965272', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58969073,2023-09-30T10:41:16.000,2023-10-20T06:57:58.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11218,22 CATON PLACE,CATON PLACE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,07 BROOKLYN,3053200055,BROOKLYN,991417,175779,ONLINE,Unspecified,BROOKLYN,40.649146508901985,-73.97417225914874,"{'latitude': '40.649146508901985', 'longitude': '-73.97417225914874', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58973903,2023-09-30T10:41:04.000,2023-10-04T16:00:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11368,108-20 38 AVENUE,38 AVENUE,ADDRESS,CORONA,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,03 QUEENS,4017790004,QUEENS,1023400,213492,PHONE,Unspecified,QUEENS,40.75257608551617,-73.85869590564305,"{'latitude': '40.75257608551617', 'longitude': '-73.85869590564305', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58974289,2023-09-30T10:41:01.000,2023-10-02T12:24:11.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11385,60-70 PALMETTO STREET,PALMETTO STREET,ADDRESS,RIDGEWOOD,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-10-02T12:24:17.000,05 QUEENS,4035280063,QUEENS,1012234,197286,ONLINE,Unspecified,QUEENS,40.70813700084787,-73.89906470510806,"{'latitude': '40.70813700084787', 'longitude': '-73.89906470510806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,60 PLACE,FRESH POND ROAD,60 PLACE,FRESH POND ROAD,PALMETTO STREET,,,,,
58970733,2023-09-30T10:41:00.000,2023-09-30T14:00:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,11413,147-24 227 STREET,227 STREET,ADDRESS,SPRINGFIELD GARDENS,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-30T14:00:00.000,13 QUEENS,4137060017,QUEENS,1052203,179133,ONLINE,Unspecified,QUEENS,40.65809466391556,-73.75508439340543,"{'latitude': '40.65809466391556', 'longitude': '-73.75508439340543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,147 AVE,148 AVE,,,,,,,,
58971018,2023-09-30T10:41:00.000,2023-09-30T10:41:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11234,,,INTERSECTION,BROOKLYN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-30T10:30:00.000,18 BROOKLYN,,BROOKLYN,1002872,165530,UNKNOWN,Unspecified,BROOKLYN,40.620998512132616,-73.93292013358577,"{'latitude': '40.620998512132616', 'longitude': '-73.93292013358577', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,TROY AVENUE,AVENUE M,,,,,,
58971984,2023-09-30T10:41:00.000,2023-10-07T11:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10001,,,INTERSECTION,MANHATTAN,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-07T11:45:00.000,04 MANHATTAN,,MANHATTAN,985274,213756,PHONE,Unspecified,MANHATTAN,40.75338730923498,-73.99630403340966,"{'latitude': '40.75338730923498', 'longitude': '-73.99630403340966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,9 AVENUE,WEST 34 STREET,,,,,,
58975768,2023-09-30T10:40:52.000,2023-10-13T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,11220,479 SENATOR STREET,SENATOR STREET,ADDRESS,BROOKLYN,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-13T00:00:00.000,10 BROOKLYN,3058510047,BROOKLYN,978387,170737,UNKNOWN,Unspecified,BROOKLYN,40.63530826125936,-74.02112413040135,"{'latitude': '40.63530826125936', 'longitude': '-74.02112413040135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,,,,,
58968970,2023-09-30T10:40:49.000,2023-10-01T12:53:57.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10025,202 WEST   98 STREET,WEST   98 STREET,ADDRESS,NEW YORK,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-01T00:00:00.000,07 MANHATTAN,1018690136,MANHATTAN,992644,229088,PHONE,Unspecified,MANHATTAN,40.79546570093932,-73.96968402958025,"{'latitude': '40.79546570093932', 'longitude': '-73.96968402958025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58972638,2023-09-30T10:40:46.000,2023-10-03T08:38:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10009,527 EAST    6 STREET,EAST    6 STREET,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www.nyc.gov/hpd.",2023-10-03T00:00:00.000,03 MANHATTAN,1004020052,MANHATTAN,988914,203469,ONLINE,Unspecified,MANHATTAN,40.725150876909105,-73.98317315965804,"{'latitude': '40.725150876909105', 'longitude': '-73.98317315965804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
59435742,2023-09-30T10:40:46.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,Public Area,11368,108-20 38 AVENUE,38 AVENUE,ADDRESS,CORONA,Closed,,2023-10-04T00:00:00.000,03 QUEENS,4017790004,QUEENS,1023400,213492,PHONE,Unspecified,QUEENS,40.75257608551617,-73.85869590564305,"{'latitude': '40.75257608551617', 'longitude': '-73.85869590564305', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,108 STREET,111 STREET,108 STREET,111 STREET,38 AVENUE,,,,,
58977420,2023-09-30T10:40:43.000,2023-10-01T10:14:08.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11692,324 BEACH   66 STREET,BEACH   66 STREET,ADDRESS,ARVERNE,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,14 QUEENS,4159100029,QUEENS,1041164,155114,ONLINE,Unspecified,QUEENS,40.59224556358349,-73.79507342189311,"{'latitude': '40.59224556358349', 'longitude': '-73.79507342189311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58970255,2023-09-30T10:40:43.000,2023-10-01T10:14:07.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11692,324 BEACH   66 STREET,BEACH   66 STREET,ADDRESS,ARVERNE,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,14 QUEENS,4159100029,QUEENS,1041164,155114,ONLINE,Unspecified,QUEENS,40.59224556358349,-73.79507342189311,"{'latitude': '40.59224556358349', 'longitude': '-73.79507342189311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58970658,2023-09-30T10:40:36.000,2023-09-30T16:23:20.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10461,2801 ST THERESA AVENUE,ST THERESA AVENUE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T16:23:24.000,10 BRONX,2042300001,BRONX,1029715,248880,ONLINE,Unspecified,BRONX,40.84967606805519,-73.83566360660056,"{'latitude': '40.84967606805519', 'longitude': '-73.83566360660056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,HUTCHINSON RIVER PARKWAY EAST,MULFORD AVENUE,HUTCHINSON RIVER PARKWAY EAST,MULFORD AVENUE,ST THERESA AVENUE,,,,,
58976625,2023-09-30T10:40:32.000,2023-09-30T10:54:56.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10030,2400 7 AVENUE,7 AVENUE,ADDRESS,NEW YORK,Closed,The Police Department visited the location and no Encampment was found.,2023-09-30T10:55:02.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,7 AVENUE,,,,,
59435876,2023-09-30T10:40:23.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11218,22 CATON PLACE,CATON PLACE,ADDRESS,BROOKLYN,Closed,,2023-10-20T00:00:00.000,07 BROOKLYN,3053200055,BROOKLYN,991417,175779,ONLINE,Unspecified,BROOKLYN,40.649146508901985,-73.97417225914874,"{'latitude': '40.649146508901985', 'longitude': '-73.97417225914874', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,OCEAN PARKWAY,EAST    8 STREET,OCEAN PARKWAY,EAST    8 STREET,CATON PLACE,,,,,
58970634,2023-09-30T10:40:23.000,2023-10-03T11:41:23.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11217,78 5 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-03T10:35:13.000,06 BROOKLYN,3009340042,BROOKLYN,990462,187256,ONLINE,Unspecified,BROOKLYN,40.68064904797718,-73.9776032207353,"{'latitude': '40.68064904797718', 'longitude': '-73.9776032207353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ST MARKS AVENUE,PROSPECT PLACE,ST MARKS AVENUE,PROSPECT PLACE,5 AVENUE,,,,,
58977855,2023-09-30T10:40:17.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-10-19T12:31:23.000,Unspecified BROOKLYN,,BROOKLYN,1000295,183161,MOBILE,Unspecified,BROOKLYN,40.66939683525467,-73.94216102363771,"{'latitude': '40.66939683525467', 'longitude': '-73.94216102363771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,3,Mezzanine,,,,,,,,,,
58973077,2023-09-30T10:39:59.000,2023-10-03T11:39:40.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11217,78 5 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-10-03T10:31:02.000,06 BROOKLYN,3009340042,BROOKLYN,990462,187256,ONLINE,Unspecified,BROOKLYN,40.68064904797718,-73.9776032207353,"{'latitude': '40.68064904797718', 'longitude': '-73.9776032207353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,ST MARKS AVENUE,PROSPECT PLACE,ST MARKS AVENUE,PROSPECT PLACE,5 AVENUE,,,,,
