unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,location_type,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,road_ramp
59442711,2023-09-29T09:02:45.000,,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,11106,34-11 36 AVENUE,36 AVENUE,34 STREET,35 STREET,ADDRESS,ASTORIA,In Progress,,,01 QUEENS,,QUEENS,1004428,214492,ONLINE,Unspecified,QUEENS,40.75538447762785,-73.92716849763845,"{'latitude': '40.75538447762785', 'longitude': '-73.92716849763845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34 STREET,35 STREET,Apartment,36 AVENUE,,,,,,,
59452645,2023-09-29T09:02:39.000,2023-09-30T08:50:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11226,1617 CHURCH AVENUE,CHURCH AVENUE,BUCKINGHAM ROAD,EAST   17 STREET,ADDRESS,BROOKLYN,Closed,,2023-09-30T08:50:00.000,14 BROOKLYN,3050770032,BROOKLYN,994055,175663,PHONE,Unspecified,BROOKLYN,40.648825586265396,-73.96466585961421,"{'latitude': '40.648825586265396', 'longitude': '-73.96466585961421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BUCKINGHAM ROAD,EAST   17 STREET,Sewer,CHURCH AVENUE,,,,,,,
59439148,2023-09-29T09:02:33.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11203,637 HAWTHORNE STREET,HAWTHORNE STREET,ALBANY AVENUE,TROY AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-04T00:00:00.000,09 BROOKLYN,,BROOKLYN,1001144,179216,ONLINE,Unspecified,BROOKLYN,40.65856710744187,-73.93911043657886,"{'latitude': '40.65856710744187', 'longitude': '-73.93911043657886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALBANY AVENUE,TROY AVENUE,Apartment,HAWTHORNE STREET,,,,,,,
59442608,2023-09-29T09:02:32.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,10016,318 EAST   34 STREET,EAST   34 STREET,QUEENS MIDTOWN TUNNEL APPROACH,1 AVENUE,ADDRESS,NEW YORK,Closed,,2023-10-03T00:00:00.000,06 MANHATTAN,,MANHATTAN,991208,210466,PHONE,Unspecified,MANHATTAN,40.744354409924405,-73.97488960042075,"{'latitude': '40.744354409924405', 'longitude': '-73.97488960042075', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS MIDTOWN TUNNEL APPROACH,1 AVENUE,Apartment,EAST   34 STREET,,,,,,,
59439366,2023-09-29T09:02:28.000,2023-09-29T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11226,60 EAST   17 STREET,EAST   17 STREET,CATON AVENUE,CHURCH AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-29T00:00:00.000,14 BROOKLYN,,BROOKLYN,994212,175957,ONLINE,Unspecified,BROOKLYN,40.649632377222076,-73.96409964677582,"{'latitude': '40.649632377222076', 'longitude': '-73.96409964677582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CATON AVENUE,CHURCH AVENUE,Public Area,EAST   17 STREET,,,,,,,
59452598,2023-09-29T09:02:28.000,2023-09-29T16:50:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11211,320 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,ADDRESS,BROOKLYN,Closed,,2023-09-29T16:50:00.000,01 BROOKLYN,3029270090,BROOKLYN,1003493,200973,ONLINE,Unspecified,BROOKLYN,40.71828026123577,-73.93058200227063,"{'latitude': '40.71828026123577', 'longitude': '-73.93058200227063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VANDERVOORT AVENUE,DEAD END,Sewer,MASPETH AVENUE,,,,,,,
59438877,2023-09-29T09:02:25.000,2023-09-30T08:40:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11214,8880 24 AVENUE,24 AVENUE,CROPSEY AVENUE,SHORE PARKWAY,ADDRESS,BROOKLYN,Closed,,2023-09-30T08:40:00.000,11 BROOKLYN,,BROOKLYN,985419,155756,PHONE,Unspecified,BROOKLYN,40.59419037670102,-73.99579073815619,"{'latitude': '40.59419037670102', 'longitude': '-73.99579073815619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CROPSEY AVENUE,SHORE PARKWAY,Street,24 AVENUE,,,,,,,
58971843,2023-09-29T09:02:25.000,2023-09-30T13:13:10.000,DSNY,Department of Sanitation,Dirty Condition,Trash,11223,463 AVENUE U,AVENUE U,EAST    4 STREET,EAST    5 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-30T13:13:10.000,15 BROOKLYN,,BROOKLYN,993306,157011,MOBILE,Unspecified,BROOKLYN,40.597630549113035,-73.96739004268893,"{'latitude': '40.597630549113035', 'longitude': '-73.96739004268893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST    4 STREET,EAST    5 STREET,Sidewalk,AVENUE U,,,,,,,
58964779,2023-09-29T09:02:19.000,2023-09-29T16:14:29.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,10469,2452 GUNTHER AVENUE,GUNTHER AVENUE,WARING AVENUE,MACE AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T16:14:32.000,11 BRONX,2044910027,BRONX,1029578,253273,ONLINE,Unspecified,BRONX,40.86173422451357,-73.83612909649509,"{'latitude': '40.86173422451357', 'longitude': '-73.83612909649509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WARING AVENUE,MACE AVENUE,Street/Sidewalk,GUNTHER AVENUE,,,,,,,
59456084,2023-09-29T09:02:13.000,2023-10-01T15:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11230,1664 EAST    4 STREET,EAST    4 STREET,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,Closed,,2023-10-01T15:20:00.000,12 BROOKLYN,,BROOKLYN,992537,161542,PHONE,Unspecified,BROOKLYN,40.61006797296986,-73.97015359297004,"{'latitude': '40.61006797296986', 'longitude': '-73.97015359297004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE O,AVENUE P,Sewer,EAST    4 STREET,,,,,,,
59452628,2023-09-29T09:02:11.000,2023-10-01T09:40:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11214,2827 CROPSEY AVENUE,CROPSEY AVENUE,BAY   49 STREET,SHORE PARKWAY,ADDRESS,BROOKLYN,Closed,,2023-10-01T09:40:00.000,13 BROOKLYN,,BROOKLYN,987642,152680,ONLINE,Unspecified,BROOKLYN,40.58574679991505,-73.98778784343726,"{'latitude': '40.58574679991505', 'longitude': '-73.98778784343726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAY   49 STREET,SHORE PARKWAY,Sewer,CROPSEY AVENUE,,,,,,,
58957782,2023-09-29T09:02:08.000,2023-09-29T13:44:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11103,32-33 46 STREET,46 STREET,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T13:44:57.000,01 QUEENS,4007220025,QUEENS,1007932,214838,ONLINE,Unspecified,QUEENS,40.75632546835553,-73.91451977006723,"{'latitude': '40.75632546835553', 'longitude': '-73.91451977006723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,34 AVENUE,Street/Sidewalk,46 STREET,,,,,,,
59438636,2023-09-29T09:02:05.000,2023-09-29T09:25:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11230,249 NEWKIRK AVENUE,NEWKIRK AVENUE,LAWRENCE AVENUE,EAST    8 STREET,ADDRESS,BROOKLYN,Closed,,2023-09-29T09:25:00.000,14 BROOKLYN,3054210069,BROOKLYN,992413,169573,PHONE,Unspecified,BROOKLYN,40.632111507397425,-73.97059047960163,"{'latitude': '40.632111507397425', 'longitude': '-73.97059047960163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LAWRENCE AVENUE,EAST    8 STREET,Sewer,NEWKIRK AVENUE,,,,,,,
58962437,2023-09-29T09:02:04.000,2023-09-29T19:08:47.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10457,505 EAST  182 STREET,EAST  182 STREET,BASSFORD AVENUE,BATHGATE AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T19:08:53.000,06 BRONX,,BRONX,1013699,250254,ONLINE,Unspecified,BRONX,40.85351523129951,-73.89354844069912,"{'latitude': '40.85351523129951', 'longitude': '-73.89354844069912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BASSFORD AVENUE,BATHGATE AVENUE,Street/Sidewalk,EAST  182 STREET,,,,,,,
59460226,2023-09-29T09:02:01.000,2023-10-15T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,10453,124 EAST  176 STREET,EAST  176 STREET,WALTON AVENUE,MORRIS AVENUE,ADDRESS,BRONX,Closed,,2023-10-15T00:00:00.000,05 BRONX,,BRONX,1009410,248279,ONLINE,Unspecified,BRONX,40.84810770841058,-73.90905961756198,"{'latitude': '40.84810770841058', 'longitude': '-73.90905961756198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WALTON AVENUE,MORRIS AVENUE,Apartment,EAST  176 STREET,,,,,,,
59441617,2023-09-29T09:02:00.000,2023-09-30T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,11217,213 BUTLER STREET,BUTLER STREET,BOND STREET,NEVINS STREET,ADDRESS,BROOKLYN,Closed,,2023-09-30T00:00:00.000,06 BROOKLYN,,BROOKLYN,987793,187842,PHONE,Unspecified,BROOKLYN,40.68225895544402,-73.98722573985148,"{'latitude': '40.68225895544402', 'longitude': '-73.98722573985148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOND STREET,NEVINS STREET,Apartment,BUTLER STREET,,,,,,,
58959111,2023-09-29T09:02:00.000,2023-09-29T18:50:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11217,272 WYCKOFF STREET,WYCKOFF STREET,NEVINS ST,3 AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T18:50:00.000,06 BROOKLYN,3003940001,BROOKLYN,988665,188265,PHONE,Unspecified,BROOKLYN,40.6834196020996,-73.9840814732478,"{'latitude': '40.6834196020996', 'longitude': '-73.9840814732478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58963745,2023-09-29T09:02:00.000,2023-09-30T11:40:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10314,316 NEAL DOW AVENUE,NEAL DOW AVENUE,WATERS AVE,WATCHOGUE RD,ADDRESS,STATEN ISLAND,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-30T11:40:00.000,01 STATEN ISLAND,5004460049,STATEN ISLAND,946451,163759,ONLINE,Unspecified,STATEN ISLAND,40.616076428207315,-74.13614894644385,"{'latitude': '40.616076428207315', 'longitude': '-74.13614894644385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58959190,2023-09-29T09:02:00.000,2023-09-30T14:25:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11214,75 BAY   40 STREET,BAY   40 STREET,86 ST,BENSON AVE,ADDRESS,BROOKLYN,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T14:25:00.000,11 BROOKLYN,3068680011,BROOKLYN,987581,156405,ONLINE,Unspecified,BROOKLYN,40.59597120218794,-73.98800562430964,"{'latitude': '40.59597120218794', 'longitude': '-73.98800562430964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58963744,2023-09-29T09:02:00.000,2023-09-29T12:45:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11354,137-08 31 ROAD,31 ROAD,137 ST,138 ST,ADDRESS,FLUSHING,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-29T12:45:00.000,07 QUEENS,4044107503,QUEENS,1030984,219751,ONLINE,Unspecified,QUEENS,40.76971857042697,-73.83127952518231,"{'latitude': '40.76971857042697', 'longitude': '-73.83127952518231', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58959009,2023-09-29T09:02:00.000,2023-09-29T12:40:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11215,326 19 STREET,19 STREET,6 AVE,7 AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T12:40:00.000,07 BROOKLYN,3008860021,BROOKLYN,987293,179922,ONLINE,Unspecified,BROOKLYN,40.660520515346555,-73.98903206151046,"{'latitude': '40.660520515346555', 'longitude': '-73.98903206151046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58965290,2023-09-29T09:02:00.000,2023-09-29T09:02:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11234,2071 EAST   61 STREET,EAST   61 STREET,AVENUE T,AVENUE U,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T08:45:00.000,18 BROOKLYN,3084040007,BROOKLYN,1007766,163529,PHONE,Unspecified,BROOKLYN,40.61549454685925,-73.91529802572629,"{'latitude': '40.61549454685925', 'longitude': '-73.91529802572629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58955883,2023-09-29T09:02:00.000,2023-09-29T21:10:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11361,38-02 CLEARVIEW EXPRESSWAY SR WEST,CLEARVIEW EXPRESSWAY SR WEST,38 AVE,39 AVE,ADDRESS,BAYSIDE,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-29T21:10:00.000,11 QUEENS,4062010025,QUEENS,1045124,217685,ONLINE,Unspecified,QUEENS,40.76396189194824,-73.78024977780292,"{'latitude': '40.76396189194824', 'longitude': '-73.78024977780292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58956094,2023-09-29T09:02:00.000,2023-09-29T15:05:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11211,220 NORTH   10 STREET,NORTH   10 STREET,DRIGGS AVE,ROEBLING ST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2023-09-29T15:05:00.000,01 BROOKLYN,3023060015,BROOKLYN,997038,200937,ONLINE,Unspecified,BROOKLYN,40.71819313547075,-73.95386810047107,"{'latitude': '40.71819313547075', 'longitude': '-73.95386810047107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58965289,2023-09-29T09:02:00.000,2023-09-29T14:20:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11204,6629 BAY PARKWAY,BAY PARKWAY,SEA BEACH LINE,67 ST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T14:20:00.000,11 BROOKLYN,3065770001,BROOKLYN,989113,162550,PHONE,Unspecified,BROOKLYN,40.61283726615373,-73.98248472346171,"{'latitude': '40.61283726615373', 'longitude': '-73.98248472346171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58960629,2023-09-29T09:02:00.000,2023-09-29T14:05:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11214,7801 20 AVENUE,20 AVENUE,78 ST,79 ST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T14:05:00.000,11 BROOKLYN,3062630011,BROOKLYN,986017,161164,PHONE,Unspecified,BROOKLYN,40.609034139433405,-73.99363608259446,"{'latitude': '40.609034139433405', 'longitude': '-73.99363608259446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58959191,2023-09-29T09:02:00.000,2023-09-30T00:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11219,4711 13 AVENUE,13 AVENUE,47 ST,48 ST,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-30T00:00:00.000,12 BROOKLYN,3056290006,BROOKLYN,986727,170995,PHONE,Unspecified,BROOKLYN,40.63601801041235,-73.99107538340456,"{'latitude': '40.63601801041235', 'longitude': '-73.99107538340456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58960437,2023-09-29T09:02:00.000,2023-09-29T11:10:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),11436,145-29 123 AVENUE,123 AVENUE,INWOOD ST,146 ST,ADDRESS,JAMAICA,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-29T11:10:00.000,12 QUEENS,4120430088,QUEENS,1041619,185385,ONLINE,Unspecified,QUEENS,40.675329863725196,-73.79317779597878,"{'latitude': '40.675329863725196', 'longitude': '-73.79317779597878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,,,,,,
58959136,2023-09-29T09:02:00.000,2023-09-29T19:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),10473,1918 LACOMBE AVENUE,LACOMBE AVENUE,BOLTON AVE,WHITE PLAINS RD,ADDRESS,BRONX,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T19:30:00.000,09 BRONX,2035000049,BRONX,1023852,236467,PHONE,Unspecified,BRONX,40.81563424371084,-73.85692906736413,"{'latitude': '40.81563424371084', 'longitude': '-73.85692906736413', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58961993,2023-09-29T09:02:00.000,2023-09-29T10:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11238,,,,,INTERSECTION,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-09-29T10:30:00.000,02 BROOKLYN,,BROOKLYN,994596,189870,PHONE,Unspecified,BROOKLYN,40.687820014242725,-73.96269446196268,"{'latitude': '40.687820014242725', 'longitude': '-73.96269446196268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CLIFTON PLACE,GRAND AVENUE,,,,,,,,,
58958926,2023-09-29T09:02:00.000,2023-09-29T10:10:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),11214,8756 25 AVENUE,25 AVENUE,BENSON AVE,BATH AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-29T10:10:00.000,11 BROOKLYN,3068780079,BROOKLYN,986911,155993,PHONE,Unspecified,BROOKLYN,40.59484057165574,-73.99041834486707,"{'latitude': '40.59484057165574', 'longitude': '-73.99041834486707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58957453,2023-09-29T09:02:00.000,2023-09-29T10:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11205,202 GRAND AVENUE,GRAND AVENUE,WILLOUGHBY AVE,DE KALB AVE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-09-29T10:30:00.000,02 BROOKLYN,3019200001,BROOKLYN,994355,191071,PHONE,Unspecified,BROOKLYN,40.69111676114725,-73.96356165665158,"{'latitude': '40.69111676114725', 'longitude': '-73.96356165665158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58959192,2023-09-29T09:02:00.000,2023-09-30T13:45:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11224,3025 WEST   32 STREET,WEST   32 STREET,SEA PL,BOARDWALK W,ADDRESS,BROOKLYN,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T13:45:00.000,13 BROOKLYN,3070670001,BROOKLYN,984828,147695,ONLINE,Unspecified,BROOKLYN,40.57206458783264,-73.9979194632596,"{'latitude': '40.57206458783264', 'longitude': '-73.9979194632596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58965383,2023-09-29T09:02:00.000,2023-10-02T08:50:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11208,222 AMBER STREET,AMBER STREET,DUMONT AVE,LINDEN BLVD,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-10-02T08:50:00.000,05 BROOKLYN,3044730016,BROOKLYN,1023511,183823,PHONE,Unspecified,BROOKLYN,40.67114136004482,-73.85846829108532,"{'latitude': '40.67114136004482', 'longitude': '-73.85846829108532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59456026,2023-09-29T09:01:55.000,2023-09-29T12:10:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11214,81 BAY   40 STREET,BAY   40 STREET,86 STREET,BENSON AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-29T12:10:00.000,11 BROOKLYN,3068680007,BROOKLYN,987551,156367,PHONE,Unspecified,BROOKLYN,40.59586691107144,-73.9881136678741,"{'latitude': '40.59586691107144', 'longitude': '-73.9881136678741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",86 STREET,BENSON AVENUE,Sewer,BAY   40 STREET,,,,,,,
59453133,2023-09-29T09:01:55.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11217,213 BUTLER STREET,BUTLER STREET,BOND STREET,NEVINS STREET,ADDRESS,BROOKLYN,In Progress,,,06 BROOKLYN,,BROOKLYN,987793,187842,PHONE,Unspecified,BROOKLYN,40.68225895544402,-73.98722573985148,"{'latitude': '40.68225895544402', 'longitude': '-73.98722573985148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOND STREET,NEVINS STREET,Apartment,BUTLER STREET,,,,,,,
59439167,2023-09-29T09:01:55.000,2023-10-12T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11104,41-08 42 STREET,42 STREET,SKILLMAN AVENUE,43 AVENUE,ADDRESS,SUNNYSIDE,Closed,,2023-10-12T00:00:00.000,02 QUEENS,,QUEENS,1005922,211344,PHONE,Unspecified,QUEENS,40.7467404810544,-73.9217861260061,"{'latitude': '40.7467404810544', 'longitude': '-73.9217861260061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SKILLMAN AVENUE,43 AVENUE,Apartment,42 STREET,,,,,,,
59010323,2023-09-29T09:01:52.000,2023-09-29T09:33:39.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-29T09:33:36.000,05 BROOKLYN,,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASHFORD STREET,ELTON STREET,Street/Sidewalk,SCHROEDERS AVENUE,,,,,,,
59459669,2023-09-29T09:01:48.000,2023-09-30T10:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11212,784 SARATOGA AVENUE,SARATOGA AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-30T10:15:00.000,16 BROOKLYN,3035820032,BROOKLYN,1007716,180219,PHONE,Unspecified,BROOKLYN,40.6613051425304,-73.91542007517879,"{'latitude': '40.6613051425304', 'longitude': '-73.91542007517879', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LIVONIA AVENUE,RIVERDALE AVENUE,Street,SARATOGA AVENUE,,,,,,,
58963288,2023-09-29T09:01:43.000,2023-09-29T09:37:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10032,106 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST  163 STREET,WEST  164 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T09:37:09.000,12 MANHATTAN,1021370126,MANHATTAN,999862,244901,ONLINE,Unspecified,MANHATTAN,40.8388581336567,-73.94357854933698,"{'latitude': '40.8388581336567', 'longitude': '-73.94357854933698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  163 STREET,WEST  164 STREET,Residential Building/House,FORT WASHINGTON AVENUE,,,,,,,
59435681,2023-09-29T09:01:43.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,11372,76-09 34 AVENUE,34 AVENUE,76 STREET,77 STREET,ADDRESS,JACKSON HEIGHTS,Closed,,2023-10-02T00:00:00.000,03 QUEENS,4012490033,QUEENS,1014610,213697,ONLINE,Unspecified,QUEENS,40.75317330755206,-73.89042068902829,"{'latitude': '40.75317330755206', 'longitude': '-73.89042068902829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",76 STREET,77 STREET,Apartment,34 AVENUE,,,,,,,
