unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,taxi_company_borough,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58857059,2023-09-19T18:02:43.000,2023-09-20T02:32:55.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,10301,132 WESTERVELT AVENUE,WESTERVELT AVENUE,CLEVELAND STREET,CURTIS PLACE,CLEVELAND STREET,CURTIS PLACE,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-20T02:33:03.000,01 STATEN ISLAND,STATEN ISLAND,960670,174098,PHONE,Unspecified,STATEN ISLAND,40.644504037086364,-74.08496942122477,"{'latitude': '40.644504037086364', 'longitude': '-74.08496942122477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,WESTERVELT AVENUE,5000500076,,,,,,,,
58857656,2023-09-19T18:02:21.000,2023-09-19T18:11:03.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11220,201 62 STREET,62 STREET,2 AVENUE,3 AVENUE,2 AVENUE,3 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T18:11:06.000,07 BROOKLYN,BROOKLYN,977692,173225,MOBILE,Unspecified,BROOKLYN,40.64213680213396,-74.02363060284048,"{'latitude': '40.64213680213396', 'longitude': '-74.02363060284048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,62 STREET,3057890001,,,,,,,,
58862271,2023-09-19T18:02:20.000,2023-09-20T03:31:02.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,41-53 150 STREET,150 STREET,BARCLAY AVENUE,SANFORD AVENUE,BARCLAY AVENUE,SANFORD AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T03:31:09.000,07 QUEENS,QUEENS,1035945,216760,MOBILE,Unspecified,QUEENS,40.76148144843988,-73.81339223052068,"{'latitude': '40.76148144843988', 'longitude': '-73.81339223052068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,150 STREET,4050590009,,,,,,,,
58865629,2023-09-19T18:02:20.000,2023-09-19T18:18:16.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10036,218 WEST   42 STREET,WEST   42 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T18:18:18.000,05 MANHATTAN,MANHATTAN,987633,214847,ONLINE,Unspecified,MANHATTAN,40.756381238945416,-73.9877890458989,"{'latitude': '40.756381238945416', 'longitude': '-73.9877890458989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   42 STREET,1010130041,,,,,,,,
58855990,2023-09-19T18:02:08.000,2023-09-19T18:54:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11230,124 AVENUE J,AVENUE J,MCDONALD AVENUE,EAST    2 STREET,MCDONALD AVENUE,EAST    2 STREET,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T18:54:51.000,12 BROOKLYN,BROOKLYN,991073,166481,ONLINE,Unspecified,BROOKLYN,40.62362575190721,-73.97542133468534,"{'latitude': '40.62362575190721', 'longitude': '-73.97542133468534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,AVENUE J,3065240011,,,,,,,,
58869273,2023-09-19T18:02:03.000,2023-09-19T19:16:29.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11218,906 MCDONALD AVENUE,MCDONALD AVENUE,AVENUE F,18 AVENUE,AVENUE F,18 AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T19:16:31.000,12 BROOKLYN,BROOKLYN,990523,169506,MOBILE,Unspecified,BROOKLYN,40.631929146636445,-73.97739980204315,"{'latitude': '40.631929146636445', 'longitude': '-73.97739980204315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,MCDONALD AVENUE,3054070030,,,,,,,,
58857192,2023-09-19T18:02:00.000,2023-09-20T18:05:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11205,127 SPENCER STREET,SPENCER STREET,PARK AVE,MYRTLE AVE,,,ADDRESS,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-20T18:05:00.000,03 BROOKLYN,BROOKLYN,996658,192494,ONLINE,Unspecified,BROOKLYN,40.69501963746203,-73.9552544841755,"{'latitude': '40.69501963746203', 'longitude': '-73.9552544841755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3017350039,N/A,,,,,,,
58869974,2023-09-19T18:02:00.000,2023-09-19T18:08:00.000,DEP,Department of Environmental Protection,Water System,No Water (WNW),,11434,,,,,146 AVENUE,159 STREET,INTERSECTION,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-19T18:08:00.000,13 QUEENS,QUEENS,1045224,180791,PHONE,Unspecified,QUEENS,40.662696302146216,-73.78022293957838,"{'latitude': '40.662696302146216', 'longitude': '-73.78022293957838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS,,,,,,,,,,
58859659,2023-09-19T18:02:00.000,2023-11-03T20:25:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11217,,,,,FLATBUSH AVENUE,STERLING PLACE,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-11-03T20:25:00.000,06 BROOKLYN,BROOKLYN,992048,185706,UNKNOWN,Unspecified,BROOKLYN,40.676393393853424,-73.97188684140403,"{'latitude': '40.676393393853424', 'longitude': '-73.97188684140403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,,,,,,,
58857234,2023-09-19T18:02:00.000,2023-09-25T08:05:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11212,269 DUMONT AVENUE,DUMONT AVENUE,CHESTER ST,ROCKAWAY AVE,,,ADDRESS,Closed,"The Department of Environmental Protection has investigated this complaint and a leak, not a city issue, has been resolved by homeowner.",2023-09-25T08:05:00.000,16 BROOKLYN,BROOKLYN,1009339,181226,PHONE,Unspecified,BROOKLYN,40.66406468331958,-73.90956645490493,"{'latitude': '40.66406468331958', 'longitude': '-73.90956645490493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3035600048,,,,,,,,
58856926,2023-09-19T18:01:43.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-30T09:01:14.000,Unspecified MANHATTAN,MANHATTAN,988132,217060,PHONE,Unspecified,MANHATTAN,40.76245515218484,-73.98598662527205,"{'latitude': '40.76245515218484', 'longitude': '-73.98598662527205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,E,,Platform,
58858500,2023-09-19T18:01:41.000,2023-10-19T14:56:14.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11223,1950 WEST    4 STREET,WEST    4 STREET,APPLEGATE COURT,AVENUE T,APPLEGATE COURT,AVENUE T,ADDRESS,Closed,NYC Parks inspected and determined that the site is ineligible for the Trees and Sidewalks Program because of one or more of the following reasons:  - The property adjacent to the sidewalk is not in Tax Class 1 - The property adjacent to the sidewalk is not owner-occupied - The property adjacent to the sidewalk contains a place of business  You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website.,2023-10-19T14:56:17.000,11 BROOKLYN,BROOKLYN,990850,157907,ONLINE,Unspecified,BROOKLYN,40.600092057011686,-73.97623303329145,"{'latitude': '40.600092057011686', 'longitude': '-73.97623303329145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,WEST    4 STREET,3070840027,,,,,,,,
58855560,2023-09-19T18:01:33.000,2023-09-19T19:48:01.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11249,40 NORTH   10 STREET,NORTH   10 STREET,DEAD END,KENT AVENUE,DEAD END,KENT AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T19:48:05.000,01 BROOKLYN,BROOKLYN,995246,202401,ONLINE,Unspecified,BROOKLYN,40.722213871124566,-73.96033023423007,"{'latitude': '40.722213871124566', 'longitude': '-73.96033023423007', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,NORTH   10 STREET,3023010070,,,,,,,,
58856533,2023-09-19T18:01:32.000,2023-11-20T11:51:24.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11223,1950 WEST    4 STREET,WEST    4 STREET,APPLEGATE COURT,AVENUE T,APPLEGATE COURT,AVENUE T,ADDRESS,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-11-20T11:51:32.000,11 BROOKLYN,BROOKLYN,990850,157907,ONLINE,Unspecified,BROOKLYN,40.600092057011686,-73.97623303329145,"{'latitude': '40.600092057011686', 'longitude': '-73.97623303329145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,WEST    4 STREET,3070840027,,,,,,,,
58870527,2023-09-19T18:01:26.000,2023-09-20T12:56:24.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11235,290 WEST END AVENUE,WEST END AVENUE,ORIENTAL BOULEVARD,DEAD END,ORIENTAL BOULEVARD,DEAD END,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-20T12:56:27.000,15 BROOKLYN,BROOKLYN,997437,148783,ONLINE,Unspecified,BROOKLYN,40.5750411463259,-73.95253068861159,"{'latitude': '40.5750411463259', 'longitude': '-73.95253068861159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,WEST END AVENUE,3087240186,,,,,,,,
58868210,2023-09-19T18:01:07.000,2023-09-21T12:26:16.000,TLC,Taxi and Limousine Commission,Green Taxi Complaint,Driver Complaint - Passenger,,11201,445 ALBEE SQUARE,ALBEE SQUARE,GOLD STREET,FULTON STREET,GOLD STREET,FULTON STREET,ADDRESS,Closed,,2023-10-26T14:37:12.000,02 BROOKLYN,BROOKLYN,988839,190966,PHONE,Unspecified,BROOKLYN,40.69083313937321,-73.98345226694525,"{'latitude': '40.69083313937321', 'longitude': '-73.98345226694525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,ALBEE SQUARE,3001497501,,,"445 ALBEE SQUARE, BROOKLYN, NY, 11201",,,,,
58857657,2023-09-19T18:01:00.000,2023-09-20T00:19:48.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11223,2110 WEST   10 STREET,WEST   10 STREET,AVENUE U,LAKE PLACE,AVENUE U,LAKE PLACE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T00:19:52.000,15 BROOKLYN,BROOKLYN,989463,156325,PHONE,Unspecified,BROOKLYN,40.59575071117517,-73.98122891795644,"{'latitude': '40.59575071117517', 'longitude': '-73.98122891795644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,WEST   10 STREET,3071160010,,,,,,,,
58870340,2023-09-19T18:00:52.000,2023-10-11T15:46:18.000,DOT,Department of Transportation,Street Condition,Line/Marking - Faded,Vehicle Lane,10314,268 RICHMOND HILL ROAD,RICHMOND HILL ROAD,MARSH AVENUE,NORTHPORT LANE,MARSH AVENUE,NORTHPORT LANE,ADDRESS,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-11T15:46:30.000,02 STATEN ISLAND,STATEN ISLAND,939840,152283,ONLINE,Unspecified,STATEN ISLAND,40.584546517630564,-74.15988573851193,"{'latitude': '40.584546517630564', 'longitude': '-74.15988573851193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,RICHMOND HILL ROAD,5024100103,,,,,,,,
58858115,2023-09-19T18:00:46.000,2023-09-28T08:22:14.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10467,3030 HOLLAND AVENUE,HOLLAND AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,12 BRONX,BRONX,1021521,256314,PHONE,Unspecified,BRONX,40.8701185291378,-73.86523999762987,"{'latitude': '40.8701185291378', 'longitude': '-73.86523999762987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2045700018,,,,,,,,
58865933,2023-09-19T18:00:39.000,,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11221,450 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,ADDRESS,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-19T00:00:00.000,03 BROOKLYN,BROOKLYN,1000031,190147,PHONE,Unspecified,BROOKLYN,40.688572293621945,-73.94309633081993,"{'latitude': '40.688572293621945', 'longitude': '-73.94309633081993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3018050032,,,,,,,,
58861539,2023-09-19T18:00:00.000,2023-09-19T19:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,10469,,,,,BRONXWOOD AVENUE,MACE AVENUE,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-19T19:00:00.000,11 BRONX,BRONX,1022519,253761,UNKNOWN,Unspecified,BRONX,40.86310705836297,-73.86164613455512,"{'latitude': '40.86310705836297', 'longitude': '-73.86164613455512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,N/A,,,,,,,
58868071,2023-09-19T17:59:55.000,,DOT,Department of Transportation,Broken Parking Meter,No Receipt,Street,11220,4 AVENUE,4 AVENUE,47 STREET,48 STREET,47 STREET,48 STREET,BLOCKFACE,In Progress,The Department of Transportation will research this service request and will determine the next action.,2023-09-20T06:13:02.000,Unspecified BROOKLYN,BROOKLYN,981175,175262,ONLINE,Unspecified,BROOKLYN,40.64772982213822,-74.01108115192307,"{'latitude': '40.64772982213822', 'longitude': '-74.01108115192307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58870097,2023-09-19T17:59:54.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11249,74 ROSS STREET,ROSS STREET,WYTHE AVENUE,BEDFORD AVENUE,WYTHE AVENUE,BEDFORD AVENUE,ADDRESS,In Progress,,,01 BROOKLYN,BROOKLYN,994373,195662,ONLINE,Unspecified,BROOKLYN,40.703717965834166,-73.96348984911035,"{'latitude': '40.703717965834166', 'longitude': '-73.96348984911035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,ROSS STREET,3021860001,,,,,,,,
58866229,2023-09-19T17:59:47.000,,DOHMH,Department of Health and Mental Hygiene,Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,3+ Family Apartment Building,11221,686 JEFFERSON AVENUE,JEFFERSON AVENUE,STUYVESANT AVENUE,MALCOLM X BOULEVARD,STUYVESANT AVENUE,MALCOLM X BOULEVARD,ADDRESS,In Progress,,,03 BROOKLYN,BROOKLYN,1003563,189044,ONLINE,Unspecified,BROOKLYN,40.68553780999902,-73.93036369111749,"{'latitude': '40.68553780999902', 'longitude': '-73.93036369111749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,JEFFERSON AVENUE,3016560036,,,,,,,,
58859306,2023-09-19T17:59:09.000,2023-09-19T18:32:55.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10036,460 WEST   42 STREET,WEST   42 STREET,DYER AVENUE,10 AVENUE,DYER AVENUE,10 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T18:32:59.000,04 MANHATTAN,MANHATTAN,985746,215892,ONLINE,Unspecified,MANHATTAN,40.759250017655226,-73.99459994854693,"{'latitude': '40.759250017655226', 'longitude': '-73.99459994854693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   42 STREET,1010517502,,,,,,,,
58865384,2023-09-19T17:59:08.000,2023-09-19T20:46:08.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10461,2040 YATES AVENUE,YATES AVENUE,NEILL AVENUE,LYDIG AVENUE,NEILL AVENUE,LYDIG AVENUE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T20:46:13.000,11 BRONX,BRONX,1024573,250994,PHONE,Unspecified,BRONX,40.85550334178014,-73.85423697041504,"{'latitude': '40.85550334178014', 'longitude': '-73.85423697041504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,YATES AVENUE,2043080001,,,,,,,,
58855795,2023-09-19T17:59:00.000,2023-09-19T20:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Sgnl Mult Lamps,,11211,,,,,MARCY AVENUE,RODNEY STREET,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-19T20:30:00.000,01 BROOKLYN,BROOKLYN,996006,196701,UNKNOWN,Unspecified,BROOKLYN,40.70656775697812,-73.95759837130802,"{'latitude': '40.70656775697812', 'longitude': '-73.95759837130802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,N/A,,,,,,,
58861024,2023-09-19T17:59:00.000,2023-09-25T12:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10025,609 WEST  114 STREET,WEST  114 STREET,BROADWAY,RIVERSIDE DR,,,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-25T12:30:00.000,09 MANHATTAN,MANHATTAN,993775,233301,ONLINE,Unspecified,MANHATTAN,40.80702808563961,-73.96559330693063,"{'latitude': '40.80702808563961', 'longitude': '-73.96559330693063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,1018960014,N/A,,,,,,,
58859906,2023-09-19T17:58:57.000,2023-09-19T18:05:41.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11207,282 ASHFORD STREET,ASHFORD STREET,LIBERTY AVENUE,GLENMORE AVENUE,LIBERTY AVENUE,GLENMORE AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T18:05:44.000,05 BROOKLYN,BROOKLYN,1015995,185407,ONLINE,Unspecified,BROOKLYN,40.67551922180603,-73.88555517307529,"{'latitude': '40.67551922180603', 'longitude': '-73.88555517307529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,ASHFORD STREET,3039830020,,,,,,,,
58861504,2023-09-19T17:58:36.000,2023-09-19T19:27:46.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11415,84-71 126 STREET,126 STREET,KEW GARDENS ROAD,AUSTIN STREET,KEW GARDENS ROAD,AUSTIN STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T19:27:49.000,09 QUEENS,QUEENS,1032531,196716,ONLINE,Unspecified,QUEENS,40.706485015494614,-73.82585983648148,"{'latitude': '40.706485015494614', 'longitude': '-73.82585983648148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KEW GARDENS,126 STREET,4092480099,,,,,,,,
58867106,2023-09-19T17:58:34.000,2023-09-19T19:40:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11222,226 FRANKLIN STREET,FRANKLIN STREET,GREEN STREET,FREEMAN STREET,GREEN STREET,FREEMAN STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T19:40:50.000,01 BROOKLYN,BROOKLYN,995839,206525,ONLINE,Unspecified,BROOKLYN,40.73353248736513,-73.95818379331607,"{'latitude': '40.73353248736513', 'longitude': '-73.95818379331607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,FRANKLIN STREET,3025120001,,,,,,,,
58860433,2023-09-19T17:58:27.000,2023-11-13T16:23:11.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11223,2103 EAST    2 STREET,EAST    2 STREET,AVENUE T,AVENUE U,AVENUE T,AVENUE U,ADDRESS,Closed,"NYC Parks inspected and determined this site does not rate high enough to be repaired by NYC Parks at this time.   We understand conditions may become worse over time. In three years, you may submit a service request via 311, the Parks website, or NYC Tree Map for a new inspection.   You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website.",2023-11-13T16:23:14.000,15 BROOKLYN,BROOKLYN,992643,157226,PHONE,Unspecified,BROOKLYN,40.598221333294546,-73.96977718722613,"{'latitude': '40.598221333294546', 'longitude': '-73.96977718722613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST    2 STREET,3071050036,,,,,,,,
58857981,2023-09-19T17:58:20.000,2023-09-19T18:59:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11423,99-03 203 STREET,203 STREET,99 AVENUE,100 AVENUE,99 AVENUE,100 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T18:59:46.000,12 QUEENS,QUEENS,1051588,198788,ONLINE,Unspecified,QUEENS,40.7120476366434,-73.75710452916022,"{'latitude': '40.7120476366434', 'longitude': '-73.75710452916022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOLLIS,203 STREET,4108500004,,,,,,,,
58862759,2023-09-19T17:58:16.000,2023-09-21T00:20:57.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11354,25 ROAD,25 ROAD,25 ROAD,120 STREET,25 ROAD,120 STREET,INTERSECTION,Closed,The Department of Sanitation cleaned the location.,2023-09-21T00:21:06.000,07 QUEENS,QUEENS,1026337,221947,ONLINE,Unspecified,QUEENS,40.77576935263861,-73.84804247405191,"{'latitude': '40.77576935263861', 'longitude': '-73.84804247405191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58865256,2023-09-19T17:58:01.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11220,452 51 STREET,51 STREET,,,,,ADDRESS,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-29T00:00:00.000,07 BROOKLYN,BROOKLYN,980931,174331,UNKNOWN,Unspecified,BROOKLYN,40.64517434018527,-74.01195997874558,"{'latitude': '40.64517434018527', 'longitude': '-74.01195997874558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3007990027,,,,,,,,
58855375,2023-09-19T17:58:00.000,2023-09-20T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11226,339 MARTENSE STREET,MARTENSE STREET,,,,,ADDRESS,Closed,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T00:00:00.000,17 BROOKLYN,BROOKLYN,998711,176748,UNKNOWN,Unspecified,BROOKLYN,40.651797296174095,-73.94788477510045,"{'latitude': '40.651797296174095', 'longitude': '-73.94788477510045', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3048680068,,,,,,,,
58866849,2023-09-19T17:58:00.000,,DOT,Department of Transportation,Street Light Condition,Lamppost Knocked Down,,11206,43 GEORGE STREET,GEORGE STREET,EVERGREEN AVE,CENTRAL AVE,GEORGE STREET,EVERGREEN AVENUE,INTERSECTION,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-11-21T10:22:00.000,04 BROOKLYN,BROOKLYN,1002888,194334,UNKNOWN,Unspecified,BROOKLYN,40.700059079964085,-73.93278288124742,"{'latitude': '40.700059079964085', 'longitude': '-73.93278288124742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3031530031,,,,,,,,
58866167,2023-09-19T17:57:51.000,2023-09-19T18:50:38.000,NYPD,New York City Police Department,Animal-Abuse,Other (complaint details),Store/Commercial,11205,380 MYRTLE AVENUE,MYRTLE AVENUE,ADELPHI STREET,CLERMONT AVENUE,ADELPHI STREET,CLERMONT AVENUE,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T18:50:44.000,02 BROOKLYN,BROOKLYN,992288,191818,ONLINE,Unspecified,BROOKLYN,40.693169222170496,-73.97101430807716,"{'latitude': '40.693169222170496', 'longitude': '-73.97101430807716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,MYRTLE AVENUE,3020740030,,,,,,,,
58860881,2023-09-19T17:57:46.000,2023-09-19T19:01:55.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10451,EAST  149 STREET,EAST  149 STREET,EAST  149 STREET,WALTON AVENUE,EAST  149 STREET,WALTON AVENUE,INTERSECTION,Closed,N/A,2023-09-19T19:01:59.000,01 BRONX,BRONX,1004102,237600,PHONE,Unspecified,BRONX,40.81881046961657,-73.92827688576725,"{'latitude': '40.81881046961657', 'longitude': '-73.92827688576725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
