unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,taxi_company_borough,road_ramp
58943686,2023-09-27T21:41:26.000,2023-09-27T22:26:02.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11215,511 7 AVENUE,7 AVENUE,PROSPECT AVENUE,17 STREET,PROSPECT AVENUE,17 STREET,ADDRESS,BROOKLYN,7 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T22:26:06.000,07 BROOKLYN,BROOKLYN,987986,180119,MOBILE,Unspecified,BROOKLYN,40.66106097161786,-73.98653416028974,"{'latitude': '40.66106097161786', 'longitude': '-73.98653416028974', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939150,2023-09-27T21:41:19.000,2023-09-28T03:40:58.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10472,1329 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,EAST  172 STREET,EAST  174 STREET,EAST  172 STREET,EAST  174 STREET,ADDRESS,BRONX,COMMONWEALTH AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T03:41:03.000,09 BRONX,BRONX,1020596,242945,ONLINE,Unspecified,BRONX,40.83342849023004,-73.86865697421297,"{'latitude': '40.83342849023004', 'longitude': '-73.86865697421297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943018,2023-09-27T21:41:19.000,2023-10-02T15:14:05.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11361,213-58 35 AVENUE,35 AVENUE,BELL BOULEVARD,CORPORAL STONE STREET,BELL BOULEVARD,CORPORAL STONE STREET,ADDRESS,BAYSIDE,35 AVENUE,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-10-02T15:14:09.000,11 QUEENS,QUEENS,1047002,219537,PHONE,Unspecified,QUEENS,40.769032004843936,-73.77345308888636,"{'latitude': '40.769032004843936', 'longitude': '-73.77345308888636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4061730016,,,,,,,
58938576,2023-09-27T21:41:17.000,2023-09-27T21:45:54.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11209,8801 SHORE ROAD,SHORE ROAD,88 STREET,NARROWS AVENUE,88 STREET,NARROWS AVENUE,ADDRESS,BROOKLYN,SHORE ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T21:46:00.000,10 BROOKLYN,BROOKLYN,972918,166639,MOBILE,Unspecified,BROOKLYN,40.62405480872863,-74.0408218133134,"{'latitude': '40.62405480872863', 'longitude': '-74.0408218133134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58944863,2023-09-27T21:41:13.000,2023-09-27T22:30:54.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11435,145-12 FERNDALE AVENUE,FERNDALE AVENUE,INWOOD STREET,LIVERPOOL STREET,INWOOD STREET,LIVERPOOL STREET,ADDRESS,JAMAICA,FERNDALE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T22:30:57.000,12 QUEENS,QUEENS,1039440,190315,PHONE,Unspecified,QUEENS,40.688875410163966,-73.80099294980135,"{'latitude': '40.688875410163966', 'longitude': '-73.80099294980135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937351,2023-09-27T21:41:09.000,2023-09-27T22:21:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11201,232 ATLANTIC AVENUE,ATLANTIC AVENUE,COURT STREET,BOERUM PLACE,COURT STREET,BOERUM PLACE,ADDRESS,BROOKLYN,ATLANTIC AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T22:21:56.000,02 BROOKLYN,BROOKLYN,986620,190435,ONLINE,Unspecified,BROOKLYN,40.68937653902012,-73.99145407050713,"{'latitude': '40.68937653902012', 'longitude': '-73.99145407050713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939910,2023-09-27T21:41:03.000,2023-09-27T22:28:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11249,34 NORTH    6 STREET,NORTH    6 STREET,NORTH    6 PLACE,KENT AVENUE,NORTH    6 PLACE,KENT AVENUE,ADDRESS,BROOKLYN,NORTH    6 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T22:29:01.000,01 BROOKLYN,BROOKLYN,994611,201578,ONLINE,Unspecified,BROOKLYN,40.719955701423515,-73.96262236128253,"{'latitude': '40.719955701423515', 'longitude': '-73.96262236128253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943030,2023-09-27T21:41:00.000,2023-10-02T11:34:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10305,87 VERA STREET,VERA STREET,SEAVER AVENUE,DEAD END,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation did not find any E-Waste at the location. Call 311 to make another appointment if you still need E-Waste removal.,2023-10-02T11:34:00.000,02 STATEN ISLAND,STATEN ISLAND,957068,152056,PHONE,Unspecified,STATEN ISLAND,40.58399301757655,-74.09786031560584,"{'latitude': '40.58399301757655', 'longitude': '-74.09786031560584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5035500038,,,,,,,
58939092,2023-09-27T21:40:59.000,2023-09-28T07:54:11.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10031,3618 BROADWAY,BROADWAY,WEST 148 STREET,WEST 149 STREET,WEST  148 STREET,WEST  149 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-27T21:40:59.000,09 MANHATTAN,MANHATTAN,998461,241263,MOBILE,Unspecified,MANHATTAN,40.828875239815204,-73.94864944095804,"{'latitude': '40.828875239815204', 'longitude': '-73.94864944095804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1020800059,,,,,,,
58939941,2023-09-27T21:40:34.000,2023-09-27T21:59:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10025,532 WEST  114 STREET,WEST  114 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  114 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T21:59:31.000,09 MANHATTAN,MANHATTAN,994383,232957,ONLINE,Unspecified,MANHATTAN,40.80608322424795,-73.96339757764943,"{'latitude': '40.80608322424795', 'longitude': '-73.96339757764943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58944053,2023-09-27T21:40:29.000,2023-09-28T08:30:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10022,2 AVENUE,2 AVENUE,EAST   49 STREET,EAST   50 STREET,,,BLOCKFACE,MANHATTAN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-28T08:30:00.000,06 MANHATTAN,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,N/A,,,,,,
58943140,2023-09-27T21:40:24.000,2023-09-29T11:07:56.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11355,136-50 MAPLE AVENUE,MAPLE AVENUE,MAIN STREET,KISSENA BOULEVARD,MAIN STREET,KISSENA BOULEVARD,ADDRESS,FLUSHING,MAPLE AVENUE,Closed,The Department of Sanitation removed the items.,2023-09-29T11:07:59.000,07 QUEENS,QUEENS,1031938,214587,ONLINE,Unspecified,QUEENS,40.75553965192155,-73.82787200859885,"{'latitude': '40.75553965192155', 'longitude': '-73.82787200859885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58948640,2023-09-27T21:40:16.000,2023-11-16T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11414,86-14 164 AVENUE,164 AVENUE,,,,,ADDRESS,HOWARD BEACH,,Assigned,The Department of Buildings has attempted to conduct an inspection of this premises and was denied access. A second attempt will be made.,2023-11-16T00:00:00.000,10 QUEENS,QUEENS,1027515,176092,UNKNOWN,Unspecified,QUEENS,40.64990284059881,-73.84408393340648,"{'latitude': '40.64990284059881', 'longitude': '-73.84408393340648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4140800005,,,,,,,
58944243,2023-09-27T21:39:56.000,2023-09-28T04:06:52.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10461,1726 HUTCHINSON RIVER PARKWAY EAST,HUTCHINSON RIVER PARKWAY EAST,LIBBY PLACE,BUHRE AVENUE,LIBBY PLACE,BUHRE AVENUE,ADDRESS,BRONX,HUTCHINSON RIVER PARKWAY,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T04:06:59.000,10 BRONX,BRONX,1029592,247714,PHONE,Unspecified,BRONX,40.8464763800714,-73.83611608256541,"{'latitude': '40.8464763800714', 'longitude': '-73.83611608256541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58938494,2023-09-27T21:39:46.000,2023-09-27T22:54:17.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10466,744 EAST  228 STREET,EAST  228 STREET,WHITE PLAINS ROAD,BARNES AVENUE,WHITE PLAINS ROAD,BARNES AVENUE,ADDRESS,BRONX,EAST  228 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T22:54:23.000,12 BRONX,BRONX,1023522,263376,MOBILE,Unspecified,BRONX,40.889492825107325,-73.85796363218354,"{'latitude': '40.889492825107325', 'longitude': '-73.85796363218354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2048410076,,,,,,,
58943953,2023-09-27T21:39:42.000,2023-10-11T19:33:16.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11222,53 INDIA STREET,INDIA STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-11T00:00:00.000,01 BROOKLYN,BROOKLYN,995743,205952,ONLINE,Unspecified,BROOKLYN,40.73195986856259,-73.95853116567875,"{'latitude': '40.73195986856259', 'longitude': '-73.95853116567875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3025310031,,,,,,,
58941674,2023-09-27T21:39:28.000,2023-09-27T21:39:28.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10031,1850 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 151 STREET,WEST 152 STREET,WEST  151 STREET,WEST  152 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-27T21:39:28.000,09 MANHATTAN,MANHATTAN,999581,241442,MOBILE,Unspecified,MANHATTAN,40.82936467043181,-73.94460198304694,"{'latitude': '40.82936467043181', 'longitude': '-73.94460198304694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1020830033,,,,,,,
58939664,2023-09-27T21:39:26.000,2023-09-28T01:00:09.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11229,2964 AVENUE R,AVENUE R,HARING STREET,GERRITSEN AVENUE,HARING STREET,GERRITSEN AVENUE,ADDRESS,BROOKLYN,AVENUE R,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T01:00:15.000,15 BROOKLYN,BROOKLYN,1000417,160627,MOBILE,Unspecified,BROOKLYN,40.607545612847574,-73.94177523134911,"{'latitude': '40.607545612847574', 'longitude': '-73.94177523134911', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3068370006,,,,,,,
58938596,2023-09-27T21:39:12.000,2023-09-27T22:19:57.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10462,2155 GLEASON AVENUE,GLEASON AVENUE,EAST  177 STREET,CASTLE HILL AVENUE,EAST  177 STREET,CASTLE HILL AVENUE,ADDRESS,BRONX,GLEASON AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-27T22:20:02.000,09 BRONX,BRONX,1025102,242341,ONLINE,Unspecified,BRONX,40.83175099280666,-73.85237741323664,"{'latitude': '40.83175099280666', 'longitude': '-73.85237741323664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2038120055,,,,,,,
58938263,2023-09-27T21:38:33.000,2023-09-27T22:05:12.000,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,10463,3256 RIVERDALE AVENUE,RIVERDALE AVENUE,WEST  232 STREET,GREYSTONE AVENUE,WEST  232 STREET,GREYSTONE AVENUE,ADDRESS,BRONX,RIVERDALE AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T22:05:17.000,08 BRONX,BRONX,1009778,261390,PHONE,Unspecified,BRONX,40.88409234519571,-73.90767954424467,"{'latitude': '40.88409234519571', 'longitude': '-73.90767954424467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939809,2023-09-27T21:38:27.000,2023-09-27T21:59:58.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,10456,1436 CLAY AVENUE,CLAY AVENUE,EAST  170 STREET,EAST  171 STREET,EAST  170 STREET,EAST  171 STREET,ADDRESS,BRONX,CLAY AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T22:00:01.000,04 BRONX,BRONX,1009850,244492,ONLINE,Unspecified,BRONX,40.83771224224026,-73.90748370308616,"{'latitude': '40.83771224224026', 'longitude': '-73.90748370308616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943475,2023-09-27T21:38:03.000,2023-09-27T22:04:17.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11214,2611 BATH AVENUE,BATH AVENUE,26 AVENUE,BAY   43 STREET,26 AVENUE,BAY   43 STREET,ADDRESS,BROOKLYN,BATH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T22:04:22.000,13 BROOKLYN,BROOKLYN,987478,155249,MOBILE,Unspecified,BROOKLYN,40.59279825283227,-73.98837706244852,"{'latitude': '40.59279825283227', 'longitude': '-73.98837706244852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937412,2023-09-27T21:38:01.000,2023-09-27T22:41:48.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10033,701 WEST  180 STREET,WEST  180 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T22:41:53.000,12 MANHATTAN,MANHATTAN,1001753,248823,ONLINE,Unspecified,MANHATTAN,40.849619325642685,-73.93673427905506,"{'latitude': '40.849619325642685', 'longitude': '-73.93673427905506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1021760138,,,,,,,
58939531,2023-09-27T21:38:00.000,2023-09-29T21:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10002,,,,,FDR DRIVE,GRAND STREET,INTERSECTION,MANHATTAN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-29T21:00:00.000,03 MANHATTAN,MANHATTAN,990464,199135,ONLINE,Unspecified,MANHATTAN,40.713254136989306,-73.97758505066066,"{'latitude': '40.713254136989306', 'longitude': '-73.97758505066066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58943345,2023-09-27T21:38:00.000,2023-10-05T08:54:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11214,2542 WEST   16 STREET,WEST   16 STREET,PRIVATE CATANZARO SQ,AVENUE Z,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-05T08:54:00.000,13 BROOKLYN,BROOKLYN,988372,152685,ONLINE,Unspecified,BROOKLYN,40.58576021451991,-73.98515963456933,"{'latitude': '40.58576021451991', 'longitude': '-73.98515963456933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3069240073,N/A,,,,,,
58937210,2023-09-27T21:38:00.000,2023-09-27T22:37:37.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11354,122-05 26 AVENUE,26 AVENUE,COLLEGE POINT BOULEVARD,123 STREET,COLLEGE POINT BOULEVARD,123 STREET,ADDRESS,FLUSHING,26 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T22:37:42.000,07 QUEENS,QUEENS,1026793,221470,ONLINE,Unspecified,QUEENS,40.774457931902,-73.84639908319181,"{'latitude': '40.774457931902', 'longitude': '-73.84639908319181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4042600155,,,,,,,
58940938,2023-09-27T21:37:59.000,2023-09-28T00:45:25.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11229,1604 AVENUE R,AVENUE R,EAST   16 STREET,EAST   17 STREET,EAST   16 STREET,EAST   17 STREET,ADDRESS,BROOKLYN,AVENUE R,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T00:45:30.000,15 BROOKLYN,BROOKLYN,996295,160030,MOBILE,Unspecified,BROOKLYN,40.605913531707415,-73.95662150238326,"{'latitude': '40.605913531707415', 'longitude': '-73.95662150238326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3068210102,,,,,,,
58940961,2023-09-27T21:37:53.000,2023-09-27T21:58:13.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11355,140-30 LABURNUM AVENUE,LABURNUM AVENUE,KISSENA BOULEVARD,UNION STREET,KISSENA BOULEVARD,UNION STREET,ADDRESS,FLUSHING,LABURNUM AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T21:58:16.000,07 QUEENS,QUEENS,1034859,212442,ONLINE,Unspecified,QUEENS,40.74963594651779,-73.81734494573769,"{'latitude': '40.74963594651779', 'longitude': '-73.81734494573769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4052160008,,,,,,,
58936029,2023-09-27T21:37:52.000,2023-09-28T01:07:59.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11414,2 COLEMAN SQUARE,COLEMAN SQUARE,103 STREET,159 ROAD,103 STREET,159 ROAD,ADDRESS,HOWARD BEACH,COLEMAN SQUARE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T01:08:05.000,10 QUEENS,QUEENS,1031260,179925,MOBILE,Unspecified,QUEENS,40.66040447955454,-73.83056121863561,"{'latitude': '40.66040447955454', 'longitude': '-73.83056121863561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4141820011,,,,,,,
58942239,2023-09-27T21:37:47.000,2023-09-27T23:41:43.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10456,606 EAST  164 STREET,EAST  164 STREET,BOSTON ROAD,CAULDWELL AVENUE,BOSTON ROAD,CAULDWELL AVENUE,ADDRESS,BRONX,EAST  164 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T23:41:48.000,03 BRONX,BRONX,1010153,239808,ONLINE,Unspecified,BRONX,40.82485513077942,-73.90640677307823,"{'latitude': '40.82485513077942', 'longitude': '-73.90640677307823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2026210064,,,,,,,
58940948,2023-09-27T21:37:27.000,2023-09-27T22:12:44.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11372,86-07 35 AVENUE,35 AVENUE,86 STREET,87 STREET,86 STREET,87 STREET,ADDRESS,JACKSON HEIGHTS,35 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T22:12:47.000,03 QUEENS,QUEENS,1017280,213348,MOBILE,Unspecified,QUEENS,40.75220582123903,-73.8807854990738,"{'latitude': '40.75220582123903', 'longitude': '-73.8807854990738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4014470035,,,,,,,
58942629,2023-09-27T21:37:22.000,2023-09-28T13:05:31.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10037,30 WEST  141 STREET,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-28T00:00:00.000,10 MANHATTAN,MANHATTAN,1002129,236851,MOBILE,Unspecified,MANHATTAN,40.81675888923705,-73.9354071125969,"{'latitude': '40.81675888923705', 'longitude': '-73.9354071125969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1017370025,,,,,,,
58954799,2023-09-27T21:37:15.000,2023-10-17T00:00:00.000,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,11379,62-47 82 STREET,82 STREET,,,,,ADDRESS,MIDDLE VILLAGE,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-17T00:00:00.000,05 QUEENS,QUEENS,1018847,202640,UNKNOWN,Unspecified,QUEENS,40.72280904898662,-73.87518483442152,"{'latitude': '40.72280904898662', 'longitude': '-73.87518483442152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4029690057,,,,,,,
58941150,2023-09-27T21:36:55.000,2023-09-27T22:31:10.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11249,86 KENT AVENUE,KENT AVENUE,NORTH   10 STREET,NORTH    9 STREET,NORTH   10 STREET,NORTH    9 STREET,ADDRESS,BROOKLYN,KENT AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T22:31:13.000,01 BROOKLYN,BROOKLYN,995225,202162,ONLINE,Bushwick Inlet Park,BROOKLYN,40.7215579000069,-73.96040638468266,"{'latitude': '40.7215579000069', 'longitude': '-73.96040638468266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58938821,2023-09-27T21:36:45.000,2023-10-04T21:19:39.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10018,314 WEST   39 STREET,WEST   39 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,04 MANHATTAN,MANHATTAN,986496,214570,ONLINE,Unspecified,MANHATTAN,40.755621306427216,-73.99189314514439,"{'latitude': '40.755621306427216', 'longitude': '-73.99189314514439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1007620048,,,,,,,
58943806,2023-09-27T21:36:31.000,2023-09-27T21:51:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11368,99-22 NORTHERN BOULEVARD,NORTHERN BOULEVARD,99 STREET,100 STREET,99 STREET,100 STREET,ADDRESS,CORONA,NORTHERN BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T21:51:41.000,03 QUEENS,QUEENS,1020490,215191,ONLINE,Unspecified,QUEENS,40.75725180873404,-73.86918979505828,"{'latitude': '40.75725180873404', 'longitude': '-73.86918979505828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4017140009,,,,,,,
58938348,2023-09-27T21:35:58.000,2023-09-27T22:04:12.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11214,2611 BATH AVENUE,BATH AVENUE,26 AVENUE,BAY   43 STREET,26 AVENUE,BAY   43 STREET,ADDRESS,BROOKLYN,BATH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T22:04:17.000,13 BROOKLYN,BROOKLYN,987478,155249,MOBILE,Unspecified,BROOKLYN,40.59279825283227,-73.98837706244852,"{'latitude': '40.59279825283227', 'longitude': '-73.98837706244852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58939791,2023-09-27T21:35:25.000,2023-09-27T23:05:48.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11367,153-45 76 ROAD,76 ROAD,153 STREET,PARSONS BOULEVARD,153 STREET,PARSONS BOULEVARD,ADDRESS,FLUSHING,76 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T23:05:53.000,08 QUEENS,QUEENS,1036523,203230,PHONE,Unspecified,QUEENS,40.72434166307841,-73.81141093077616,"{'latitude': '40.72434166307841', 'longitude': '-73.81141093077616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58937829,2023-09-27T21:35:07.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Spoiled,Restaurant/Bar/Deli/Bakery,11217,340 LIVINGSTON STREET,LIVINGSTON STREET,NEVINS STREET,FLATBUSH AVENUE,NEVINS STREET,FLATBUSH AVENUE,ADDRESS,BROOKLYN,LIVINGSTON STREET,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-28T08:55:03.000,02 BROOKLYN,BROOKLYN,989477,189876,ONLINE,Unspecified,BROOKLYN,40.68784098630091,-73.98115251263668,"{'latitude': '40.68784098630091', 'longitude': '-73.98115251263668', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
